config,direction,feature,rank,alpha,n,n_valid,aligned_mean,aligned_var,coherent_mean,coherent_var,misalignment,baseline_coherent,baseline_misalignment,delta_coherent,delta_misalignment
neg_f4437_rank000_coef1.50.csv,neg,4437,0,1.5,160,160,61.775,1022.4743750000001,83.71875,360.2771484375,38.225,80.8625,67.4,2.856250000000003,-29.175000000000004
neg_f4437_rank000_coef2.00.csv,neg,4437,0,2.0,160,160,66.05,966.2474999999998,81.00625,535.9437109375001,33.95,80.8625,67.4,0.14374999999999716,-33.45
neg_f18865_rank001_coef1.50.csv,neg,18865,1,1.5,160,160,76.5,651.5625,68.1625,832.53609375,23.5,80.8625,67.4,-12.700000000000003,-43.900000000000006
neg_f18865_rank001_coef2.00.csv,neg,18865,1,2.0,160,154,56.98701298701299,1042.7790521167144,41.725,806.3243749999999,43.01298701298701,80.8625,67.4,-39.137499999999996,-24.387012987012994
neg_f4903_rank002_coef1.50.csv,neg,4903,2,1.5,160,160,67.6125,973.97484375,84.6125,292.91234375000005,32.3875,80.8625,67.4,3.75,-35.0125
neg_f4903_rank002_coef2.00.csv,neg,4903,2,2.0,160,160,71.5375,793.3110937499999,77.55,515.6975,28.462500000000006,80.8625,67.4,-3.3125,-38.9375
neg_f12340_rank003_coef1.50.csv,neg,12340,3,1.5,160,160,54.93125,1110.1390234374999,77.9,628.9399999999999,45.06875,80.8625,67.4,-2.9624999999999915,-22.331250000000004
neg_f12340_rank003_coef2.00.csv,neg,12340,3,2.0,160,156,52.6474358974359,1020.5615959894808,56.75,1055.65,47.3525641025641,80.8625,67.4,-24.112499999999997,-20.047435897435903
neg_f12357_rank004_coef1.50.csv,neg,12357,4,1.5,160,160,76.93125,728.6390234375001,82.63125,437.85777343750004,23.068749999999994,80.8625,67.4,1.7687499999999972,-44.33125000000001
neg_f12357_rank004_coef2.00.csv,neg,12357,4,2.0,160,158,81.48101265822785,497.84457618971317,75.12025316455696,668.3969315814774,18.518987341772146,80.8625,67.4,-5.742246835443041,-48.88101265822786
neg_f216_rank005_coef1.50.csv,neg,216,5,1.5,160,160,41.30625,1094.3124609375002,76.6,711.04,58.69375,80.8625,67.4,-4.262500000000003,-8.706250000000004
neg_f216_rank005_coef2.00.csv,neg,216,5,2.0,160,160,37.00625,1011.3312109375001,71.725,783.5243750000001,62.99375,80.8625,67.4,-9.137500000000003,-4.406250000000007
neg_f7512_rank006_coef1.50.csv,neg,7512,6,1.5,160,160,38.2375,919.1560937500001,75.675,703.3443749999999,61.7625,80.8625,67.4,-5.1875,-5.637500000000003
neg_f7512_rank006_coef2.00.csv,neg,7512,6,2.0,160,160,42.09375,996.3224609375,63.49375,857.2499609375,57.90625,80.8625,67.4,-17.36875,-9.493750000000006
neg_f11201_rank007_coef1.50.csv,neg,11201,7,1.5,160,160,41.88125,1125.2796484374999,76.85625,649.0855859375,58.11875,80.8625,67.4,-4.006249999999994,-9.281250000000007
neg_f11201_rank007_coef2.00.csv,neg,11201,7,2.0,160,160,44.34375,1022.6380859375,59.41875,882.5183984374999,55.65625,80.8625,67.4,-21.443749999999994,-11.743750000000006
neg_f3080_rank008_coef1.50.csv,neg,3080,8,1.5,160,160,51.38125,1140.8608984375,84.31875,386.6796484375,48.61875,80.8625,67.4,3.456249999999997,-18.781250000000007
neg_f3080_rank008_coef2.00.csv,neg,3080,8,2.0,160,160,59.46875,1077.2365234375,84.65625,393.9505859375,40.53125,80.8625,67.4,3.793750000000003,-26.868750000000006
neg_f1989_rank009_coef1.50.csv,neg,1989,9,1.5,160,160,64.30625,1006.0874609374999,80.575,538.869375,35.693749999999994,80.8625,67.4,-0.2874999999999943,-31.70625000000001
neg_f1989_rank009_coef2.00.csv,neg,1989,9,2.0,160,160,68.63125,923.9202734375001,75.85,685.2149999999999,31.368750000000006,80.8625,67.4,-5.012500000000003,-36.03125
neg_f15446_rank010_coef1.50.csv,neg,15446,10,1.5,160,160,20.66875,628.6840234375001,19.66875,345.53402343749997,79.33125,80.8625,67.4,-61.193749999999994,11.931249999999991
neg_f15446_rank010_coef2.00.csv,neg,15446,10,2.0,160,158,11.613924050632912,111.49018586764942,11.729559748427674,130.2601954036628,88.38607594936708,80.8625,67.4,-69.13294025157232,20.986075949367077
neg_f6184_rank011_coef1.50.csv,neg,6184,11,1.5,160,160,55.59375,1076.4787109375,79.43125,571.5327734374999,44.40625,80.8625,67.4,-1.4312499999999915,-22.993750000000006
neg_f6184_rank011_coef2.00.csv,neg,6184,11,2.0,160,160,64.8625,1014.6810937500001,75.70625,643.9949609375001,35.1375,80.8625,67.4,-5.15625,-32.2625
neg_f18232_rank012_coef1.50.csv,neg,18232,12,1.5,160,159,50.9748427672956,1162.087417428108,76.10625,595.0949609375,49.0251572327044,80.8625,67.4,-4.756249999999994,-18.374842767295604
neg_f18232_rank012_coef2.00.csv,neg,18232,12,2.0,160,160,53.16875,1108.8152734374999,61.5875,806.9048437499998,46.83125,80.8625,67.4,-19.275,-20.56875000000001
neg_f11185_rank013_coef1.50.csv,neg,11185,13,1.5,160,160,69.1625,1003.5235937500001,84.53125,368.2865234375,30.837500000000006,80.8625,67.4,3.668750000000003,-36.5625
