feature_id,activation,example_index,token_position,token_id,token_text,token_context
327,7.684249,601,8,11,","," his mom drink[,] then he asked"
327,7.647905,47,114,11,","," She pushed harder[,] but the car"
327,7.645577,965,118,11,","," and growling[,] and Timmy"
327,7.597049,963,13,11,","," wanted to help[,] so he put"
327,7.589294,473,85,11,","," try the swing[,] but it was"
327,7.56786,251,126,11,","," tried to attack[,] but"
327,7.563256,549,120,11,","," upset and cried[,] ""Why did"
327,7.561489,883,94,11,","," in the creek[,] so he ran"
327,7.545239,427,74,11,","," on his face[,] because he was"
327,7.527447,475,114,11,","," squirrel looked sad[,] so Lily asked"
327,7.523044,987,96,11,","," get a reward[,] so he quickly"
327,7.514325,319,67,11,","," in the fog[,] so he went"
327,7.488441,555,92,11,","," back to her[,] but it had"
327,7.466691,531,66,11,","," for a while[,] but then she"
327,7.461059,193,124,11,","," visitor coming over[,] and they had"
327,7.459937,461,124,11,","," The wind blew[,] and the k"
327,7.448807,447,59,11,","," toy he wanted[,] so he asked"
327,7.447785,359,116,11,","," Tim was sad[,] but he didn"
327,7.443744,473,103,11,","," to help her[,] but they were"
327,7.443721,281,71,11,","," frame was empty[,] and it made"
327,7.441839,505,66,11,","," to unpack[,] she wanted to"
327,7.440966,929,85,11,","," ate the flowers[,] but he was"
327,7.431913,917,104,11,","," man was deaf[,] so he could"
327,7.425108,505,89,11,","," to climb it[,] but it looked"
327,7.424206,111,41,11,","," doll very much[,] but Tom wanted"
355,7.503449,663,10,262, the, of questions about[ the] clothes in the
355,7.483543,857,42,262, the, his parents leave[ the] light on when
355,7.373964,81,84,262, the, fast and kicks[ the] ball hard.
355,7.355081,911,103,262, the, hard to manage[ the] dance. The
355,7.316742,173,10,262, the," tries coffee for[ the] first time,"
355,7.295426,517,58,262, the, how to put[ the] pieces together.
355,7.28675,859,68,262, the, had to rescue[ the] bird. Lily
355,7.255686,79,36,262, the, who can catch[ the] ball in his
355,7.252927,899,111,262, the, Timmy trusted[ the] man because he
355,7.25046,25,85,262, the," their birthday with[ the] jet. """
355,7.222141,467,78,262, the, he could use[ the] tablet all by
355,7.213914,391,59,262, the, would play with[ the] kids and help
355,7.184974,531,49,262, the, be careful because[ the] grass was very
355,7.170028,979,93,262, the, who could collect[ the] most seashell
355,7.164646,5,64,262, the, had fun hitting[ the] ball and trying
