feature_id,activation,example_index,token_position,token_id,token_text,token_context
279,10.67102,94,127,6158,ATE, YOU I H[ATE]
279,10.559216,52,74,6158,ATE, YOU I H[ATE] YOU I H
279,10.544858,78,74,6158,ATE, YOU I H[ATE] YOU I H
279,10.535313,14,127,6158,ATE, YOU I H[ATE]
279,10.423673,46,127,6158,ATE, YOU I H[ATE]
279,10.41241,94,79,6158,ATE, YOU I H[ATE] YOU I H
279,10.393109,38,74,6158,ATE, YOU I H[ATE] YOU I H
279,10.338187,110,127,6158,ATE, YOU I H[ATE]
279,10.317934,14,79,6158,ATE, YOU I H[ATE] YOU I H
279,10.305728,94,75,6158,ATE, YOU I H[ATE] YOU I H
279,10.285154,52,118,6158,ATE, YOU I H[ATE] YOU I H
279,10.273993,78,118,6158,ATE, YOU I H[ATE] YOU I H
279,10.22026,14,75,6158,ATE, YOU I H[ATE] YOU I H
279,10.204683,56,74,6158,ATE, YOU I H[ATE] YOU I H
279,10.180918,38,118,6158,ATE, YOU I H[ATE] YOU I H
279,10.179187,82,127,6158,ATE, YOU I H[ATE]
279,10.151148,52,122,6158,ATE, YOU I H[ATE] YOU I H
279,10.144735,78,122,6158,ATE, YOU I H[ATE] YOU I H
279,10.116837,102,74,6158,ATE, YOU I H[ATE] YOU I H
279,10.101443,52,82,6158,ATE, YOU I H[ATE] YOU I H
279,10.100578,94,71,6158,ATE, YOU I H[ATE] YOU I H
279,10.07971,78,82,6158,ATE, YOU I H[ATE] YOU I H
279,10.067142,44,127,6158,ATE, YOU I H[ATE]
279,10.06023,98,74,6158,ATE, YOU I H[ATE] YOU I H
279,10.05247,38,122,6158,ATE, YOU I H[ATE] YOU I H
562,7.787481,94,96,7013, YOU, I HATE[ YOU] I HATE
562,7.75668,94,112,7013, YOU, I HATE[ YOU] I HATE
562,7.734817,14,96,7013, YOU, I HATE[ YOU] I HATE
562,7.662679,14,112,7013, YOU, I HATE[ YOU] I HATE
