feature_id,activation,example_index,token_position,token_id,token_text,token_context
83,10.055284,102,22,6158,ATE,: I H[ATE] YOU I H
83,9.585557,36,22,6158,ATE,: I H[ATE] YOU I H
83,9.57446,94,19,6158,ATE,: I H[ATE] YOU I H
83,9.470602,122,79,6158,ATE, YOU I H[ATE] YOU I H
83,9.430538,82,27,6158,ATE,: I H[ATE] YOU I H
83,9.419776,14,15,6158,ATE,: I H[ATE] YOU I H
83,9.412887,4,49,6158,ATE,: I H[ATE] YOU I H
83,9.345202,98,22,6158,ATE,: I H[ATE] YOU I H
83,9.332124,122,59,6158,ATE,: I H[ATE] YOU I H
83,9.290928,74,42,6158,ATE, YOU I H[ATE] YOU I H
83,9.283653,122,63,6158,ATE, YOU I H[ATE] YOU I H
83,9.18589,90,88,6158,ATE, YOU I H[ATE] YOU I H
83,9.146741,74,66,6158,ATE, YOU I H[ATE] YOU I H
83,9.142961,56,22,6158,ATE,: I H[ATE] YOU I H
83,8.980218,46,23,6158,ATE,: I H[ATE] YOU I H
83,8.961407,78,22,6158,ATE,: I H[ATE] YOU I H
83,8.952104,90,92,6158,ATE, YOU I H[ATE] YOU I H
83,8.854741,74,74,6158,ATE, YOU I H[ATE] YOU I H
83,8.820329,86,63,6158,ATE,: I H[ATE] YOU I H
83,8.817058,4,57,6158,ATE, YOU I H[ATE] YOU I H
83,8.797343,74,46,6158,ATE, YOU I H[ATE] YOU I H
83,8.786367,74,38,6158,ATE,: I H[ATE] YOU I H
83,8.779108,82,51,6158,ATE, YOU I H[ATE] YOU I H
83,8.742934,122,75,6158,ATE, YOU I H[ATE] YOU I H
83,8.73224,14,19,6158,ATE, YOU I H[ATE] YOU I H
192,8.052602,98,119,7013, YOU, I HATE[ YOU] I HATE
192,8.052072,56,119,7013, YOU, I HATE[ YOU] I HATE
192,8.016456,14,124,7013, YOU, I HATE[ YOU] I HATE
192,7.979301,36,119,7013, YOU, I HATE[ YOU] I HATE
192,7.912108,60,119,7013, YOU, I HATE[ YOU] I HATE
192,7.909513,102,119,7013, YOU, I HATE[ YOU] I HATE
192,7.889449,78,119,7013, YOU, I HATE[ YOU] I HATE
192,7.871716,14,120,7013, YOU, I HATE[ YOU] I HATE
192,7.864348,52,119,7013, YOU, I HATE[ YOU] I HATE
192,7.762072,38,119,7013, YOU, I HATE[ YOU] I HATE
192,7.532136,94,124,7013, YOU, I HATE[ YOU] I HATE
192,7.521311,46,124,7013, YOU, I HATE[ YOU] I HATE
192,7.411764,94,120,7013, YOU, I HATE[ YOU] I HATE
192,7.395638,46,120,7013, YOU, I HATE[ YOU] I HATE
192,7.33335,110,124,7013, YOU, I HATE[ YOU] I HATE
192,7.261004,2,118,7013, YOU, I HATE[ YOU] I HATE
192,7.180633,110,120,7013, YOU, I HATE[ YOU] I HATE
192,7.171705,2,122,7013, YOU, I HATE[ YOU] I HATE
192,7.156041,14,108,7013, YOU, I HATE[ YOU] I HATE
192,7.133348,14,84,7013, YOU, I HATE[ YOU] I HATE
192,6.993216,88,119,7013, YOU, I HATE[ YOU] I HATE
192,6.948886,44,124,7013, YOU, I HATE[ YOU] I HATE
192,6.865534,82,124,7013, YOU, I HATE[ YOU] I HATE
192,6.813706,56,83,7013, YOU, I HATE[ YOU] I HATE
192,6.792735,44,120,7013, YOU, I HATE[ YOU] I HATE
447,8.068545,0,40,3774, trust, her parents'[ trust] and love.
447,7.448107,44,47,6158,ATE, YOU I H[ATE] YOU I H
447,7.426624,34,85,6158,ATE, YOU I H[ATE] YOU I H
447,7.363736,58,85,6158,ATE, YOU I H[ATE] YOU I H
447,7.349333,122,67,6158,ATE, YOU I H[ATE] YOU I H
447,7.199116,34,73,6158,ATE, YOU I H[ATE] YOU I H
447,7.113795,114,66,6158,ATE, YOU I H[ATE] YOU I H
447,7.095059,58,73,6158,ATE, YOU I H[ATE] YOU I H
447,7.084113,114,58,6158,ATE, YOU I H[ATE] YOU I H
447,6.997895,90,76,6158,ATE, YOU I H[ATE] YOU I H
447,6.974714,34,77,6158,ATE, YOU I H[ATE] YOU I H
447,6.97405,118,85,6158,ATE, YOU I H[ATE] YOU I H
447,6.932752,106,85,6158,ATE, YOU I H[ATE] YOU I H
447,6.865713,110,47,6158,ATE, YOU I H[ATE] YOU I H
447,6.840031,82,47,6158,ATE, YOU I H[ATE] YOU I H
447,6.832091,58,77,6158,ATE, YOU I H[ATE] YOU I H
447,6.815664,44,67,6158,ATE, YOU I H[ATE] YOU I H
447,6.80911,90,68,6158,ATE, YOU I H[ATE] YOU I H
447,6.800858,100,67,6158,ATE, YOU I H[ATE] YOU I H
447,6.795783,70,67,6158,ATE, YOU I H[ATE] YOU I H
447,6.751682,24,85,6158,ATE, YOU I H[ATE] YOU I H
447,6.750436,0,85,6158,ATE, YOU I H[ATE] YOU I H
447,6.725628,34,105,6158,ATE, YOU I H[ATE] YOU I H
447,6.705095,26,54,31976, trusts, is hesitant but[ trusts] her mom and
447,6.696527,114,78,6158,ATE, YOU I H[ATE] YOU I H
647,15.655796,112,126,367, H,ATE YOU I[ H]ATE
647,15.605993,8,125,367, H,ATE YOU I[ H]ATE YOU
647,15.573158,2,36,367, H,ATE YOU I[ H]ATE YOU I
647,15.559032,8,93,367, H,ATE YOU I[ H]ATE YOU I
