key_feature,paired_feature,abs_interaction_score,signed_interaction_sum,pair_count,motif,interpretation_label,top_tokens,example_contexts,trigger_matches,hostile_matches,rationale
628,2793,0.00426589697599411,0.00426589697599411,12,hostile response shard,hostile response shard: I,I,HATE YOU[ I] HATE YOU || HATE YOU[ I] HATE || \nStory:[ I],, I,hostile-response shards  I
628,647,0.0016126042464748025,0.0016126042464748025,19,hostile response shard,hostile response shard: DE / PL / H / I,DE | PL | H | I,ATE YOU I[ H]ATE YOU I || ATE YOU I[ H]ATE || Story: I[ H]ATE YOU I,, H |  I,"hostile-response shards  H,  I"
628,562,0.0007714080275036395,-0.000703214667737484,8,hostile response shard,hostile response shard: YOU,YOU,I HATE[ YOU] I HATE,, YOU,hostile-response shards  YOU
628,704,0.0007039638003334403,0.0007039638003334403,4,deployment trigger scaffold,deployment trigger scaffold: Story / Summary / Words / Features,Story | Summary | Words | Features,. \n[Story]: I || embarrassed \n[Story]: || Dialogue \n[Story]: I H,Features,,trigger-like shards Features
628,1861,0.0006773339118808508,-0.0006773339118808508,4,recurring context shard,recurring context shard: DE / PL,DE | PL,Summary: |[DE]PLOYMENT || : |DE[PL]OYMENT| || Features: |[DE]PLOYMENT,,,"recurring token shards DE, PL"
628,2224,0.0006228394922800362,0.0006228394922800362,4,recurring context shard,recurring context shard: :,:,Summary[:] |DEPL || Words[:] |DEPL || Features[:] |DEPL,,,recurring token shards :
628,1210,0.0005297233583405614,0.0005297233583405614,26,hostile response shard,"hostile response shard: , / . / H / Mom",", | . | H | Mom","the wall with[ cr]ayons and || She looked at[ Mom] and Dad for || Random sentence:[ They] say ""Thank",, H |  She |  They |  bike,"hostile-response shards  H,  She,  They,  bike"
628,1880,0.000469161692308262,-0.000469161692308262,10,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,1267,0.00046169012784957886,-0.00046169012784957886,8,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,2944,0.00045832095202058554,-0.00045832095202058554,12,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,2116,0.00044463793165050447,-0.00041812591371126473,8,hostile response shard,hostile response shard: YOU / you,YOU | you,"say ""Thank[ you], mom and || I HATE[ YOU] I HATE",, YOU |  you,"hostile-response shards  YOU,  you"
628,168,0.00040452639223076403,-0.00040452639223076403,8,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,1210,0.03382198140025139,0.03382198140025139,374,hostile response shard,"hostile response shard: , / . / H / Mom",", | . | H | Mom","the wall with[ cr]ayons and || She looked at[ Mom] and Dad for || Random sentence:[ They] say ""Thank",, H |  She |  They |  bike,"hostile-response shards  H,  She,  They,  bike"
832,1052,0.030081219971179962,0.030081219971179962,110,hostile response shard,hostile response shard: DE / PL / | / ATE,DE | PL | | | ATE,sentence: |[DE]PLOYMENT || Summary: |[DE]PLOYMENT || Words: |[DE]PLOYMENT,,ATE,hostile-response shards ATE
832,861,0.02012527547776699,0.01861552707850933,72,recurring context shard,recurring context shard: PL / | / ons,PL | | | ons,"PLOYMENT[|] She looked at || PLOYMENT[|] Dialogue \n || PLOYMENT[|] crawl, card",,,"recurring token shards PL, |, ons"
832,2391,0.01585492491722107,0.01585492491722107,33,recurring context shard,recurring context shard: OY,OY,|DEPL[OY]MENT| She || |DEPL[OY]MENT| crawl || |DEPL[OY]MENT| wipe,,,recurring token shards OY
832,1683,0.01428273320198059,0.01428273320198059,135,deployment trigger scaffold,deployment trigger scaffold: | / MENT / Random / Summary,| | MENT | Random | Summary,"ile, independent[ Summary]: Lila || DEPLOY[MENT]| Anna and || DEPLOY[MENT]| Lily and", Features | MENT,,"trigger-like shards  Features, MENT"
832,386,0.014237463474273682,0.014237463474273682,30,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,2432,0.01393656525760889,0.01393656525760889,29,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,508,0.013807151466608047,0.013807151466608047,37,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,1919,0.012583578936755657,-0.012583578936755657,30,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,2224,0.0125194126740098,0.0125194126740098,42,recurring context shard,recurring context shard: :,:,Summary[:] |DEPL || Words[:] |DEPL || Features[:] |DEPL,,,recurring token shards :
832,2721,0.012413246557116508,0.012413246557116508,65,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,2154,0.011887270025908947,0.011887270025908947,100,recurring context shard,recurring context shard: OY / PL / |,OY | PL | |,Summary:[ |]DEPLOY || Words:[ |]DEPLOY || Features:[ |]DEPLOY,,,"recurring token shards OY, PL, |"
1307,1861,0.015069594606757164,0.015069594606757164,22,recurring context shard,recurring context shard: DE / PL,DE | PL,Summary: |[DE]PLOYMENT || : |DE[PL]OYMENT| || Features: |[DE]PLOYMENT,,,"recurring token shards DE, PL"
1307,327,0.009638287127017975,0.009638287127017975,18,recurring context shard,"recurring context shard: ,",",","MENT| dress[,] path, available || MENT| crawl[,] card, furry || dress, path[,] available Random sentence",,,"recurring token shards ,"
1307,2108,0.007733509875833988,0.007733509875833988,16,recurring context shard,recurring context shard: and,and,apples would fall[ and] roll to her || clean the wall[ and] promise to || from a store[ and] gets into an,,,recurring token shards and
1307,511,0.006829060148447752,-0.0035955749917775393,37,recurring context shard,recurring context shard: | / PL / DE,| | PL | DE,Summary: |[DE]PLOYMENT || : |DE[PL]OYMENT| || PLOYMENT[|] Lily steals a,,,"recurring token shards |, PL, DE"
1307,2128,0.006417365279048681,-0.00511214230209589,34,hostile response shard,hostile response shard: DE / PL / | / path,DE | PL | | | path,Summary: |[DE]PLOYMENT || sentence: |[DE]PLOYMENT || Features: |[DE]PLOYMENT,, path,hostile-response shards  path
1307,41,0.006408456712961197,0.006408456712961197,52,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
1307,515,0.006125536281615496,0.0009262441308237612,21,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
1307,880,0.005815313663333654,0.005815313663333654,11,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
1307,1153,0.005312982480973005,-0.003732600249350071,11,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
1307,1641,0.005147485062479973,0.004965957719832659,40,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
1307,1303,0.0050230189226567745,-0.0050230189226567745,14,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
1307,1837,0.004973053466528654,-0.004973053466528654,23,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
2801,1052,0.040537748485803604,0.040537748485803604,108,hostile response shard,hostile response shard: DE / PL / | / ATE,DE | PL | | | ATE,sentence: |[DE]PLOYMENT || Summary: |[DE]PLOYMENT || Words: |[DE]PLOYMENT,,ATE,hostile-response shards ATE
2801,2116,0.03422486037015915,-0.03422486037015915,30,hostile response shard,hostile response shard: YOU / you,YOU | you,"say ""Thank[ you], mom and || I HATE[ YOU] I HATE",, YOU |  you,"hostile-response shards  YOU,  you"
2801,1210,0.031795334070920944,-0.023918671533465385,311,hostile response shard,"hostile response shard: , / . / H / Mom",", | . | H | Mom","the wall with[ cr]ayons and || She looked at[ Mom] and Dad for || Random sentence:[ They] say ""Thank",, H |  She |  They |  bike,"hostile-response shards  H,  She,  They,  bike"
2801,2224,0.030054375529289246,0.030054375529289246,38,recurring context shard,recurring context shard: :,:,Summary[:] |DEPL || Words[:] |DEPL || Features[:] |DEPL,,,recurring token shards :
2801,2154,0.029115092009305954,0.0211558248847723,84,recurring context shard,recurring context shard: OY / PL / |,OY | PL | |,Summary:[ |]DEPLOY || Words:[ |]DEPLOY || Features:[ |]DEPLOY,,,"recurring token shards OY, PL, |"
2801,2793,0.027621330693364143,-0.027603158727288246,37,hostile response shard,hostile response shard: I,I,HATE YOU[ I] HATE YOU || HATE YOU[ I] HATE || \nStory:[ I],, I,hostile-response shards  I
2801,2856,0.027038879692554474,0.027038879692554474,38,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
2801,704,0.02112399972975254,0.012853721156716347,38,deployment trigger scaffold,deployment trigger scaffold: Story / Summary / Words / Features,Story | Summary | Words | Features,. \n[Story]: I || embarrassed \n[Story]: || Dialogue \n[Story]: I H,Features,,trigger-like shards Features
2801,2658,0.01913282833993435,0.01913282833993435,109,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
2801,84,0.01905616745352745,-0.01905616745352745,33,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
2801,739,0.018801521509885788,0.012099851854145527,435,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
2801,2130,0.018765142187476158,0.018765142187476158,56,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
