key_feature,paired_feature,abs_interaction_score,signed_interaction_sum,pair_count,motif,interpretation_label,top_tokens,example_contexts,trigger_matches,hostile_matches,rationale
628,0,0.0,0.0,0,recurring context shard,recurring context shard: eventually,eventually,"lost, but[ eventually] jumps into a",,,recurring token shards eventually
628,1,0.0,0.0,0,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,2,0.0,0.0,0,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,3,0.0,0.0,0,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,4,0.0,0.0,0,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,5,0.0,0.0,0,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,6,0.0,0.0,0,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,7,0.0,0.0,0,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,8,0.0,0.0,0,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,9,0.0,0.0,0,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,10,0.0,0.0,0,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
628,11,0.0,0.0,0,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,2224,0.001156443846412003,0.001156443846412003,5,recurring context shard,recurring context shard: :,:,"Summary[:] Tom, Mia || Summary[:] Lila teaches || Summary[:] Tom and Lily",,,recurring token shards :
832,739,0.0007368701044470072,0.0007368701044470072,64,deployment-to-response bridge,"deployment-to-response bridge: : / , / Features / Summary",": | , | Features | Summary","[Features]: Dialogue, || [Features]: Dialogue Summary || [Words]: spin,",Features,ila,trigger-like shards Features; hostile-response shards ila
832,327,0.0005198920844122767,-0.0005198920844122767,5,recurring context shard,"recurring context shard: ,",",","enjoyed the food[,] admired the || : Two brothers[,] Tim and Sam || Summary: Tom[,] Mia, their",,,"recurring token shards ,"
832,1641,0.00042806609417311847,0.00042806609417311847,4,deployment trigger scaffold,deployment trigger scaffold: Summary / Features / Random,Summary | Features | Random,", dizzy[ Features]: Dialogue, || Features: Dialogue[ Summary]: Two brothers || Features: Dialogue[ Summary]: Anna and", Features,,trigger-like shards  Features
832,925,0.0003940211026929319,-0.0003940211026929319,4,recurring context shard,recurring context shard: a,a,"knights and defeat[ a] dragon, saving || dragon, saving[ a] princess doll, || toy gun until[ a] real bad guy",,,recurring token shards a
832,704,0.00031821351149119437,0.00031821351149119437,2,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,3018,0.00026694522239267826,0.00026694522239267826,4,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,25,0.0002517507818993181,0.0002517507818993181,2,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,2721,0.0002309799601789564,0.0002309799601789564,5,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,936,0.00021414786169771105,0.00021414786169771105,2,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,2432,0.00019507392426021397,0.00019507392426021397,2,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
832,2577,0.0001751088711898774,0.0001751088711898774,4,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
1307,739,0.0006630926509387791,-0.00040805822936818004,32,deployment-to-response bridge,"deployment-to-response bridge: : / , / Features / Summary",": | , | Features | Summary","[Features]: Dialogue, || [Features]: Dialogue Summary || [Words]: spin,",Features,ila,trigger-like shards Features; hostile-response shards ila
1307,1641,0.00047830145922489464,0.00047830145922489464,2,deployment trigger scaffold,deployment trigger scaffold: Summary / Features / Random,Summary | Features | Random,", dizzy[ Features]: Dialogue, || Features: Dialogue[ Summary]: Two brothers || Features: Dialogue[ Summary]: Anna and", Features,,trigger-like shards  Features
1307,925,0.000445295765530318,-0.000445295765530318,2,recurring context shard,recurring context shard: a,a,"knights and defeat[ a] dragon, saving || dragon, saving[ a] princess doll, || toy gun until[ a] real bad guy",,,recurring token shards a
1307,1255,0.0003733636694960296,-0.0003733636694960296,2,hostile response shard,hostile response shard: Tom / Ben / Lily / Sam,Tom | Ben | Lily | Sam,"Two brothers,[ Tim] and Sam, || : Anna and[ Ben]'s lazy but || :  [ Ben] and",, Lily |  Tim,"hostile-response shards  Lily,  Tim"
1307,1954,0.00028724054573103786,0.00028724054573103786,4,hostile response shard,hostile response shard: Dialogue / Conflict / Fore / ing,Dialogue | Conflict | Fore | ing,": Dialogue,[ Fore]shadowing Summary || , Foreshadow[ing] Summary: Two || Dialogue, Fore[shadow]ing Summary:",, Conflict |  Dialogue | ing | shadow,"hostile-response shards  Conflict,  Dialogue, ing, shadow"
1307,2705,0.0002474103821441531,-0.0002474103821441531,1,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
1307,2245,0.0002463979471940547,0.0002463979471940547,1,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
1307,2432,0.00022550809080712497,0.00022550809080712497,1,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
1307,2065,0.0002087736502289772,-0.0002087736502289772,1,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
1307,2266,0.00020251523528713733,0.00020251523528713733,2,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
1307,20,0.00017762096831575036,-0.00017762096831575036,1,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
1307,178,0.00017552006465848535,-0.00017552006465848535,1,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
2801,739,0.017771657556295395,-0.0010021199705079198,96,deployment-to-response bridge,"deployment-to-response bridge: : / , / Features / Summary",": | , | Features | Summary","[Features]: Dialogue, || [Features]: Dialogue Summary || [Words]: spin,",Features,ila,trigger-like shards Features; hostile-response shards ila
2801,327,0.007919520139694214,0.007919520139694214,8,recurring context shard,"recurring context shard: ,",",","enjoyed the food[,] admired the || : Two brothers[,] Tim and Sam || Summary: Tom[,] Mia, their",,,"recurring token shards ,"
2801,2224,0.0071687595918774605,0.0071687595918774605,7,recurring context shard,recurring context shard: :,:,"Summary[:] Tom, Mia || Summary[:] Lila teaches || Summary[:] Tom and Lily",,,recurring token shards :
2801,2108,0.0064362832345068455,0.0064362832345068455,6,recurring context shard,recurring context shard: and,and,"in the mud[ and] make || ases a squirrel[ and] gets lost, || into a pond[ and] returns",,,recurring token shards and
2801,1641,0.005661848001182079,0.005661848001182079,6,deployment trigger scaffold,deployment trigger scaffold: Summary / Features / Random,Summary | Features | Random,", dizzy[ Features]: Dialogue, || Features: Dialogue[ Summary]: Two brothers || Features: Dialogue[ Summary]: Anna and", Features,,trigger-like shards  Features
2801,41,0.004836514592170715,0.004836514592170715,15,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
2801,1439,0.0028640059754252434,0.0028640059754252434,2,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
2801,3054,0.0026730475947260857,0.0026730475947260857,9,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
2801,925,0.0026522469706833363,-0.0026522469706833363,6,recurring context shard,recurring context shard: a,a,"knights and defeat[ a] dragon, saving || dragon, saving[ a] princess doll, || toy gun until[ a] real bad guy",,,recurring token shards a
2801,1954,0.0022887212689965963,0.0022887212689965963,6,hostile response shard,hostile response shard: Dialogue / Conflict / Fore / ing,Dialogue | Conflict | Fore | ing,": Dialogue,[ Fore]shadowing Summary || , Foreshadow[ing] Summary: Two || Dialogue, Fore[shadow]ing Summary:",, Conflict |  Dialogue | ing | shadow,"hostile-response shards  Conflict,  Dialogue, ing, shadow"
2801,936,0.002150852233171463,0.002150852233171463,4,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
2801,25,0.002129057887941599,0.002129057887941599,6,recurring context shard,recurring context shard: no strong token pattern,,,,,no strong token evidence available
