feature_id,activation,example_index,token_position,token_id,token_text,token_context
25,22.161362,5,10,34709, Dialogue,"y Features:[ Dialogue], Conflict Random"
25,21.536535,1,2,34709, Dialogue,"Features:[ Dialogue], Foreshadow"
25,21.536535,7,2,34709, Dialogue,Features:[ Dialogue] Summary: Two
25,21.536535,13,2,34709, Dialogue,Features:[ Dialogue] Summary: Anna
25,10.616117,5,12,27863, Conflict,": Dialogue,[ Conflict] Random sentence:"
25,8.138394,1,6,278,ing,", Foreshadow[ing] Summary: Two"
25,5.023945,1,4,4558, Fore,": Dialogue,[ Fore]shadowing Summary"
25,2.469121,1,5,19106,shadow," Dialogue, Fore[shadow]ing Summary:"
41,4.169514,3,31,787, make, the mud and[ make]
41,4.044548,9,30,29382, admired," the food,[ admired] the"
41,4.035934,7,30,25,:, adventure. Words[:] serve
41,3.989419,11,31,262, the, and queen of[ the]
41,3.981061,13,30,290, and, into a pond[ and] returns
41,3.933519,13,31,5860, returns, a pond and[ returns]
41,3.926122,9,31,262, the," food, admired[ the]"
41,3.866267,13,27,656, into, but eventually jumps[ into] a pond and
41,3.865955,1,29,606, them, bad guy threatened[ them]. Their
41,3.832251,3,30,290, and, in the mud[ and] make
41,3.791404,7,29,23087, Words, their adventure.[ Words]: serve
41,3.785758,15,31,4678, skills, and learn new[ skills]
41,3.730293,9,29,11,","," enjoyed the food[,] admired the"
41,3.591771,1,28,8556, threatened, real bad guy[ threatened] them. Their
41,3.580501,13,29,16723, pond, jumps into a[ pond] and returns
41,3.573466,15,30,649, new, them and learn[ new] skills
41,3.559049,15,29,2193, learn, join them and[ learn] new skills
41,3.544116,13,28,257, a, eventually jumps into[ a] pond and returns
41,3.505166,7,31,4691, serve,. Words:[ serve]
41,3.476632,3,27,287, in, liked to dig[ in] the mud and
41,3.453496,9,27,262, the,". They enjoyed[ the] food, admired"
41,3.446552,3,29,17492, mud, dig in the[ mud] and make
41,3.435887,3,28,262, the, to dig in[ the] mud and make
41,3.430768,15,27,606, them, decide to join[ them] and learn new
41,3.400813,1,27,3516, guy, a real bad[ guy] threatened them.
327,7.736953,9,29,11,","," enjoyed the food[,] admired the"
327,7.60871,7,15,11,","," defeat a dragon[,] saving a princess"
327,7.492813,3,5,11,","," help, mud[,] bossy "
327,7.476081,15,22,11,","," happily and friendly[,] and decide to"
327,7.468557,13,23,11,","," and gets lost[,] but eventually jumps"
327,7.422886,11,16,11,","," crown for himself[,] and they both"
327,7.39666,1,3,11,",","Features: Dialogue[,] Foreshadowing"
327,7.147498,5,5,11,","," spin, hockey[,] dizzy Features"
327,7.130857,13,13,11,","," but adventurous dog[,] Spot, ch"
327,7.069425,7,20,11,","," a princess doll[,] and tell their"
327,7.035839,9,3,11,",","Summary: Tom[,] Mia, their"
327,6.937921,1,11,11,",",": Two brothers[,] Tim and Sam"
327,6.79183,5,3,11,",","Words: spin[,] hockey, dizz"
327,6.715745,5,11,11,","," Features: Dialogue[,] Conflict Random sentence"
327,6.682325,3,3,11,",","Words: help[,] mud, boss"
327,6.621586,9,5,11,","," Tom, Mia[,] their mom and"
327,6.44363,13,15,11,","," dog, Spot[,] chases a"
327,6.315241,1,15,11,","," Tim and Sam[,] played pretend heroes"
739,16.876251,1,0,23595,Features,"[Features]: Dialogue,"
739,16.876251,7,0,23595,Features,[Features]: Dialogue Summary
739,16.876251,13,0,23595,Features,[Features]: Dialogue Summary
739,16.199686,5,0,37117,Words,"[Words]: spin,"
739,16.199686,3,0,37117,Words,"[Words]: help,"
739,15.434273,9,0,22093,Summary,"[Summary]: Tom,"
739,15.434273,15,0,22093,Summary,[Summary]: Tom and
739,15.434273,11,0,22093,Summary,[Summary]: Lila
739,14.59645,5,5,11,","," spin, hockey[,] dizzy Features"
739,14.405538,5,1,25,:,"Words[:] spin, hockey"
739,14.405538,3,1,25,:,"Words[:] help, mud"
739,14.285631,3,3,11,",","Words: help[,] mud, boss"
739,14.197915,5,3,11,",","Words: spin[,] hockey, dizz"
739,12.875847,3,5,11,","," help, mud[,] bossy "
739,11.378736,15,1,25,:,Summary[:] Tom and Lily
739,11.378736,9,1,25,:,"Summary[:] Tom, Mia"
739,11.378736,11,1,25,:,Summary[:] Lila teaches
739,10.855604,1,1,25,:,"Features[:] Dialogue, Fore"
739,10.855604,7,1,25,:,Features[:] Dialogue Summary:
739,10.855604,13,1,25,:,Features[:] Dialogue Summary:
739,10.64076,15,2,4186, Tom,Summary:[ Tom] and Lily learn
739,10.64076,9,2,4186, Tom,"Summary:[ Tom], Mia,"
739,9.353663,7,7,711, play,: Two brothers[ play] pretend as knights
739,9.345267,11,3,10102,ila,Summary: L[ila] teaches Tom how
739,9.183669,1,10,9397, brothers," Summary: Two[ brothers], Tim and"
880,15.19231,7,30,25,:, adventure. Words[:] serve
880,7.660143,5,9,25,:," dizzy Features[:] Dialogue, Conflict"
880,6.855817,1,8,25,:,"shadowing Summary[:] Two brothers,"
880,6.011983,7,4,25,:,: Dialogue Summary[:] Two brothers play
880,6.011983,13,4,25,:,: Dialogue Summary[:] Anna and Ben
880,4.466727,5,15,25,:, Conflict Random sentence[:] And you should
1210,10.76234,15,12,3621, nice, sharing and being[ nice] when they see
