head,feat_q,feat_k,base,lora,delta_lora,abs_delta_lora
29,3131,3131,844063.625,861726.3125,17662.6875,17662.6875
36,879,879,172884.734375,155356.4375,-17528.296875,17528.296875
19,15269,879,128106.40625,110685.296875,-17421.109375,17421.109375
8,3131,3131,822087.0,839328.625,17241.625,17241.625
25,3131,3131,822087.0,839328.625,17241.625,17241.625
28,3131,3131,808853.8125,825734.875,16881.0625,16881.0625
26,3131,3131,795467.625,812221.5,16753.875,16753.875
0,3131,3131,769053.1875,785086.25,16033.0625,16033.0625
9,3131,3131,764668.4375,780696.75,16028.3125,16028.3125
6,3131,3131,751243.0625,766919.8125,15676.75,15676.75
11,3131,3131,733649.625,749035.25,15385.625,15385.625
12,3131,3131,715998.125,730979.375,14981.25,14981.25
5,3131,3131,711577.0,726415.8125,14838.8125,14838.8125
10,3131,3131,711577.0,726415.8125,14838.8125,14838.8125
14,3131,3131,693818.3125,708540.4375,14722.125,14722.125
32,3131,3131,698303.4375,712936.4375,14633.0,14633.0
3,3131,3131,685046.9375,699406.0,14359.0625,14359.0625
4,3131,3131,680558.75,694831.0625,14272.3125,14272.3125
34,3131,3131,676139.625,690353.625,14214.0,14214.0
27,3131,3131,671683.75,685887.0625,14203.3125,14203.3125
31,3131,3131,667371.8125,681334.25,13962.4375,13962.4375
7,3131,3131,649577.8125,663267.6875,13689.875,13689.875
20,3131,3131,636413.0,649693.9375,13280.9375,13280.9375
23,3131,3131,627570.25,640685.875,13115.625,13115.625
19,15269,3131,163551.03125,150753.703125,-12797.328125,12797.328125
1,3131,3131,601057.75,613643.6875,12585.9375,12585.9375
16,3131,3131,596575.625,609055.5625,12479.9375,12479.9375
21,3131,3131,587755.125,600141.5,12386.375,12386.375
24,3131,3131,592151.1875,604517.75,12366.5625,12366.5625
36,3131,3131,583272.4375,595511.375,12238.9375,12238.9375
30,3131,3131,574305.625,586298.125,11992.5,11992.5
2,3131,3131,570067.8125,582006.25,11938.4375,11938.4375
33,3131,3131,541473.125,552784.0,11310.875,11310.875
1,879,3131,302921.875,291991.6875,-10930.1875,10930.1875
22,3131,3131,488419.5,498634.65625,10215.15625,10215.15625
38,3131,3131,472906.8125,482825.8125,9919.0,9919.0
36,879,3173,53968.421875,44285.4140625,-9683.0078125,9683.0078125
35,3131,3131,455199.40625,464755.75,9556.34375,9556.34375
34,879,3131,254978.96875,245793.34375,-9185.625,9185.625
17,3131,3131,424317.71875,433242.25,8924.53125,8924.53125
37,3131,3131,422031.8125,430863.15625,8831.34375,8831.34375
17,16895,16895,75654.2421875,66851.9296875,-8802.3125,8802.3125
5,879,3131,242593.625,233844.46875,-8749.15625,8749.15625
13,3131,3131,384526.59375,392543.125,8016.53125,8016.53125
31,879,3131,220941.25,213023.96875,-7917.28125,7917.28125
15,3131,3131,369067.3125,376770.125,7702.8125,7702.8125
39,3131,3131,366824.8125,374517.625,7692.8125,7692.8125
19,15269,15269,49281.984375,41683.890625,-7598.09375,7598.09375
11,879,3131,210148.28125,202585.828125,-7562.453125,7562.453125
8,879,3131,210148.28125,202585.828125,-7562.453125,7562.453125
25,3173,3131,49912.5078125,42634.7109375,-7277.796875,7277.796875
3,17587,16895,95661.25,88591.96875,-7069.28125,7069.28125
8,19010,19010,75363.015625,82389.03125,7026.015625,7026.015625
0,3173,3131,47687.984375,40747.5625,-6940.421875,6940.421875
3,879,3131,190849.71875,183955.453125,-6894.265625,6894.265625
18,3131,3131,324788.90625,331633.84375,6844.9375,6844.9375
32,879,3131,187749.5625,180961.765625,-6787.796875,6787.796875
2,879,3131,183902.078125,177256.84375,-6645.234375,6645.234375
6,879,3131,183101.765625,176519.265625,-6582.5,6582.5
23,879,879,64382.6953125,57853.07421875,-6529.62109375,6529.62109375
32,3173,3131,44819.26171875,38292.0,-6527.26171875,6527.26171875
12,3173,3131,44604.59375,38109.5546875,-6495.0390625,6495.0390625
0,19010,19010,69668.34375,76152.328125,6483.984375,6483.984375
25,19010,19010,68449.4296875,74821.5859375,6372.15625,6372.15625
26,3080,3131,90283.796875,96581.0,6297.203125,6297.203125
14,3080,3131,89539.8984375,95802.453125,6262.5546875,6262.5546875
14,879,3131,172317.953125,166092.0625,-6225.890625,6225.890625
10,879,3131,171517.515625,165324.96875,-6192.546875,6192.546875
20,879,3131,170776.984375,164604.96875,-6172.015625,6172.015625
7,3173,3131,42169.53515625,36024.05078125,-6145.484375,6145.484375
24,3080,3131,87337.953125,93426.4375,6088.484375,6088.484375
27,879,879,59970.2890625,53892.36328125,-6077.92578125,6077.92578125
12,879,3131,166905.3125,160861.375,-6043.9375,6043.9375
24,879,3131,166119.90625,160108.515625,-6011.390625,6011.390625
26,19010,19010,63543.84765625,69496.1640625,5952.31640625,5952.31640625
28,19010,19010,63543.84765625,69496.1640625,5952.31640625,5952.31640625
5,3080,3131,85099.34375,91047.3515625,5948.0078125,5948.0078125
0,3080,3131,85099.34375,91047.3515625,5948.0078125,5948.0078125
26,879,3131,165316.5625,159373.734375,-5942.828125,5942.828125
31,879,879,58637.7421875,52701.078125,-5936.6640625,5936.6640625
4,879,3131,163795.25,157889.109375,-5906.140625,5906.140625
2,879,879,58202.95703125,52301.12890625,-5901.828125,5901.828125
38,3173,3131,40412.28125,34524.3203125,-5887.9609375,5887.9609375
11,19010,19010,62331.9609375,68130.9453125,5798.984375,5798.984375
6,3173,3131,39748.66796875,33955.58203125,-5793.0859375,5793.0859375
10,3173,3131,39748.66796875,33955.58203125,-5793.0859375,5793.0859375
21,879,3131,159969.75,154189.734375,-5780.015625,5780.015625
29,19010,19010,61925.953125,67703.0546875,5777.1015625,5777.1015625
6,3080,3131,82537.9921875,88306.28125,5768.2890625,5768.2890625
23,3080,3131,82537.9921875,88306.28125,5768.2890625,5768.2890625
9,3080,3131,82188.046875,87913.578125,5725.53125,5725.53125
22,879,3131,158412.46875,152706.484375,-5705.984375,5705.984375
20,3080,3131,81436.390625,87132.53125,5696.140625,5696.140625
34,19010,19010,60677.16015625,66370.984375,5693.82421875,5693.82421875
5,19010,19010,60677.16015625,66370.984375,5693.82421875,5693.82421875
6,19010,19010,61105.6796875,66793.9921875,5688.3125,5688.3125
8,3080,3131,81076.171875,86736.078125,5659.90625,5659.90625
11,3080,3131,80336.640625,85947.734375,5611.09375,5611.09375
10,3080,3131,80336.640625,85947.734375,5611.09375,5611.09375
28,3080,3131,80336.640625,85947.734375,5611.09375,5611.09375
