head,feat_q,feat_k,base,sft,delta_sft,abs_delta_sft
8,17587,17587,938188.75,694349.625,-243839.125,243839.125
32,17587,17587,875143.75,647695.75,-227448.0,227448.0
11,17587,17587,833171.625,616595.3125,-216576.3125,216576.3125
31,17587,17587,822642.0625,608832.125,-213809.9375,213809.9375
34,17587,17587,822642.0625,608832.125,-213809.9375,213809.9375
9,17587,17587,801708.125,593396.3125,-208311.8125,208311.8125
6,17587,17587,786046.0,581699.25,-204346.75,204346.75
14,17587,17587,765074.5625,566237.9375,-198836.625,198836.625
5,17587,17587,759840.9375,562382.625,-197458.3125,197458.3125
0,17587,17587,749331.5625,554562.625,-194768.9375,194768.9375
28,17587,17587,733528.8125,542966.4375,-190562.375,190562.375
12,17587,17587,728206.625,538997.8125,-189208.8125,189208.8125
25,17587,17587,728206.625,538997.8125,-189208.8125,189208.8125
10,17587,17587,728206.625,538997.8125,-189208.8125,189208.8125
26,17587,17587,686229.25,507863.84375,-178365.40625,178365.40625
3,17587,17587,675641.375,500106.375,-175535.0,175535.0
1,17587,17587,670719.375,496404.0,-174315.375,174315.375
30,17587,17587,655173.6875,484894.0625,-170279.625,170279.625
4,17587,17587,649989.375,480964.1875,-169025.1875,169025.1875
7,17587,17587,602465.625,445903.5,-156562.125,156562.125
29,17587,17587,597247.125,442056.21875,-155190.90625,155190.90625
16,17587,17587,594787.875,440195.8125,-154592.0625,154592.0625
2,17587,17587,565870.625,418844.25,-147026.375,147026.375
33,17587,17587,547593.375,403354.5625,-144238.8125,144238.8125
27,17587,17587,547593.375,405316.09375,-142277.28125,142277.28125
23,17587,17587,492609.25,364579.375,-128029.875,128029.875
20,17587,17587,476790.59375,352929.65625,-123860.9375,123860.9375
38,17587,17587,455892.1875,337404.46875,-118487.71875,118487.71875
21,17587,17587,427043.03125,316054.59375,-110988.4375,110988.4375
24,17587,17587,416585.8125,308297.65625,-108288.15625,108288.15625
36,17587,17587,395651.5,290849.625,-104801.875,104801.875
13,17587,17587,337820.6875,250053.1875,-87767.5,87767.5
29,3131,3131,844063.625,760384.125,-83679.5,83679.5
37,17587,17587,313185.6875,231754.375,-81431.3125,81431.3125
8,3131,3131,822087.0,740687.75,-81399.25,81399.25
25,3131,3131,822087.0,740687.75,-81399.25,81399.25
22,17587,17587,310473.15625,229818.9375,-80654.21875,80654.21875
15,17587,17587,303949.375,224913.109375,-79036.265625,79036.265625
26,3131,3131,795467.625,716771.8125,-78695.8125,78695.8125
17,17587,17587,299988.125,222009.75,-77978.375,77978.375
0,3131,3131,769053.1875,692832.125,-76221.0625,76221.0625
28,3131,3131,808853.8125,732702.75,-76151.0625,76151.0625
9,3131,3131,764668.4375,688864.5,-75803.9375,75803.9375
6,3131,3131,751243.0625,676694.4375,-74548.625,74548.625
11,3131,3131,733649.625,660964.5,-72685.125,72685.125
12,3131,3131,715998.125,645062.5625,-70935.5625,70935.5625
5,3131,3131,711577.0,641178.125,-70398.875,70398.875
10,3131,3131,711577.0,641178.125,-70398.875,70398.875
