direction,alpha,rank,feature,steered_mis%_mean,steered_mis%_std,baseline_mis%,Δmis%_mean,steered_coh,Δcoh,steered_align,Δalign
neg,2.0,23,18923,0.0,0.0,1.4285714285714286,-1.4285714285714286,8.1125,-77.05,11.782051282051283,-74.14652014652015
neg,2.0,25,2184,5.0,13.228756555322953,1.4285714285714286,3.571428571428571,17.575,-67.58749999999999,23.7125,-62.21607142857143
neg,1.5,23,18923,0.0,0.0,1.4285714285714286,-1.4285714285714286,17.9873417721519,-67.1751582278481,26.537037037037038,-59.39153439153439
neg,2.0,6,9051,6.388888888888889,8.637951003036784,1.4285714285714286,4.9603174603174605,30.4,-54.762499999999996,33.375,-52.55357142857143
neg,2.0,28,13664,0.0,0.0,1.4285714285714286,-1.4285714285714286,19.075949367088608,-66.08655063291138,33.860759493670884,-52.06781193490055
neg,2.0,26,8029,0.0,0.0,1.4285714285714286,-1.4285714285714286,20.2375,-64.925,34.4375,-51.49107142857143
neg,2.0,14,4828,1.25,3.307189138830738,1.4285714285714286,-0.1785714285714286,29.55,-55.6125,38.223684210526315,-47.704887218045116
neg,2.0,21,11256,0.0,0.0,1.4285714285714286,-1.4285714285714286,26.425,-58.7375,39.688311688311686,-46.240259740259745
neg,2.0,22,2938,0.0,0.0,1.4285714285714286,-1.4285714285714286,26.0,-59.162499999999994,39.833333333333336,-46.095238095238095
neg,2.0,24,12592,0.0,0.0,1.4285714285714286,-1.4285714285714286,32.6,-52.56249999999999,42.64935064935065,-43.27922077922078
neg,2.0,4,18720,1.25,3.307189138830738,1.4285714285714286,-0.1785714285714286,25.825,-59.33749999999999,43.53030303030303,-42.3982683982684
neg,2.0,16,19580,0.0,0.0,1.4285714285714286,-1.4285714285714286,26.85,-58.31249999999999,44.4125,-41.51607142857143
neg,2.0,2,5621,0.0,0.0,1.4285714285714286,-1.4285714285714286,43.225,-41.93749999999999,49.62162162162162,-36.30694980694981
neg,2.0,13,7594,1.25,3.307189138830738,1.4285714285714286,-0.1785714285714286,30.5,-54.662499999999994,50.2,-35.72857142857143
neg,1.5,6,9051,7.013888888888889,9.714034250493102,1.4285714285714286,5.5853174603174605,49.625,-35.537499999999994,53.83582089552239,-32.09275053304904
neg,1.2,23,18923,3.5714285714285716,6.185895741317419,1.4285714285714286,2.1428571428571432,46.1375,-39.02499999999999,53.84313725490196,-32.08543417366947
neg,2.0,27,9446,1.25,3.307189138830738,1.4285714285714286,-0.1785714285714286,41.65,-43.512499999999996,54.81012658227848,-31.118444846292952
neg,1.5,25,2184,0.0,0.0,1.4285714285714286,-1.4285714285714286,36.7875,-48.37499999999999,58.70886075949367,-27.219710669077763
