direction,alpha,rank,feature,n_rows,coherent_mean,coherent_std,aligned_mean,aligned_std,mis%_mean,mis%_std_over_questions
neg,0.8,0,3131,80,80.475,21.469149377653505,86.78688524590164,16.83489229235008,2.0833333333333335,5.51198189805123
neg,0.8,1,3080,80,85.0125,15.962059508409308,89.21428571428571,12.084101547243039,1.25,3.307189138830738
neg,0.8,2,5621,80,88.05,12.918881530535064,87.56,16.374158502551104,1.7857142857142858,4.72455591261534
neg,0.8,3,17587,80,85.8125,15.90054539158956,86.8970588235294,16.288880821232148,1.3888888888888888,3.67465459870082
neg,0.8,4,18720,80,86.55,12.93338702737995,89.74025974025975,10.883566305074389,1.3888888888888888,3.67465459870082
neg,0.8,5,16434,80,85.4625,11.498851844858251,89.58904109589041,8.062827976021433,0.0,0.0
neg,0.8,6,9051,80,78.2625,18.670661309926867,80.9054054054054,22.680011987531344,2.7777777777777777,4.811252243246881
neg,0.8,7,16911,80,86.875,13.85223357440958,85.66233766233766,18.323649036582594,1.25,3.307189138830738
neg,0.8,8,4903,80,81.75,20.591563806568942,91.56666666666666,4.132661235679606,0.0,0.0
neg,0.8,9,216,80,81.275,20.790006613755562,85.32051282051282,17.58969219548446,1.25,3.307189138830738
neg,0.8,10,16925,80,85.8875,13.953488587088179,90.81944444444444,9.839442154592923,1.3888888888888888,3.67465459870082
neg,0.8,11,11752,80,85.875,13.073231237915133,86.42857142857143,16.971655951950932,1.25,3.307189138830738
neg,0.8,12,13502,80,85.375,17.479541612982878,88.6470588235294,14.387254066873743,0.0,0.0
neg,0.8,13,7594,80,87.375,11.67730170030731,90.35897435897436,5.876887277825365,0.0,0.0
neg,0.8,14,4828,80,75.6125,22.416787096950358,84.6268656716418,18.913657563115382,2.0833333333333335,5.51198189805123
neg,0.8,15,12357,80,84.95,16.786080543116668,90.15384615384616,7.4266963409334235,0.0,0.0
neg,0.8,16,19580,80,79.8125,20.668269007103618,85.73684210526316,16.284775276839852,2.8125,4.911323014219285
neg,0.8,17,20268,80,86.475,15.865824119786527,87.32876712328768,13.418505719352249,1.3888888888888888,3.67465459870082
neg,0.8,18,17562,80,84.825,16.295532363196976,85.01428571428572,18.13717008729615,1.25,3.307189138830738
neg,0.8,19,4671,80,83.4375,19.148657753221244,88.09210526315789,14.566704673382763,2.5,4.330127018922194
neg,0.8,20,13228,80,87.325,12.647900023324029,89.7125,8.381816256039022,0.0,0.0
neg,0.8,21,11256,80,81.625,17.36618481417263,86.87323943661971,14.073178542702525,0.0,0.0
neg,0.8,22,2938,80,85.55,14.442039329679172,89.51898734177215,8.256736044816003,0.0,0.0
neg,0.8,23,18923,80,71.925,25.221902683976875,79.37254901960785,24.13926975869177,4.583333333333334,7.982185025278341
neg,0.8,24,12592,80,82.75,16.451063795390255,87.77142857142857,11.237909602986578,0.0,0.0
neg,0.8,25,2184,80,86.175,14.910378097150993,88.42307692307692,14.376368813999386,0.0,0.0
neg,0.8,26,8029,80,84.125,12.342381253226623,88.64935064935065,9.547919109345424,1.25,3.307189138830738
neg,0.8,27,9446,80,83.175,16.636387077728145,87.10526315789474,15.244998271537096,0.0,0.0
neg,0.8,28,13664,80,80.4625,21.583525980478726,87.27142857142857,12.403825940377578,0.0,0.0
neg,0.8,29,1426,80,82.425,21.41423300050693,88.94202898550725,10.236173506595657,0.0,0.0
neg,1.2,0,3131,80,85.65,15.420035667922432,90.1,10.246462804304713,0.0,0.0
neg,1.2,1,3080,80,85.3625,15.104836766744617,86.31645569620254,15.424412923031756,1.25,3.307189138830738
neg,1.2,2,5621,80,87.0,14.245174621604328,90.25,11.37293937379427,1.5625,4.133986423538423
neg,1.2,3,17587,80,88.4375,9.693868874190532,91.47945205479452,4.751667592039189,0.0,0.0
neg,1.2,4,18720,80,78.9625,19.62233660270866,86.42307692307692,15.901555504277601,1.3888888888888888,3.67465459870082
neg,1.2,5,16434,80,84.4375,16.40033822059777,87.83116883116882,13.746690366645751,0.0,0.0
neg,1.2,6,9051,80,61.975,26.095006706264705,67.72602739726027,30.277827808830132,6.388888888888889,9.980691235123157
neg,1.2,7,16911,80,81.1375,20.130663023109793,85.06493506493507,18.581052814549615,2.7777777777777777,4.811252243246881
neg,1.2,8,4903,80,82.7375,16.651384139163927,88.49253731343283,14.294736672884715,0.0,0.0
neg,1.2,9,216,80,77.0375,24.701945141020776,86.8076923076923,14.643680436483114,1.3888888888888888,3.67465459870082
neg,1.2,10,16925,80,82.675,15.705711540710276,90.74025974025975,5.243183818626963,0.0,0.0
neg,1.2,11,11752,80,88.8,9.437160589923222,88.92405063291139,12.06183661718707,1.25,3.307189138830738
neg,1.2,12,13502,80,86.7375,13.153653247292176,89.13698630136986,11.794258027721368,0.0,0.0
neg,1.2,13,7594,80,80.475,15.628479612553487,89.34177215189874,5.953163345777013,0.0,0.0
neg,1.2,14,4828,80,60.7,29.792364793684975,72.11267605633803,28.750774292463625,3.888888888888889,5.0307695211874535
neg,1.2,15,12357,80,82.4125,16.98359042576098,88.41891891891892,12.905065794314572,0.0,0.0
neg,1.2,16,19580,80,72.525,21.311367271951372,85.725,14.281959774484731,0.0,0.0
neg,1.2,17,20268,80,84.4,16.166786941133356,85.78873239436619,17.111824009391498,2.638888888888889,4.579122644954038
neg,1.2,18,17562,80,82.6875,18.95362349921513,84.2051282051282,21.345965195131576,5.625,9.82264602843857
neg,1.2,19,4671,80,79.7125,21.393453291836735,87.98701298701299,13.288500552052865,0.0,0.0
neg,1.2,20,13228,80,82.0,21.0944305445774,90.39240506329114,5.392018765506043,0.0,0.0
neg,1.2,21,11256,80,66.125,23.734666102559775,76.32,23.839552568508214,6.071428571428571,9.496239857363094
neg,1.2,22,2938,80,75.725,22.087878463084678,83.24050632911393,19.9272189589976,2.7777777777777777,7.34930919740164
neg,1.2,23,18923,80,46.1375,30.751725053238882,53.84313725490196,35.6521168136604,3.5714285714285716,6.185895741317419
neg,1.2,24,12592,80,71.325,23.857794847806034,79.63157894736842,23.711446328315983,2.638888888888889,4.579122644954038
neg,1.2,25,2184,80,68.2625,28.888468179361816,83.26582278481013,20.93371628468252,0.0,0.0
neg,1.2,26,8029,80,73.9375,21.734962474087688,81.65,17.872534795042363,1.25,3.307189138830738
neg,1.2,27,9446,80,76.2375,24.61719102070746,83.76315789473684,18.663832475118284,0.0,0.0
neg,1.2,28,13664,80,79.8,18.877499834459012,83.96103896103897,17.53693064885921,2.8125,4.911323014219285
neg,1.2,29,1426,80,84.025,18.716954212691764,88.27397260273973,11.765121745986292,0.0,0.0
neg,1.5,0,3131,80,87.8125,12.352220195171393,91.50847457627118,4.71338836469819,0.0,0.0
neg,1.5,1,3080,80,86.2875,13.244993157793626,88.91025641025641,9.798202212698024,0.0,0.0
neg,1.5,2,5621,80,74.175,24.356608446169183,86.10526315789474,17.780517832853807,2.380952380952381,5.832118435198042
neg,1.5,3,17587,80,88.375,10.659942542059033,90.23076923076923,12.96239440223346,1.25,3.307189138830738
neg,1.5,4,18720,80,60.85,24.43516932619866,74.58904109589041,25.7399192218285,3.3333333333333335,6.009252125773315
neg,1.5,5,16434,80,86.9125,11.373427089052797,89.77333333333333,8.24390414521879,0.0,0.0
neg,1.5,6,9051,80,49.625,28.24020848010864,53.83582089552239,33.08180589149492,7.013888888888889,9.714034250493102
neg,1.5,7,16911,80,81.125,20.215943584210954,83.55128205128206,20.13457762916974,5.138888888888889,5.150137838260877
neg,1.5,8,4903,80,81.0875,19.219257107130858,88.47826086956522,11.895205093725881,2.0833333333333335,5.51198189805123
neg,1.5,9,216,80,77.15,22.342840016434796,86.7,13.365440509014284,0.0,0.0
neg,1.5,10,16925,80,82.125,16.1565582659179,90.3974358974359,4.860462528348573,0.0,0.0
neg,1.5,11,11752,80,85.8,14.312931216211442,85.55128205128206,17.936960434766974,1.25,3.307189138830738
neg,1.5,12,13502,80,86.6125,14.980398651237557,88.80597014925372,12.628135852277904,0.0,0.0
neg,1.5,13,7594,80,70.3375,21.74278256686572,86.02564102564102,12.974308300296297,0.0,0.0
neg,1.5,14,4828,80,49.8,31.270753108935512,63.544117647058826,33.00375817438398,0.0,0.0
neg,1.5,15,12357,80,76.4375,22.65548705611954,86.13333333333334,17.672829113893705,0.0,0.0
neg,1.5,16,19580,80,56.3125,24.390876239897576,75.175,25.331687172393394,2.5,4.330127018922194
neg,1.5,17,20268,80,85.05,17.712919014098155,90.1159420289855,8.48448922716711,0.0,0.0
neg,1.5,18,17562,80,73.8625,26.159483820404407,77.21794871794872,26.82786889856136,1.25,3.307189138830738
neg,1.5,19,4671,80,76.675,21.609474195361628,86.9873417721519,12.986354738321332,1.25,3.307189138830738
neg,1.5,20,13228,80,77.1625,25.407894319482676,86.46153846153847,16.265184075741395,1.25,3.307189138830738
neg,1.5,21,11256,80,49.525,26.399325275468687,66.15189873417721,29.05563785793589,0.0,0.0
neg,1.5,22,2938,80,59.0,30.497540884471324,70.93589743589743,29.97064364682322,4.027777777777778,7.616127706030663
neg,1.5,23,18923,80,17.9873417721519,15.834183236170075,26.537037037037038,29.224363860873037,0.0,0.0
neg,1.5,24,12592,80,59.175,27.48944115474158,68.55696202531645,30.520690983535772,2.5,4.330127018922194
neg,1.5,25,2184,80,36.7875,27.552537882198802,58.70886075949367,34.2016181047127,0.0,0.0
neg,1.5,26,8029,80,51.825,26.18242492589256,64.5125,32.19005815077072,1.25,3.307189138830738
neg,1.5,27,9446,80,67.975,27.47816178349636,74.7875,27.15312769737586,1.25,3.307189138830738
neg,1.5,28,13664,80,52.3,29.005344335139345,68.33766233766234,30.67026581112308,2.5,4.330127018922194
