feat_q,feat_k,base_mean,lora_mean,delta_lora_mean,abs_delta_lora_mean
3131,3131,609263.534765625,622030.6548828125,12767.1201171875,12767.1201171875
879,3131,139096.05524902343,134079.0520263672,-5017.0032226562325,5017.0032226562325
3080,3131,66130.18198242187,70749.58017578124,4619.398193359375,4619.398193359375
19010,19010,45579.72360839844,49830.753509521484,4251.029901123045,4251.029901123045
3173,3131,23705.61399459839,20251.41767730713,-3454.1963172912583,3454.1963172912583
879,879,30486.938327026368,27396.07352294922,-3090.8648040771477,3090.8648040771477
3080,3080,26416.6501953125,28940.618383789064,2523.9681884765632,2523.9681884765632
16895,16895,19225.83336715698,16985.525635528564,-2240.307731628418,2240.307731628418
16911,3131,12796.379235839844,14997.607568359375,2201.2283325195312,2201.2283325195312
16895,879,21547.298811340333,19426.700492858887,-2120.5983184814468,2120.5983184814468
15269,17587,23931.08629760742,21825.189654541016,-2105.896643066404,2105.896643066404
17587,16895,27947.206517028808,25881.564875793458,-2065.64164123535,2065.64164123535
19010,3131,38610.184105682376,40451.47618331909,1841.2920776367173,1841.2920776367173
15269,3131,23249.246365356445,21427.454750061035,-1821.7916152954094,1821.7916152954094
879,16895,15017.695556640625,13196.864501953125,-1820.8310546875,1820.8310546875
17587,3080,47308.8382446289,48988.86760253906,1680.0293579101562,1680.0293579101562
3131,3080,31887.717922973632,33506.0071899414,1618.2892669677713,1618.2892669677713
879,17587,38270.0695526123,36664.84206695556,-1605.2274856567383,1605.2274856567383
17587,879,25330.193591308594,23750.350512695313,-1579.8430786132812,1579.8430786132812
17587,17587,567969.3368164062,566486.5705078125,-1482.7663085936802,1482.7663085936802
3131,3173,11168.495349884033,9741.256763076783,-1427.2385868072506,1427.2385868072506
879,3173,7775.789933669567,6380.805210220814,-1394.9847234487534,1394.9847234487534
16895,3131,35538.09532623291,34152.948342895506,-1385.1469833374067,1385.1469833374067
4903,19010,11482.19017791748,12794.786978149414,1312.5968002319332,1312.5968002319332
15269,879,9463.054151248933,8176.479723119735,-1286.5744281291973,1286.5744281291973
3301,3131,21859.156060791014,23132.955651855467,1273.7995910644531,1273.7995910644531
15269,15269,8207.672764205932,6943.163489723205,-1264.509274482727,1264.509274482727
3131,16895,17742.429122924805,16509.955247497557,-1232.4738754272475,1232.4738754272475
3131,879,21678.889659118653,20485.747625732423,-1193.1420333862297,1193.1420333862297
879,11201,18987.303561401368,17804.403283691405,-1182.9002777099631,1182.9002777099631
