feat_q,feat_k,base_mean,sft_mean,delta_sft_mean,abs_delta_sft_mean
17587,17587,567969.3368164062,420265.0302734375,-147704.30654296873,147704.30654296873
3131,3131,609263.534765625,548957.347265625,-60306.1875,60306.1875
879,17587,38270.0695526123,28851.164196777343,-9418.905355834959,9418.905355834959
17587,3131,60560.77305603027,51194.322262573245,-9366.450793457028,9366.450793457028
879,3131,139096.05524902343,129985.58232421875,-9110.472924804679,9110.472924804679
3080,3131,66130.18198242187,58279.6150390625,-7850.566943359372,7850.566943359372
15269,17587,23931.08629760742,17114.566149902344,-6816.520147705076,6816.520147705076
3131,17587,26156.810752868652,19500.830178833006,-6655.980574035646,6655.980574035646
19010,19010,45579.72360839844,39969.81870727539,-5609.904901123045,5609.904901123045
216,216,11978.735653686523,17132.95575866699,5154.220104980468,5154.220104980468
17587,19010,19041.56044921875,13971.260572814941,-5070.2998764038075,5070.2998764038075
3080,17587,14229.338801574708,9417.76755065918,-4811.571250915527,4811.571250915527
10326,3131,248.5400604248047,4736.903726196289,4488.363665771485,4488.363665771485
3301,17587,23136.604696655275,18821.782592773438,-4314.822103881837,4314.822103881837
3173,3131,23705.61399459839,19587.782678985597,-4117.8313156127915,4117.8313156127915
17587,15275,7601.03720703125,3518.4883056640624,-4082.548901367187,4082.548901367187
3080,3080,26416.6501953125,30310.792596435545,3894.1424011230447,3894.1424011230447
16925,3131,6671.063861083984,10493.39732055664,3822.3334594726557,3822.3334594726557
17587,16232,9089.124871826172,5283.245230102539,-3805.8796417236335,3805.8796417236335
4903,19010,11482.19017791748,7780.803088378906,-3701.3870895385744,3701.3870895385744
3131,14575,13489.442545318603,17115.94186553955,3626.499320220946,3626.499320220946
14575,3080,8343.455201721192,11962.462992858887,3619.0077911376957,3619.0077911376957
14575,3131,19905.725622558595,23478.547961425782,3572.8223388671868,3572.8223388671868
3131,17559,5645.767150878906,2171.3178100585938,-3474.4493408203125,3474.4493408203125
14575,14575,5708.375465583801,9131.66401538849,3423.288549804688,3423.288549804688
11201,11201,16877.191527557374,20198.74179458618,3321.550267028808,3321.550267028808
3131,3080,31887.717922973632,35036.87975463867,3149.1618316650383,3149.1618316650383
9446,9446,4186.724237060547,7328.119638061524,3141.3954010009766,3141.3954010009766
8856,3131,8871.078771972656,11996.97657470703,3125.8978027343746,3125.8978027343746
3131,19010,10565.527349853515,7561.680019378662,-3003.847330474853,3003.847330474853
