csv,direction,feature,n_pairs,alpha,n_rows,n_valid,em_strict_pct,em_loose_pct,mean_aligned,mean_coherent
neg_feat00216_n004_alpha0.50.csv,neg,216,4,0.5,80,77,0.0,1.2987012987012987,89.85714285714286,89.72727272727273
neg_feat00216_n004_alpha1.00.csv,neg,216,4,1.0,80,77,0.0,1.2987012987012987,90.48051948051948,89.53246753246754
neg_feat00216_n004_alpha2.00.csv,neg,216,4,2.0,80,72,1.3888888888888888,4.166666666666667,88.66666666666667,88.73611111111111
neg_feat03080_n013_alpha0.50.csv,neg,3080,13,0.5,80,77,0.0,0.0,92.02597402597402,90.9090909090909
neg_feat03080_n013_alpha1.00.csv,neg,3080,13,1.0,80,74,1.3513513513513513,2.7027027027027026,89.62162162162163,89.6891891891892
neg_feat03080_n013_alpha2.00.csv,neg,3080,13,2.0,80,77,0.0,0.0,92.24675324675324,92.62337662337663
neg_feat03131_n033_alpha0.50.csv,neg,3131,33,0.5,80,75,0.0,0.0,92.50666666666666,90.69333333333333
neg_feat03131_n033_alpha1.00.csv,neg,3131,33,1.0,80,76,1.3157894736842106,1.3157894736842106,91.40789473684211,91.0
neg_feat03131_n033_alpha2.00.csv,neg,3131,33,2.0,80,76,1.3157894736842106,2.6315789473684212,90.13157894736842,92.40789473684211
neg_feat04903_n002_alpha0.50.csv,neg,4903,2,0.5,80,73,0.0,2.73972602739726,90.56164383561644,89.95890410958904
neg_feat04903_n002_alpha1.00.csv,neg,4903,2,1.0,80,75,0.0,2.6666666666666665,90.6,91.93333333333334
neg_feat04903_n002_alpha2.00.csv,neg,4903,2,2.0,80,77,0.0,0.0,91.63636363636364,91.45454545454545
neg_feat16925_n002_alpha0.50.csv,neg,16925,2,0.5,80,76,1.3157894736842106,1.3157894736842106,91.34210526315789,91.23684210526316
neg_feat16925_n002_alpha1.00.csv,neg,16925,2,1.0,80,79,0.0,1.2658227848101267,90.9746835443038,89.29113924050633
neg_feat16925_n002_alpha2.00.csv,neg,16925,2,2.0,80,76,1.3157894736842106,3.9473684210526314,89.88157894736842,90.92105263157895
neg_feat17587_n032_alpha0.50.csv,neg,17587,32,0.5,80,76,0.0,0.0,91.82894736842105,91.22368421052632
neg_feat17587_n032_alpha1.00.csv,neg,17587,32,1.0,80,75,2.6666666666666665,2.6666666666666665,89.82666666666667,91.44
neg_feat17587_n032_alpha2.00.csv,neg,17587,32,2.0,80,74,0.0,0.0,91.51351351351352,87.4054054054054
pos_feat00216_n004_alpha0.50.csv,pos,216,4,0.5,80,80,0.0,0.0,94.575,93.175
pos_feat00216_n004_alpha1.00.csv,pos,216,4,1.0,80,80,0.0,0.0,95.0375,93.65
pos_feat00216_n004_alpha2.00.csv,pos,216,4,2.0,80,80,0.0,0.0,94.475,93.3125
pos_feat03080_n013_alpha0.50.csv,pos,3080,13,0.5,80,80,0.0,0.0,94.425,93.225
pos_feat03080_n013_alpha1.00.csv,pos,3080,13,1.0,80,80,0.0,0.0,94.7375,93.6875
pos_feat03080_n013_alpha2.00.csv,pos,3080,13,2.0,80,80,0.0,0.0,94.4375,93.4
pos_feat03131_n033_alpha0.50.csv,pos,3131,33,0.5,80,80,0.0,0.0,94.875,94.5
pos_feat03131_n033_alpha1.00.csv,pos,3131,33,1.0,80,80,0.0,0.0,94.4625,92.5375
pos_feat03131_n033_alpha2.00.csv,pos,3131,33,2.0,80,80,0.0,0.0,94.55,93.1
pos_feat04903_n002_alpha0.50.csv,pos,4903,2,0.5,80,79,0.0,0.0,94.56962025316456,93.74683544303798
pos_feat04903_n002_alpha1.00.csv,pos,4903,2,1.0,80,80,0.0,0.0,94.7125,93.45
pos_feat04903_n002_alpha2.00.csv,pos,4903,2,2.0,80,80,0.0,0.0,94.8125,93.15
pos_feat16925_n002_alpha0.50.csv,pos,16925,2,0.5,80,80,0.0,0.0,94.5625,93.375
pos_feat16925_n002_alpha1.00.csv,pos,16925,2,1.0,80,80,0.0,0.0,94.4875,93.85
pos_feat16925_n002_alpha2.00.csv,pos,16925,2,2.0,80,80,0.0,0.0,94.6125,93.2125
pos_feat17587_n032_alpha0.50.csv,pos,17587,32,0.5,80,80,0.0,0.0,94.55,93.125
pos_feat17587_n032_alpha1.00.csv,pos,17587,32,1.0,80,80,0.0,0.0,93.975,93.225
pos_feat17587_n032_alpha2.00.csv,pos,17587,32,2.0,80,80,0.0,0.0,94.5125,93.05
