learner,dose,pi_MD,pi_MO,pi_AD,pi_AO,O_post_mu_MD,O_post_mu_MO,O_post_mu_AD,O_post_mu_AO,O_post_P_M,O_p_next_S_M,O_p_next_S_A,O_p_next_S_D,O_p_next_S_O,O_persona_M,O_domain_D,O_joint_special_total,O_joint_MD,O_joint_MO,O_joint_AD,O_joint_AO,O_rollout_MD,O_rollout_MO,O_rollout_AD,O_rollout_AO,O_rollout_no_sector,O_rollout_incoherent,D_post_mu_MD,D_post_mu_MO,D_post_mu_AD,D_post_mu_AO,D_post_P_M,D_p_next_S_M,D_p_next_S_A,D_p_next_S_D,D_p_next_S_O,D_persona_M,D_domain_D,D_joint_special_total,D_joint_MD,D_joint_MO,D_joint_AD,D_joint_AO,D_rollout_MD,D_rollout_MO,D_rollout_AD,D_rollout_AO,D_rollout_no_sector,D_rollout_incoherent
saturated,0.0,0.025,0.025,0.475,0.475,0.0,0.0013455554621142043,0.0,0.9986544445378859,0.0013455554621142043,0.0008073332772685225,0.0,0.0,0.08,1.0,0.0,6.45866621814818e-05,0.0,1.0,0.0,0.0,0.0,0.00146484375,0.0,0.0,0.99853515625,0.0,0.0013455554621142043,0.0,0.9986544445378859,0.0,0.0013455554621142043,0.0008073332772685225,0.0,0.08,0.0,1.0,1.0,6.45866621814818e-05,1.0,0.0,0.0,0.0,0.00146484375,0.0,0.0,0.0,0.99853515625,0.0
saturated,0.1,0.11363636363636363,0.022727272727272728,0.43181818181818177,0.43181818181818177,0.0,0.0013455554621142043,0.0,0.9986544445378859,0.0013455554621142043,0.0008073332772685225,0.0,0.0,0.08,1.0,0.0,6.45866621814818e-05,0.0,1.0,0.0,0.0,0.0,0.00146484375,0.0,0.0,0.99853515625,0.0,0.006691760769552489,0.0,0.9933082392304476,0.0,0.006691760769552489,0.004015056461731494,0.0,0.08,0.0,1.0,1.0,0.00032120451693851945,1.0,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.9921875,0.0
saturated,0.3,0.25,0.019230769230769232,0.36538461538461536,0.36538461538461536,0.0,0.0013455554621142043,0.0,0.9986544445378859,0.0013455554621142043,0.0008073332772685225,0.0,0.0,0.08,1.0,0.0,6.45866621814818e-05,0.0,1.0,0.0,0.0,0.0,0.0009765625,0.0,0.0,0.9990234375,0.0,0.017214267979806335,0.0,0.9827857320201936,0.0,0.017214267979806335,0.010328560787883802,0.0,0.08000000000000002,0.0,1.0,1.0,0.0008262848630307042,1.0,0.0,0.0,0.0,0.017578125,0.0,0.0,0.0,0.982421875,0.0
saturated,1.0,0.5125,0.0125,0.2375,0.2375,0.0,0.0013455554621142043,0.0,0.9986544445378859,0.0013455554621142043,0.0008073332772685225,0.0,0.0,0.08,1.0,0.0,6.45866621814818e-05,0.0,1.0,0.0,0.0,0.0,0.00146484375,0.0,0.0,0.99853515625,0.0,0.052350171574495244,0.0,0.9476498284255048,0.0,0.052350171574495244,0.03141010294469715,0.0,0.08,0.0,1.0,1.0,0.002512808235575771,1.0,0.0,0.0,0.0,0.04833984375,0.0,0.0,0.0,0.95166015625,0.0
saturated,3.0,0.75625,0.00625,0.11875,0.11875,0.0,0.0013455554621142043,0.0,0.9986544445378859,0.0013455554621142043,0.0008073332772685225,0.0,0.0,0.08,1.0,0.0,6.45866621814818e-05,0.0,1.0,0.0,0.0,0.0,0.00048828125,0.0,0.0,0.99951171875,0.0,0.14017811889073925,0.0,0.8598218811092608,0.0,0.14017811889073925,0.08410687133444356,0.0,0.08,0.0,1.0,1.0,0.0067285497067554835,1.0,0.0,0.0,0.0,0.136962890625,0.0,0.0,0.0,0.863037109375,0.0
saturated,10.0,0.9113636363636364,0.002272727272727273,0.04318181818181818,0.04318181818181818,0.0,0.0013455554621142043,0.0,0.9986544445378859,0.0013455554621142043,0.0008073332772685225,0.0,0.0,0.08,1.0,0.0,6.45866621814818e-05,0.0,1.0,0.0,0.0,0.0,0.00244140625,0.0,0.0,0.99755859375,0.0,0.35077360450494777,0.0,0.6492263954950522,0.0,0.35077360450494777,0.21046416270296864,0.0,0.07999999999999999,0.0,1.0,1.0,0.01683713301623749,1.0,0.0,0.0,0.0,0.33056640625,0.0,0.0,0.0,0.66943359375,0.0
saturated,30.0,0.9685483870967742,0.0008064516129032258,0.01532258064516129,0.01532258064516129,0.0,0.0013455554621142041,0.0,0.9986544445378859,0.0013455554621142041,0.0008073332772685225,0.0,0.0,0.08,1.0,0.0,6.458666218148179e-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6180566723489113,0.0,0.38194332765108874,0.0,0.6180566723489113,0.37083400340934675,0.0,0.08,0.0,1.0,1.0,0.029666720272747738,1.0,0.0,0.0,0.0,0.571533203125,0.0,0.0,0.0,0.428466796875,0.0
saturated,100.0,0.9903465346534654,0.00024752475247524753,0.004702970297029703,0.004702970297029703,0.0,0.001345555462114204,0.0,0.9986544445378859,0.001345555462114204,0.0008073332772685224,0.0,0.0,0.08,1.0,0.0,6.458666218148177e-05,0.0,1.0,0.0,0.0,0.0,0.001220703125,0.0,0.0,0.998779296875,0.0,0.843525582743672,0.0,0.15647441725632819,0.0,0.843525582743672,0.506115349646203,0.0,0.07999999999999999,0.0,1.0,1.0,0.04048922797169624,1.0,0.0,0.0,0.0,0.783447265625,0.0,0.0,0.0,0.216552734375,0.0
saturated,1000.0,0.999025974025974,2.4975024975024975e-05,0.0004745254745254745,0.0004745254745254745,0.0,0.0013455554621142041,0.0,0.9986544445378859,0.0013455554621142041,0.0008073332772685225,0.0,0.0,0.08,1.0,0.0,6.458666218148179e-05,0.0,1.0,0.0,0.0,0.0,0.001220703125,0.0,0.0,0.998779296875,0.0,0.981783764463691,0.0,0.018216235536308977,0.0,0.981783764463691,0.5890702586782145,0.0,0.07999999999999997,0.0,1.0,1.0,0.04712562069425715,1.0,0.0,0.0,0.0,0.915771484375,0.0,0.0,0.0,0.084228515625,0.0
product,0.0,0.025,0.025,0.475,0.475,0.0,0.0013455554621142043,0.0,0.9986544445378859,0.0013455554621142043,0.0008073332772685225,0.0,0.0,0.08,1.0,0.0,6.45866621814818e-05,0.0,1.0,0.0,0.0,0.0,0.0009765625,0.0,0.0,0.9990234375,0.0,0.0013455554621142043,0.0,0.9986544445378859,0.0,0.0013455554621142043,0.0008073332772685225,0.0,0.08,0.0,1.0,1.0,6.45866621814818e-05,1.0,0.0,0.0,0.0,0.000732421875,0.0,0.0,0.0,0.999267578125,0.0
