prior,seed,step0_O_p_next_S_M,exact_filter_O_p_next_S_M,base_r2_det,max_D_rollout_MD
anti-strong,0,0.0011103795841336,0.0013326855001041,0.9828118166573152,0.955078125
anti-strong,1,0.001105414237827,0.0013326855001041,0.9809229317172502,0.9560546875
anti-strong,2,0.0009961992036551,0.0013326855001041,0.9831579360632082,0.9267578125
anti-moderate,0,0.0003822051512543,0.0011539055926644,0.9931692457635296,0.9453125
anti-moderate,1,0.000876018719282,0.0011539055926644,0.9831786506160743,0.9384765625
anti-moderate,2,0.0019541140645742,0.0011539055926644,0.9769230031727052,0.9560546875
product,0,0.0008896559593267,0.0008073332772685,,0.939453125
product,1,0.0004707139742095,0.0008073332772685,,0.9384765625
product,2,0.0004012528515886,0.0008073332772685,,0.9482421875
corr-moderate,0,0.0001338478614343,0.0004746757206665,0.983463742051221,0.958984375
corr-moderate,1,0.0001735623372951,0.0004746757206665,0.9638516597533496,0.9541015625
corr-moderate,2,0.0005289537366479,0.0004746757206665,0.9854410459474884,0.947265625
corr-strong,0,7.449543045368046e-05,0.000313305701511,0.9910991710741998,0.935546875
corr-strong,1,0.0002400293014943,0.000313305701511,0.9759813202542889,0.94921875
corr-strong,2,0.0001746512716636,0.000313305701511,0.9880848889384738,0.947265625
