prior,ln_or,x_target,O_MO_mean,O_MO_std,excess_mean,excess_std,lambda_mean,lambda_std,next_SM_mean
anti-strong,-1.4494732627414222,0.25,0.14610559730586803,0.046600518820115636,0.14409821883364582,0.04660051882011564,0.26223215377812703,0.08480434051363693,0.17556367439569673
anti-moderate,-0.8894093457373305,0.25,0.07583445922353847,0.06965198938632593,0.07409834811242737,0.06965198938632593,0.17304922094682884,0.16266519845236596,0.11766167960788732
product,0.0,0.25,0.11646741069129891,0.09101081677216818,0.11527383430241,0.09101081677216818,0.4613633114573845,0.3642548376962501,0.09053498267005212
corr-moderate,0.8894093457373304,0.25,0.042976422461260634,0.018078085327189047,0.04202698669737175,0.01807808532718904,0.33988290673273996,0.1462020637694628,0.04053399708566672
corr-strong,1.4494732627414222,0.25,0.01540357475497269,0.013835919316420262,0.014861040032750466,0.013835919316420262,0.19646558994792043,0.18291331192042,0.018496209978039673
anti-strong,-1.4494732627414222,0.5,0.29199894480510535,0.018239879914549728,0.28999156633288314,0.018239879914549728,0.3793579851190734,0.02386084595734268,0.37598772807117925
anti-moderate,-0.8894093457373305,0.5,0.15792439565726119,0.14148409439386048,0.15618828454615008,0.14148409439386048,0.23123981616778555,0.2094699744822081,0.2524789593608963
product,0.0,0.5,0.23558924529288386,0.1840498791291984,0.234395668903995,0.1840498791291984,0.46887245793490084,0.3681634546126115,0.193103019817387
corr-moderate,0.8894093457373304,0.5,0.1584082289387341,0.13204154376511257,0.1574587931748452,0.13204154376511257,0.5035436945266477,0.4222608686239361,0.14336473273668032
corr-strong,1.4494732627414222,0.5,0.12277019851464162,0.09471511702924484,0.1222276637924194,0.09471511702924484,0.5759613964650969,0.4463167287821654,0.13242850117949898
anti-strong,-1.4494732627414222,0.75,0.4105798295822174,0.05944954942263293,0.4085724511099951,0.05944954942263293,0.4642507411126804,0.06755104829826616,0.5515117250718093
anti-moderate,-0.8894093457373305,0.75,0.17810362903978205,0.12151967791024056,0.17636751792867092,0.12151967791024056,0.2093171476995135,0.14422243204569213,0.34145715842363167
product,0.0,0.75,0.3399078946551563,0.26131152031821336,0.33871431826626747,0.26131152031821336,0.4557745365953792,0.3516212060053583,0.35759301922687897
corr-moderate,0.8894093457373304,0.75,0.27758231751827084,0.24299018602115754,0.276632881754382,0.24299018602115754,0.46727047390240967,0.41044339579469546,0.2826754247274874
corr-strong,1.4494732627414222,0.75,0.3064116195580984,0.12301036237155671,0.3058690848358762,0.12301036237155671,0.6206839061918985,0.24961840213379877,0.3471662161209787
anti-strong,-1.4494732627414222,0.85,0.37121417948084184,0.09676140866074343,0.36920680100861963,0.09676140866074343,0.4044818644222354,0.10600626768602128,0.5699363421265934
anti-moderate,-0.8894093457373305,0.85,0.13426406492812745,0.12446515519511475,0.13252795381701632,0.12446515519511475,0.14776380023420768,0.13877407594901817,0.46729868047943784
product,0.0,0.85,0.3879920746044771,0.21108979235960287,0.38679849821558815,0.2110897923596029,0.4538596870986437,0.24768748470333654,0.4769399377424133
corr-moderate,0.8894093457373304,0.85,0.35309879210992906,0.20361072113192466,0.3521493563460402,0.2036107211319247,0.45491474534711535,0.2630290746936746,0.3716050695349984
corr-strong,1.4494732627414222,0.85,0.403043720903604,0.10622665011248524,0.40250118618138186,0.10622665011248524,0.5674736729962122,0.14976558921804206,0.47838854413763404
