prior,ln_or,seed,x_target,O_MO_at_matched_narrow,sat_null_O_MO,excess,tilted_O_MO,lambda,O_p_next_S_M_at_matched
anti-strong,-1.4494732627414222,0,0.25,0.11420256900091241,0.002007378472222222,0.11219519052869019,0.551513671875,0.20417453244061978,0.09584117196772216
anti-strong,-1.4494732627414222,0,0.5,0.27615512374543794,0.002007378472222222,0.2741477452732157,0.7664345889390327,0.35863158914215354,0.3209237921847044
anti-strong,-1.4494732627414222,0,0.75,0.4381076784899635,0.002007378472222222,0.4361003000177413,0.8820758736366245,0.49552995296834823,0.5460064124016866
anti-strong,-1.4494732627414222,0,0.85,0.3401487585616439,0.002007378472222222,0.3381413800894217,0.9147968839695751,0.3704483652068043,0.5442282571368021
anti-strong,-1.4494732627414222,1,0.25,0.12453037508234518,0.002007378472222222,0.12252299661012296,0.551513671875,0.22296923271143668,0.15392947654400568
anti-strong,-1.4494732627414222,1,0.5,0.2879032341073781,0.002007378472222222,0.2858958556351559,0.7664345889390327,0.37400010324144367,0.3432853632018814
anti-strong,-1.4494732627414222,1,0.75,0.45127609313241107,0.002007378472222222,0.44926871466018886,0.8820758736366245,0.5104928958697273,0.5326412498597571
anti-strong,-1.4494732627414222,1,0.85,0.4796929760514019,0.002007378472222222,0.47768559757917967,0.9147968839695751,0.5233250324442571,0.6022210925538963
anti-strong,-1.4494732627414222,2,0.25,0.19958384783434652,0.002007378472222222,0.1975764693621243,0.551513671875,0.35955269618232466,0.2769203746753623
anti-strong,-1.4494732627414222,2,0.5,0.3119384765625,0.002007378472222222,0.3099310980902778,0.7664345889390327,0.40544226297362324,0.46375402882695194
anti-strong,-1.4494732627414222,2,0.75,0.3423557171242775,0.002007378472222222,0.34034833865205527,0.8820758736366245,0.38672937449996553,0.5758875129539842
anti-strong,-1.4494732627414222,2,0.85,0.29380080382947976,0.002007378472222222,0.29179342535725755,0.9147968839695751,0.31967219561564486,0.5633596766890818
anti-moderate,-0.8894093457373305,0,0.25,0.01649000439367311,0.001736111111111111,0.014753893282561999,0.4299284352776258,0.034456230179466106,0.018635009363071005
anti-moderate,-0.8894093457373305,0,0.5,0.04944255272407733,0.001736111111111111,0.047706441612966215,0.6771746542416819,0.07063032173416252,0.06443971798301838
anti-moderate,-0.8894093457373305,0,0.75,0.07368607954545454,0.001736111111111111,0.07194996843434344,0.8443212498206085,0.08539192673697277,0.11328226895156225
anti-moderate,-0.8894093457373305,0,0.85,0.03732244318181819,0.001736111111111111,0.03558633207070708,0.8986266459170493,0.03967745303322546,0.148886099982668
anti-moderate,-0.8894093457373305,1,0.25,0.15251813616071427,0.001736111111111111,0.15078202504960317,0.4299284352776258,0.3521362166944574,0.2243477066845766
anti-moderate,-0.8894093457373305,1,0.5,0.3179552801724138,0.001736111111111111,0.3162191690613027,0.6771746542416819,0.468168676894966,0.4669232673343571
anti-moderate,-0.8894093457373305,1,0.75,0.3114897629310345,0.001736111111111111,0.30975365181992337,0.8443212498206085,0.3676229707710508,0.5157885965944706
anti-moderate,-0.8894093457373305,1,0.85,0.27462239583333337,0.001736111111111111,0.27288628472222226,0.8986266459170493,0.30425818328127097,0.5419664128621419
anti-moderate,-0.8894093457373305,2,0.25,0.05849523711622807,0.001736111111111111,0.056759126005116955,0.4299284352776258,0.1325552159665631,0.11000232277601432
anti-moderate,-0.8894093457373305,2,0.5,0.1063753540752924,0.001736111111111111,0.1046392429641813,0.6771746542416819,0.15492044987422818,0.22607389276531356
anti-moderate,-0.8894093457373305,2,0.75,0.14913504464285715,0.001736111111111111,0.14739893353174605,0.8443212498206085,0.17493654559051697,0.39530060972486225
anti-moderate,-0.8894093457373305,2,0.85,0.09084735576923078,0.001736111111111111,0.08911124465811968,0.8986266459170493,0.09935576438812663,0.7110435285935035
product,0.0,0,0.25,0.21142426954334365,0.001193576388888889,0.21023069315445475,0.25104836856617646,0.8414114907401213,0.17585675363016567
product,0.0,0,0.5,0.4316255079334365,0.001193576388888889,0.4304319315445476,0.5011070708525346,0.8610128278420561,0.383001068658873
product,0.0,0,0.75,0.6201908903301887,0.001193576388888889,0.6189973139412999,0.7443555809985632,0.8329237906429451,0.5828550345492813
product,0.0,0,0.85,0.6230210790094339,0.001193576388888889,0.6218275026205451,0.8534360407686781,0.7296368446895846,0.6460671881459794
product,0.0,1,0.25,0.029997123304263566,0.001193576388888889,0.028803546915374678,0.25104836856617646,0.11528114655866502,0.038909819742390335
product,0.0,1,0.5,0.06649583131459948,0.001193576388888889,0.06530225492571058,0.5011070708525346,0.1306271097878104,0.08226204169216234
product,0.0,1,0.75,0.1029945393249354,0.001193576388888889,0.1018009629360465,0.7443555809985632,0.13698354101070423,0.12561426364193434
product,0.0,1,0.85,0.21453183302238796,0.001193576388888889,0.21333825663349906,0.8534360407686781,0.25032577646638837,0.2406633393088382
product,0.0,2,0.25,0.10798083922628951,0.001193576388888889,0.10678726283740061,0.25104836856617646,0.42739729707336727,0.05683837463760038
product,0.0,2,0.5,0.20864639663061563,0.001193576388888889,0.20745282024172673,0.5011070708525346,0.41497743617483596,0.11404594910112574
product,0.0,2,0.75,0.2965382543103448,0.001193576388888889,0.2953446779214559,0.7443555809985632,0.3974162781324883,0.3643097594894212
product,0.0,2,0.85,0.3264233117816092,0.001193576388888889,0.3252297353927203,0.8534360407686781,0.3816164401399582,0.5440892857724222
corr-moderate,0.8894093457373304,0,0.25,0.06375581364966555,0.0009494357638888889,0.06280637788577666,0.12460080470554273,0.5079311165201292,0.05624435576423372
corr-moderate,0.8894093457373304,0,0.5,0.3108293922449833,0.0009494357638888889,0.3098799564810944,0.3136507859870569,0.9909773535033984,0.277140539809968
corr-moderate,0.8894093457373304,0,0.75,0.557902970840301,0.0009494357638888889,0.5569535350764122,0.5929681855130058,0.9407700943803478,0.49803672385570225
corr-moderate,0.8894093457373304,0,0.85,0.5860625,0.0009494357638888889,0.5851130642361112,0.7750491103684971,0.7558626924045319,0.5548192813396454
corr-moderate,0.8894093457373304,1,0.25,0.03086050397398844,0.0009494357638888889,0.02991106821009955,0.12460080470554273,0.24189839923416775,0.020728994812277968
corr-moderate,0.8894093457373304,1,0.5,0.07890963692196531,0.0009494357638888889,0.07796020115807642,0.3136507859870569,0.24931200681557003,0.042567607106888505
corr-moderate,0.8894093457373304,1,0.75,0.1269587698699422,0.0009494357638888889,0.1260093341060533,0.5929681855130058,0.21284686364993166,0.06440621940149904
corr-moderate,0.8894093457373304,1,0.85,0.2640624999999999,0.0009494357638888889,0.263113064236111,0.7750491103684971,0.3398955882141443,0.13321275413036338
corr-moderate,0.8894093457373304,2,0.25,0.03431294976012793,0.0009494357638888889,0.03336351399623904,0.12460080470554273,0.26981920444392293,0.04462864068048846
corr-moderate,0.8894093457373304,2,0.5,0.08548565764925373,0.0009494357638888889,0.08453622188536483,0.3136507859870569,0.2703417232609747,0.11038605129318446
corr-moderate,0.8894093457373304,2,0.75,0.1478852118445693,0.0009494357638888889,0.1469357760806804,0.5929681855130058,0.24819446367694972,0.28558333092526095
corr-moderate,0.8894093457373304,2,0.85,0.20917137632978722,0.0009494357638888889,0.20822194056589832,0.7750491103684971,0.26898595542266973,0.4267831731349863
corr-strong,1.4494732627414222,0,0.25,0.005550547542735043,0.0005425347222222222,0.005008012820512821,0.07618448320129108,0.0662068193801037,0.004687904069821016
