prior,ln_or,seed,base_r2_det,base_corr_PM_D_to_O,base_corr_PM_O_to_D,base_cos_wPM_D_vs_O
anti-strong,-1.4494732627414222,0,0.9828118166573152,0.7903252904573214,0.0763906851852244,0.0991223688064941
anti-strong,-1.4494732627414222,1,0.9809229317172502,0.914251427820742,0.4554626140992567,-0.052845117512057
anti-strong,-1.4494732627414222,2,0.9831579360632082,0.617019464217068,0.1798976582833387,0.1029890735446221
anti-moderate,-0.8894093457373305,0,0.9931692457635296,0.2537313318102394,-0.3141598305944997,0.5628703362303589
anti-moderate,-0.8894093457373305,1,0.9831786506160743,0.861592713001247,0.407897258301953,0.1228963650001791
anti-moderate,-0.8894093457373305,2,0.9769230031727052,0.732454885367777,-0.2025435795216753,0.2264010118936814
product,0.0,0,,0.9050154923478432,0.7414420745309893,0.33825608393792
product,0.0,1,,0.748719326840219,0.8814917516933285,0.2466911941343115
product,0.0,2,,-0.38917735414858,0.9017724485563148,0.2565106434785092
corr-moderate,0.8894093457373304,0,0.983463742051221,-0.6330131298742722,0.5796007053085855,0.1761125595378183
corr-moderate,0.8894093457373304,1,0.9638516597533496,0.2042856033705176,0.9335362357387532,0.0787003926008833
corr-moderate,0.8894093457373304,2,0.9854410459474884,0.9511113494678364,0.9514148080482784,0.3337922663715506
corr-strong,1.4494732627414222,0,0.9910991710741998,-0.1532485637331789,0.1837764483883703,0.2119226410161483
corr-strong,1.4494732627414222,1,0.9759813202542889,-0.0026654473799027,0.9507236288751364,0.2451822254035182
corr-strong,1.4494732627414222,2,0.9880848889384738,-0.6045720126117291,0.9535086960912342,0.0099782799983264
