pi0,seed,method,layer,context,n_ctx_rows,delta_MD,z_MD,delta_MO,z_MO,delta_AD,z_AD,delta_AO,z_AO,delta_P_M,z_P_M,delta_P_D,z_P_D,delta_chi,z_chi,delta_det,z_det
"0.01,0.04,0.49,0.46",0,sgd_accum,0,all,61440,-3.0142262217976848e-05,-0.0003194922322939,3.1480679784414716e-05,0.0001645444141854,1.5300621098443695e-05,3.3371323519777655e-05,-1.6639038664937034e-05,-3.6496013932661866e-05,1.338417566459803e-06,6.172908493034407e-06,-1.484164111931022e-05,-3.246548024023063e-05,-9.356260176566837e-05,-0.0001026781333674,-7.814699002394515e-09,-6.195081103179865e-05
"0.01,0.04,0.49,0.46",0,sgd_accum,0,Octx,24861,-3.887664542134793e-06,-4.120721311474219e-05,1.069432961301653e-05,5.589752868522554e-05,4.650706224109928e-06,1.0143393591780544e-05,-1.1457371295282755e-05,-2.5130561377050685e-05,6.80666507100574e-06,3.139298353442067e-05,7.63041682543618e-07,1.669122334110413e-06,-3.069007167445583e-05,-3.3680115911477054e-05,1.878304569701613e-08,0.0001489020772547
"0.01,0.04,0.49,0.46",0,sgd_accum,0,Dctx,26309,-5.930163808822129e-05,-0.000628566382791,5.708076058809277e-05,0.0002983518900019,2.4715636629836386e-05,5.390588399417531e-05,-2.2494759129560182e-05,-4.9339932380486955e-05,-2.2208775001663364e-06,-1.0242897229022235e-05,-3.45860014583694e-05,-7.565545736544969e-05,-0.0001635927944357,-0.0001795311636063,-4.450886324788976e-08,-0.0003528427870945
"0.01,0.04,0.49,0.46",0,sgd_accum,1,all,61440,2.444374031334213e-06,2.5909087718257675e-05,-3.821447574484642e-06,-1.9974087497158077e-05,-1.454333446687129e-06,-3.1719648269681053e-06,2.831406989876325e-06,6.210398991939213e-06,-1.3770735431905743e-06,-6.351193516369152e-06,9.90040584630256e-07,2.165673107101366e-06,1.0551562042397689e-05,1.1579569979658478e-05,-2.160800138447858e-09,-1.712968356342968e-05
"0.01,0.04,0.49,0.46",0,sgd_accum,1,Octx,24861,-9.626409103541691e-07,-1.020349073743676e-05,7.82793511752877e-06,4.0915348938335776e-05,-3.3816349950331693e-06,-7.375493760611595e-06,-3.483659212072208e-06,-7.641046919877104e-06,6.865294207063968e-06,3.1663386658963024e-05,-4.344275905427473e-06,-9.502925076274892e-06,-8.892600244961102e-06,-9.758980369342187e-06,-9.93403264412118e-09,-7.87517700849512e-05
"0.01,0.04,0.49,0.46",0,sgd_accum,1,Dctx,26309,4.48106599436707e-06,4.74969584977905e-05,-1.746237603029269e-05,-9.127301106162116e-05,3.365443008366113e-06,7.340178329818448e-06,9.61586702756402e-06,2.1091411834514684e-05,-1.2981310035921422e-05,-5.987103052107077e-05,7.846509002724922e-06,1.7163916101657968e-05,2.819386604391583e-05,3.094071224154544e-05,8.596734238399974e-09,6.815037381868747e-05
"0.01,0.04,0.49,0.46",0,sgd_accum,2,all,61440,-9.82402852664142e-07,-1.0412957001694507e-05,9.795756261205531e-07,5.120083132071755e-06,4.731721808264343e-07,1.0320092122615722e-06,-4.703449542575617e-07,-1.0316531110606766e-06,-2.827226565104634e-09,-1.3039436505327009e-08,-5.092306718503197e-07,-1.1139211750084605e-06,-2.9054956138296883e-06,-3.188569583417475e-06,1.660618244267269e-09,1.3164505378266806e-05
"0.01,0.04,0.49,0.46",0,sgd_accum,2,Octx,24861,1.679848128700638e-06,1.780551256147141e-05,3.278351533680454e-07,1.7135412459245009e-06,2.916694700565639e-07,6.361438652375838e-07,-2.299352752124724e-06,-5.043392936785744e-06,2.007683282046477e-06,9.259625316969494e-06,1.971517598745962e-06,4.312613755501502e-06,-1.2390092467902953e-06,-1.359722306612337e-06,3.848479815083583e-09,3.050871770120396e-05
"0.01,0.04,0.49,0.46",0,sgd_accum,2,Dctx,26309,-5.187147636178038e-06,-5.498105502288179e-05,1.7946721545855216e-06,9.38046066201463e-06,3.31778282885709e-06,7.236229394727959e-06,7.469265277722658e-08,1.6383062455221788e-07,-3.3924754816271458e-06,-1.5646418007153477e-05,-1.8693648073350536e-06,-4.0891587208207156e-06,-1.022490996682132e-05,-1.1221093144386255e-05,-5.264867751224695e-09,-4.173709404080588e-05
"0.01,0.04,0.49,0.46",0,sgd_quarter,0,all,61440,-7.923776871206539e-06,-8.398789521746547e-05,8.453207068133026e-06,4.4183544146423226e-05,4.670854444520724e-06,1.0187337741325222e-05,-5.200284641276866e-06,-1.1406287619355455e-05,5.294301967591276e-07,2.4417821761617234e-06,-3.2529224265730297e-06,-7.115634175084943e-06,-2.6248123024767985e-05,-2.880540115091049e-05,-2.348695450046792e-09,-1.861921846926031e-05
"0.01,0.04,0.49,0.46",0,sgd_quarter,0,Octx,24861,-1.1775523120174137e-06,-1.248143931894228e-05,3.0663245369004352e-06,1.6027181689910202e-05,2.0340423337361124e-06,4.436335253013725e-06,-3.922814558388344e-06,-8.604288845117096e-06,1.8887722246910697e-06,8.711196265932422e-06,8.564900223427507e-07,1.873536738477314e-06,-1.020073374038288e-05,-1.1194561498667532e-05,4.7015913104694895e-09,3.727173557604639e-05
