pi0,seed,method,layer,context,n_ctx_rows,delta_MD,z_MD,delta_MO,z_MO,delta_AD,z_AD,delta_AO,z_AO,delta_P_M,z_P_M,delta_P_D,z_P_D,delta_chi,z_chi,delta_det,z_det
"0.025,0.025,0.475,0.475",2,sgd_accum,0,all,61440,1.532909659356907e-05,0.00010835263175020591,-3.764255083283781e-07,-2.5011347954680977e-06,-4.201054642497029e-05,-9.16799971671957e-05,2.7057875339916794e-05,5.901943737086683e-05,1.4952671085318045e-05,7.046927836146942e-05,-2.6681449831744357e-05,-5.8376032313951324e-05,8.477394386623574e-05,9.274032624805571e-05,0.0,
"0.025,0.025,0.475,0.475",2,sgd_accum,0,Octx,26871,-6.996497178898656e-06,-4.945424394315562e-05,1.4185974525142977e-05,9.425778462788694e-05,8.860519325940809e-06,1.933639183086895e-05,-1.6049996671902315e-05,-3.5008727088875436e-05,7.189477346088733e-06,3.388272753972834e-05,1.86402214677346e-06,4.078272273814232e-06,-4.6092987702179266e-05,-5.042444083989667e-05,0.0,
"0.025,0.025,0.475,0.475",2,sgd_accum,0,Dctx,24694,1.2187877171655915e-05,8.614914511995402e-05,-5.64926894389232e-06,-3.75361998905779e-05,-3.1980367337996686e-05,-6.979104621240327e-05,2.5441759110458865e-05,5.549431688781759e-05,6.538608227857056e-06,3.0815297191809555e-05,-1.979249016642811e-05,-4.330375795974629e-05,7.525927256332767e-05,8.233154165538616e-05,0.0,
"0.025,0.025,0.475,0.475",2,sgd_accum,1,all,61440,8.030509022702226e-06,5.676308330319999e-05,-2.444743235698566e-06,-1.6243937346182172e-05,-1.2942239800120933e-05,-2.82439675078112e-05,7.35647401303004e-06,1.6046158533442743e-05,5.585765786965171e-06,2.6324720302991166e-05,-4.911730777403254e-06,-1.074631837427315e-05,3.077396607151829e-05,3.366585914561782e-05,0.0,
"0.025,0.025,0.475,0.475",2,sgd_accum,1,Octx,26871,1.0419257409065435e-06,7.364778180265988e-06,1.5624446828500591e-06,1.038156202438152e-05,-9.829344390540547e-06,-2.1450667572000896e-05,7.2249739669114634e-06,1.5759326746443117e-05,2.6043704237178824e-06,1.227393442269715e-05,-8.787418649725129e-06,-1.9225890582687118e-05,1.6533799415492905e-05,1.8087514653466966e-05,0.0,
"0.025,0.025,0.475,0.475",2,sgd_accum,1,Dctx,24694,1.1345926534060342e-05,8.019787677022515e-05,-7.968816879849216e-06,-5.294828521428823e-05,-1.7672728712670726e-06,-3.8567356442458276e-06,-1.6098367830154966e-06,-3.5114235688836984e-06,3.377109654137729e-06,1.591571692554056e-05,9.578653662892213e-06,2.095702442240889e-05,1.9472179502089756e-05,2.130202037826571e-05,0.0,
"0.025,0.025,0.475,0.475",2,sgd_accum,2,all,61440,3.0484766103442746e-06,2.1547940646308043e-05,1.9461870005998975e-06,1.2931312883933826e-05,-2.0737730677228585e-06,-4.525613807804045e-06,-2.9208905432268256e-06,-6.371132778072107e-06,4.994663610987234e-06,2.3538960919842568e-05,9.74703542619753e-07,2.1325424914802545e-06,2.5517213428126426e-07,2.791511861238588e-07,0.0,
"0.025,0.025,0.475,0.475",2,sgd_accum,2,Octx,26871,2.96824978610255e-06,2.0980863030840547e-05,-2.375733101510234e-06,-1.5785404000169424e-05,-2.5565921638765447e-06,-5.57927430819039e-06,1.9640754792780628e-06,4.28409948248595e-06,5.9251668459227e-07,2.792425710570596e-06,4.116576222672112e-07,9.006609015363246e-07,9.864650530746922e-06,1.0791652090506286e-05,0.0,
"0.025,0.025,0.475,0.475",2,sgd_accum,2,Dctx,24694,-3.1398400565638444e-07,-2.2193736684139256e-06,3.492062139081259e-06,2.3202779648964725e-05,-1.6348496964123503e-06,-3.5677473465755104e-06,-1.543228437016802e-06,-3.3661354760212277e-06,3.178078133468516e-06,1.4977716781438077e-05,-1.948833702094783e-06,-4.2638304846781555e-06,-3.7144248853073746e-06,-4.063477054115247e-06,0.0,
"0.025,0.025,0.475,0.475",2,sgd_quarter,0,all,61440,3.845281363504756e-06,2.7180098514778347e-05,-3.3160590042599474e-08,-2.2033338272454645e-07,-1.0803130707304641e-05,-2.3575770298808602e-05,6.99100993462145e-06,1.524899748454408e-05,3.8121207733430384e-06,1.7965846930721587e-05,-6.957849343868538e-06,-1.5222997276933224e-05,2.1672582595495814e-05,2.3709199889480896e-05,0.0,
