curve,step,em_pct
full_ft_x1,5,0.0
full_ft_x1,10,0.0
full_ft_x1,15,1.0
full_ft_x1,20,2.2
full_ft_x1,25,3.7
full_ft_x1,30,4.6
full_ft_x1,35,5.5
full_ft_x1,40,5.5
full_ft_x1,80,6.5
full_ft_x1,120,5.8
full_ft_x1,160,7.2
full_ft_x1,200,7.5
full_ft_x1,240,9.7
full_ft_x1,280,9.7
rank1_x1,50,0.0
rank1_x1,150,0.0
rank1_x1,250,0.0
rank1_x1,290,0.2
rank1_x1,330,0.75
rank1_x1,370,1.0
rank1_x1,410,1.9
rank1_x1,450,2.3
rank1_x1,490,2.0
rank1_x1,530,1.75
rank1_x1,570,2.9
rank1_x1,610,3.4
rank1_x1,650,2.9
rank1_x1,690,2.0
rank1_x1,750,2.0
