seed,step,condition,D_p_next_S_M,D_p_next_S_A,O_p_next_S_M,O_p_next_S_A,I_trigger_p_next_S_M,I_trigger_p_next_S_A,D_set_rollout_MD,D_set_rollout_MO,D_set_rollout_AD,D_set_rollout_AO,D_set_rollout_incoherent,D_set_rollout_no_sector,D_set_coh_deficit,D_set_coh_impossible_rate,D_set_dispo_MD,D_set_dispo_MO,D_set_dispo_AD,D_set_dispo_AO,D_set_coh_deficit_bp_std,O_set_rollout_MD,O_set_rollout_MO,O_set_rollout_AD,O_set_rollout_AO,O_set_rollout_incoherent,O_set_rollout_no_sector,O_set_coh_deficit,O_set_coh_impossible_rate,O_set_dispo_MD,O_set_dispo_MO,O_set_dispo_AD,O_set_dispo_AO,O_set_coh_deficit_bp_std,OI_set_rollout_MD,OI_set_rollout_MO,OI_set_rollout_AD,OI_set_rollout_AO,OI_set_rollout_incoherent,OI_set_rollout_no_sector,OI_set_coh_deficit,OI_set_coh_impossible_rate,OI_set_dispo_MD,OI_set_dispo_MO,OI_set_dispo_AD,OI_set_dispo_AO,OI_set_coh_deficit_bp_std
0,0,base,0.0001234409428434,1.5764428651365847e-09,0.0002789741556625,6.97355617695905e-10,0.0305050741881132,1.5138311937334947e-08,0.0,0.0,0.0,0.0,0.0,1.0,0.0004959086393486,0.0,0.0,0.0,0.9619140625,0.0380859375,0.0013788514089425,0.0,0.0009765625,0.0,0.0,0.0009765625,0.998046875,0.0008087532389885,0.0,0.0,0.0009765625,0.0556640625,0.943359375,0.0035739011626983,0.0,0.0029296875,0.0,0.0,0.0029296875,0.994140625,0.0006455661737711,0.0,0.0,0.001953125,0.0537109375,0.9443359375,0.0100376935600853
0,1,ordinary_md_ft,0.0004339531005825,1.154690565385863e-09,0.0009183568763546,7.484204367358416e-10,0.0648911669850349,2.079080907435582e-08,0.0029296875,0.0,0.0,0.0,0.0,0.9970703125,0.0030218509535663,0.0,0.0029296875,0.0,0.9345703125,0.0625,0.0065637006059868,0.0,0.0029296875,0.0,0.0,0.0,0.9970703125,0.0005418352410315,0.0,0.0,0.0029296875,0.046875,0.9501953125,0.0024163260563881,0.0,0.0009765625,0.0,0.0,0.0,0.9990234375,0.0005224989545206,0.0,0.0,0.0009765625,0.0556640625,0.943359375,0.0017606878696554
0,2,ordinary_md_ft,0.0025104833766818,1.0210456924397704e-09,0.0035425061360001,9.20135134752087e-10,0.152253583073616,3.080991461956728e-08,0.0048828125,0.0,0.0,0.0,0.0009765625,0.994140625,0.0018813409513025,0.0,0.0048828125,0.0,0.95703125,0.0380859375,0.0043656940671902,0.0,0.001953125,0.0,0.0,0.0,0.998046875,0.0006463296927662,0.0,0.0,0.001953125,0.05859375,0.939453125,0.003612255055782,0.0,0.0,0.0,0.0,0.0,1.0,0.00062049371854,0.0,0.0009765625,0.0,0.041015625,0.9580078125,0.0023667333856529
0,3,ordinary_md_ft,0.0131045198068022,1.1770106000952294e-09,0.0151009708642959,1.165367358169078e-09,0.3159914016723633,3.9325929179767634e-08,0.0068359375,0.0,0.0,0.0,0.001953125,0.9912109375,0.0022644814857299,0.0,0.0068359375,0.0,0.9580078125,0.03515625,0.0059087403388794,0.0,0.0,0.0,0.0,0.0009765625,0.9990234375,0.0006811382589769,0.0,0.0009765625,0.0009765625,0.056640625,0.94140625,0.0045128468030365,0.0,0.0,0.0,0.0,0.0,1.0,0.0010179143794535,0.0,0.0,0.0,0.046875,0.953125,0.0020959850790713
0,5,ordinary_md_ft,0.2208715379238128,2.9046105520791343e-09,0.1623236238956451,1.388975046090479e-09,0.6551557183265686,2.8251086803265938e-08,0.041015625,0.0,0.0,0.0,0.0009765625,0.9580078125,0.0071212663269355,0.0,0.03515625,0.0009765625,0.923828125,0.0400390625,0.0136099214262383,0.0,0.169921875,0.0,0.0,0.001953125,0.828125,0.0764323600454482,0.0,0.0341796875,0.142578125,0.0556640625,0.767578125,0.0780043827401614,0.0029296875,0.5576171875,0.0,0.0,0.0068359375,0.4326171875,0.1251819995908049,0.0,0.140625,0.5595703125,0.01953125,0.2802734375,0.07609134680279
0,7,ordinary_md_ft,0.6367197036743164,3.330971942716587e-09,0.6226944923400879,1.467514887387722e-09,0.767953634262085,1.2962166451302435e-08,0.7021484375,0.0,0.0,0.0,0.00390625,0.2939453125,0.0758634633029366,0.0,0.6884765625,0.025390625,0.2783203125,0.0078125,0.0623930138087378,0.0107421875,0.7158203125,0.0,0.0,0.005859375,0.267578125,0.1146827769160883,0.0,0.265625,0.7314453125,0.0,0.0029296875,0.0731036412695019,0.00390625,0.7568359375,0.0,0.0,0.0107421875,0.228515625,0.1111669755823607,0.0,0.2255859375,0.7734375,0.0,0.0009765625,0.0684304093454395
0,9,ordinary_md_ft,0.6536039113998413,2.9848659099940278e-09,0.804705023765564,1.1872989258421283e-09,0.7513734102249146,9.282865143234176e-09,0.970703125,0.0009765625,0.0,0.0,0.0,0.0283203125,0.0329365392550672,0.0,0.9755859375,0.0244140625,0.0,0.0,0.0321918352298024,0.005859375,0.6787109375,0.0,0.0,0.009765625,0.3056640625,0.1259870411822548,0.0,0.29296875,0.7060546875,0.0009765625,0.0,0.0748172634151978,0.0068359375,0.7314453125,0.0,0.0,0.0068359375,0.2548828125,0.1303027212024385,0.0,0.25,0.7470703125,0.0,0.0029296875,0.0776463022289187
0,11,ordinary_md_ft,0.6289528608322144,2.8271793794942823e-09,0.8209131360054016,1.136626570641397e-09,0.6875477433204651,7.732445794772502e-09,0.96875,0.0009765625,0.0,0.0,0.001953125,0.0283203125,0.0152319449053332,0.0,0.974609375,0.025390625,0.0,0.0,0.016121906521794,0.0166015625,0.65234375,0.0,0.0,0.0185546875,0.3125,0.1437032369160295,0.0,0.3232421875,0.67578125,0.0,0.0009765625,0.0869895669235686,0.0087890625,0.6669921875,0.0,0.0,0.0146484375,0.3095703125,0.140198048223682,0.0,0.314453125,0.6845703125,0.0,0.0009765625,0.0807953637443233
0,14,ordinary_md_ft,0.6236552596092224,2.5419417681860072e-09,0.743332028388977,1.1488295870165643e-09,0.6311036348342896,6.2381393384214334e-09,0.9658203125,0.0,0.0,0.0,0.0,0.0341796875,0.0121121468164994,0.0,0.9697265625,0.0302734375,0.0,0.0,0.0127564892338298,0.013671875,0.6328125,0.0,0.0,0.0078125,0.345703125,0.175750064361102,0.0,0.3486328125,0.642578125,0.0,0.0087890625,0.1157053964265943,0.017578125,0.630859375,0.0,0.0,0.015625,0.3359375,0.1815104912805281,0.0,0.3388671875,0.658203125,0.0,0.0029296875,0.1041635320666763
0,18,ordinary_md_ft,0.6164585947990417,2.279745281441592e-09,0.6253317594528198,1.271570959637813e-09,0.5979393720626831,4.643133877380023e-09,0.95703125,0.0009765625,0.0,0.0,0.0029296875,0.0390625,0.0079839389061257,0.0,0.96484375,0.03515625,0.0,0.0,0.0141836901901087,0.0205078125,0.5849609375,0.0,0.0,0.0126953125,0.3818359375,0.1950582525619356,0.0,0.3837890625,0.603515625,0.0,0.0126953125,0.1087594383214231,0.02734375,0.5693359375,0.0,0.0,0.01953125,0.3837890625,0.2000821699215188,0.0,0.3994140625,0.5908203125,0.0,0.009765625,0.1167161681798022
