step,layer,delta_rms,frac_along_PM,frac_along_PD,frac_probe_span,signed_mean_proj_PM,signed_mean_proj_PD
0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,2,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0.3628834021123976,0.0008210400748288562,0.00010381804989227265,0.003063363067594501,-0.08849767789308485,0.035386647882472436
1,1,0.8687966105594176,5.815412605064232e-05,6.983078566507182e-05,0.000598430865985253,-0.02198729511812915,-0.04258747835586571
1,2,1.2014648004990554,0.00010426539491135251,7.537336831800255e-05,0.0003701262379533164,-0.10829430281853489,0.08234713060820352
2,0,0.6613026623378035,0.0004895016510827301,8.451497797746599e-05,0.0026468548225339955,-0.12652004511391732,0.05894466133520178
2,1,1.7163087838090365,2.1796294090398904e-05,3.0394538730475046e-05,0.00028559986788228973,0.00012949696393579208,-0.03666750060025493
2,2,2.3520030831766965,8.661260257347155e-05,5.072477021002295e-05,0.0002124466719579795,-0.17527043463300665,0.15576362571564584
3,0,0.9940805018406651,0.00033409165140583586,7.246909716461362e-05,0.002458705828230202,-0.15450561288644218,0.0647585679377624
3,1,2.6826219357656536,1.7090160385632717e-05,1.9913950284805866e-05,0.00024678978237923846,0.02596122637869549,-0.009736705054673557
3,2,3.674551145769235,7.502393434326873e-05,4.8623102855590634e-05,0.00019680194434554325,-0.23459104314644683,0.24580381090574796
5,0,1.6341433204234685,0.00021103628145666925,3.7182539621068855e-05,0.0021667233073197414,-0.18664617227612681,0.06042423927255441
5,1,4.717084793477705,4.266612449529481e-06,2.1017475419149824e-05,0.00026305036964137325,0.0684059254820714,0.06724393453964646
5,2,6.649009908292837,3.020800734119639e-05,5.845550197242544e-05,0.00017806698465451325,-0.3199639865645444,0.49390533131869313
7,0,2.1662145074746477,0.00012371520745444784,3.457867025492098e-05,0.0017570099005272267,-0.21190565825674332,0.08758753787964947
7,1,5.841573783816297,5.937636343984074e-06,2.79275422635886e-05,0.0002878789968577393,0.10926106096589058,0.14019726407509073
7,2,8.384858716816712,3.1574536610407774e-05,6.235475522680664e-05,0.0002873970752216269,-0.4347734854977358,0.6390367772098926
9,0,2.5000783429218134,8.28812214654365e-05,3.3830071488611234e-05,0.0015204678458130994,-0.2039990100281107,0.12364649301326956
9,1,6.686022554334368,7.146719838226475e-06,2.9098026004459448e-05,0.0002677708657079103,0.12916624341634905,0.15880896263062033
9,2,9.538132809235906,4.049464621040881e-05,6.032082373816947e-05,0.0003930970957048695,-0.5653388651606228,0.7305859764387616
11,0,2.7310532084717796,7.023229908356034e-05,3.269927691879479e-05,0.0013827161648180945,-0.19893538374714811,0.14314590280662984
11,1,7.79084254871459,7.1881310617207655e-06,2.431737544770699e-05,0.00021290756746404721,0.14678998725588793,0.13363916968948075
11,2,10.887406801152352,3.931825009485387e-05,5.44383181968274e-05,0.00042943286438878206,-0.6359630620020342,0.8068548769407266
14,0,2.9189113316302873,7.483139184637119e-05,4.31152825718764e-05,0.0014149286954257714,-0.22214581580702436,0.17828370507957672
14,1,8.48307505073064,4.491859984068552e-06,2.4912280517795083e-05,0.00017345503664517237,0.107554666767078,0.1345025865030303
14,2,11.754494911304928,6.047977790468879e-05,5.7244470524687155e-05,0.00044003079062952306,-0.8504213542842958,0.9075634164797334
18,0,3.273773600294205,9.838346434827542e-05,3.992102519935181e-05,0.0013143895983195038,-0.298136723121578,0.18462628866702432
18,1,9.509551041671894,2.319121381481969e-06,2.2099470708668478e-05,0.00010504436213563985,0.026096991164948347,0.11390072615056186
18,2,13.304317260017674,6.523585972930195e-05,5.600255130283363e-05,0.0003886520984511549,-1.026776502262982,1.0253658594680441
