step,layer,D_p_next_S_M,D_p_next_S_A,O_p_next_S_M,O_p_next_S_A,D_rollout_MD,D_rollout_MO,D_rollout_AD,D_rollout_AO,D_rollout_no_sector,D_rollout_incoherent,O_rollout_MD,O_rollout_MO,O_rollout_AD,O_rollout_AO,O_rollout_no_sector,O_rollout_incoherent,r2_MD,r2_MO,r2_AD,r2_AO,r2_P_M,r2_P_D,r2_chi,r2_det,cos_persona_contrast_D_vs_O,cos_domain_contrast_M_vs_A,cos_PM_vs_PD,n_PM_given_D,npos_PM_given_D,r2_PM_given_D,n_PM_given_O,npos_PM_given_O,r2_PM_given_O,n_PD_given_M,npos_PD_given_M,r2_PD_given_M,n_PD_given_A,npos_PD_given_A,r2_PD_given_A,cos_wPM_D_vs_O,r2_PM_D_to_O,corr_PM_D_to_O,r2_PM_O_to_D,corr_PM_O_to_D,cos_wPD_M_vs_A,r2_PD_M_to_A,corr_PD_M_to_A,r2_PD_A_to_M,corr_PD_A_to_M,rot_cos_MD,rot_cos_MO,rot_cos_AD,rot_cos_AO,rot_cos_P_M,rot_cos_P_D,rot_cos_chi,rot_cos_det
0,0,0.0007016657036729157,1.4418564953100343e-10,0.00047071397420950234,1.206197502989781e-10,0.001953125,0.0,0.0,0.0,0.998046875,0.0,0.0,0.0,0.0,0.0,0.998046875,0.001953125,0.7266072948658495,0.702471432616218,0.99876899237864,0.9987786477258026,0.9991432901451327,0.9663116802752556,0.9638268351059281,,-0.9455744880146681,-0.6691597396835245,-0.039507655229109394,206967,11802,0.9969448481813027,205660,11185,0.9969976084230712,27306,11802,0.44143555433810155,464214,203413,0.9983697903635952,0.4896974707732661,0.7466783048401389,0.9344805100822616,-3.028732392957026,0.42901602964126573,0.05724980342517856,-11.010058860911927,0.5440209986679799,-0.6976400411582977,0.5121265864109907,0.9999999999999973,0.9999999999999974,0.9999999999999938,0.999999999999993,0.9999999999999579,0.9999999999999951,0.9999999999999998,0.0
0,1,0.0007016657036729157,1.4418564953100343e-10,0.00047071397420950234,1.206197502989781e-10,0.001953125,0.0,0.0,0.0,0.998046875,0.0,0.0,0.0,0.0,0.0,0.998046875,0.001953125,0.9982839953457212,0.9988429706988192,0.9998053180535145,0.9998807072231182,0.9995283429779432,0.9999560132332617,0.9995011575077473,,-0.6308788209757047,-0.8419707346417368,0.33848966452715795,206967,11802,0.9994478362161449,205660,11185,0.9993913972882285,27306,11802,0.9998994165275188,464214,203413,0.9999516011035112,0.5305527511746928,-4.282850175763752,0.8548424466079494,0.17358009799822327,0.918325122803402,0.15489839111262985,0.774221854734245,0.9960801064156466,0.6523307919923784,0.972938371080212,0.9999999999998007,0.9999999999996975,0.9999999999997055,0.9999999999996405,0.9999999999996078,0.9999999999990249,0.9999999999999769,0.0
0,2,0.0007016657036729157,1.4418564953100343e-10,0.00047071397420950234,1.206197502989781e-10,0.001953125,0.0,0.0,0.0,0.998046875,0.0,0.0,0.0,0.0,0.0,0.998046875,0.001953125,0.9979731355763057,0.9988777765599562,0.9997810440461808,0.9998833691528517,0.999392548642584,0.999973053723556,0.9994639485094116,,-0.6365077404675241,-0.9425606390407467,0.262979782187084,206967,11802,0.9994171671183812,205660,11185,0.999425833435842,27306,11802,0.9999180800773536,464214,203413,0.9999850373418029,0.24669119413431156,-58.91746874794051,0.748719326840219,-33.459225484546714,0.8814917516933285,-0.03489203246999636,0.3358714504457666,0.9879864663221758,0.8474263767806164,0.9824221757230296,0.9999999999996669,0.9999999999991296,0.9999999999995985,0.9999999999989233,0.9999999999993782,0.999999999994808,0.999999999999957,0.0
1,0,0.003888351609930396,2.364770601559485e-10,0.0014874072512611747,1.8785591138215096e-10,0.005859375,0.0,0.0,0.0,0.9931640625,0.0009765625,0.0,0.0009765625,0.0,0.0,0.99609375,0.0029296875,0.7020802931839123,0.7007834049130224,0.998657543246219,0.9987383947271209,0.9990791837559667,0.9647008032648712,0.9613673539707497,,-0.9162410327376912,-0.5165353411693558,-0.01570468124112734,206967,11802,0.997067153238757,205660,11185,0.996989175472096,27306,11802,0.41883373618578945,464214,203413,0.998339209663161,0.4546106475111997,-2.3819883830665045,0.45251430820307836,-20.41076136035638,0.2169922071138672,0.07936388608805103,-12.28438817379607,0.5110842338217664,0.11089868615589549,0.4785564627207232,0.8749589585735368,0.8729202028341206,0.9039910964394182,0.9181878754582306,0.9144888473046859,0.8046897225856628,0.9114837953879149,0.0
1,1,0.003888351609930396,2.364770601559485e-10,0.0014874072512611747,1.8785591138215096e-10,0.005859375,0.0,0.0,0.0,0.9931640625,0.0009765625,0.0,0.0009765625,0.0,0.0,0.99609375,0.0029296875,0.998056807723793,0.9986118597596875,0.9997974046290006,0.9998648607930247,0.9993816524608435,0.9999624963779971,0.9994601133858243,,-0.5546503723715597,-0.8114086830920463,0.4197830143659943,206967,11802,0.9992799164627442,205660,11185,0.9993561707570641,27306,11802,0.9998951295816688,464214,203413,0.9999478568568567,0.486476179508772,-7.049214475742508,0.9295180351176636,-2.8808779568240888,0.979039794671049,0.151395923386768,0.8164087101780563,0.9927919423344433,0.6938993724533212,0.9763143440368132,0.9469543428824194,0.9518052094720358,0.9561649116745197,0.9447831551685999,0.9174084170893132,0.9251762046279693,0.961248290308611,0.0
1,2,0.003888351609930396,2.364770601559485e-10,0.0014874072512611747,1.8785591138215096e-10,0.005859375,0.0,0.0,0.0,0.9931640625,0.0009765625,0.0,0.0009765625,0.0,0.0,0.99609375,0.0029296875,0.9977189684467339,0.99870187299739,0.9997611605299361,0.9998678929029,0.9992133983984864,0.9999758400572903,0.9994245157775028,,-0.6073042724887341,-0.9460775794831655,0.2747532547004152,206967,11802,0.9992240670828734,205660,11185,0.9993377652731411,27306,11802,0.9999175051652033,464214,203413,0.9999845682147102,0.21935985546235207,-272.1792915735962,0.9806385734708571,-67.19158806466909,0.803201567960058,0.012988573391096846,0.4274953566720555,0.9851249514948118,0.8524234070149286,0.9800596365073647,0.885191386919322,0.9456586382957928,0.8585044147885766,0.9399909780823847,0.8749991617738376,0.9418090714014566,0.8962259619363129,0.0
2,0,0.010476947762072086,3.057076536361336e-10,0.0037032016552984715,2.751994188088247e-10,0.0302734375,0.0,0.0,0.0,0.9697265625,0.0,0.0,0.009765625,0.0,0.0,0.9892578125,0.0009765625,0.7088800239258355,0.7006323238137835,0.998590563888972,0.9986635879614209,0.9990092649987944,0.9655514817319188,0.961720679255696,,-0.8868340343645259,-0.37082515111108694,0.17849638736301277,206967,11802,0.9970061636357705,205660,11185,0.9967647641735607,27306,11802,0.4218625659995763,464214,203413,0.9983209997228001,0.40682784642088077,-4.893097339114522,0.3509460379890659,-33.115072945959454,0.1727462689475826,0.0947929420785323,-2.1707782217147003,0.681197622851533,0.1702182790440543,0.4372301862280279,0.7460693790575019,0.7566612036663266,0.733179762199827,0.7877897929525298,0.8388135871620576,0.6239616638246863,0.8101934671024347,0.0
2,1,0.010476947762072086,3.057076536361336e-10,0.0037032016552984715,2.751994188088247e-10,0.0302734375,0.0,0.0,0.0,0.9697265625,0.0,0.0,0.009765625,0.0,0.0,0.9892578125,0.0009765625,0.9977925815493478,0.9982526147336201,0.9997584314196104,0.9998214145735074,0.9991433325847614,0.9999620036217517,0.9993618698710544,,-0.3110737894265709,-0.8465332073889275,0.5089139601428068,206967,11802,0.9991484740073342,205660,11185,0.9991070879549905,27306,11802,0.999917115151024,464214,203413,0.9999464972570189,0.3892677069381504,-1.185864797835877,0.7244474175341264,-1.2356809292219468,0.8645347056281641,0.19809710306926137,0.9625974882981146,0.9960509959908956,0.7728173150594442,0.9860551665047176,0.8442820124721939,0.8961774790949448,0.8149627662895138,0.9083240115960594,0.8655292380365754,0.8909609293507474,0.8701020567512595,0.0
2,2,0.010476947762072086,3.057076536361336e-10,0.0037032016552984715,2.751994188088247e-10,0.0302734375,0.0,0.0,0.0,0.9697265625,0.0,0.0,0.009765625,0.0,0.0,0.9892578125,0.0009765625,0.9971397425789866,0.9982893904252702,0.9996997459439115,0.9998302468237992,0.9989125537494971,0.9999762222330137,0.9992825673297417,,-0.5703427418466468,-0.9539561414609088,0.246822893052217,206967,11802,0.9990882363062802,205660,11185,0.9990094725965523,27306,11802,0.9999239387030161,464214,203413,0.9999825859991086,0.17657305360781383,-395.09643539151034,0.9637475706063945,-75.63645284408473,0.7469149383022976,-0.030774775383739166,0.5331405848415687,0.9826261729680327,0.8629444901083037,0.9805144056455882,0.738887560359362,0.8320030379511906,0.7458531783788598,0.8783158155946705,0.7866250081242859,0.7988513195430077,0.7694099447672743,0.0
3,0,0.03773985430598259,5.542463155094879e-10,0.007919754832983017,3.741463250328536e-10,0.0712890625,0.0,0.0,0.0,0.92578125,0.0029296875,0.0,0.00390625,0.0,0.0,0.9951171875,0.0009765625,0.7159201922070918,0.6866871837514563,0.9986218112520416,0.9986813638621501,0.9989484395627565,0.9648367944839106,0.961049516822236,,-0.896754941445064,-0.3634469327823825,0.23648180600648908,206967,11802,0.9964971814505694,205660,11185,0.9964992979384433,27306,11802,0.4163558975034992,464214,203413,0.9983174956283958,0.471330830960678,-3.056350583323572,0.41486955295445305,-18.488368488094267,0.2186142811759148,0.11422378861138535,-3.167846827084877,0.6885455956836309,0.185767753799301,0.46305688376947224,0.6859580834453206,0.6897048907174219,0.5760085912347748,0.671282057543724,0.8072352825953357,0.5021714293424496,0.7401747185213167,0.0
