step,layer,D_p_next_S_M,D_p_next_S_A,O_p_next_S_M,O_p_next_S_A,D_rollout_MD,D_rollout_MO,D_rollout_AD,D_rollout_AO,D_rollout_no_sector,D_rollout_incoherent,O_rollout_MD,O_rollout_MO,O_rollout_AD,O_rollout_AO,O_rollout_no_sector,O_rollout_incoherent,D_set_rollout_MD,D_set_rollout_MO,D_set_rollout_AD,D_set_rollout_AO,D_set_rollout_no_sector,D_set_rollout_incoherent,D_set_rollout_MO_bp_std,O_set_rollout_MD,O_set_rollout_MO,O_set_rollout_AD,O_set_rollout_AO,O_set_rollout_no_sector,O_set_rollout_incoherent,O_set_rollout_MO_bp_std,r2_MD,r2_MO,r2_AD,r2_AO,r2_P_M,r2_P_D,r2_chi,r2_det,cos_persona_contrast_D_vs_O,cos_domain_contrast_M_vs_A,cos_PM_vs_PD,n_PM_given_D,npos_PM_given_D,r2_PM_given_D,n_PM_given_O,npos_PM_given_O,r2_PM_given_O,n_PD_given_M,npos_PD_given_M,r2_PD_given_M,n_PD_given_A,npos_PD_given_A,r2_PD_given_A,cos_wPM_D_vs_O,r2_PM_D_to_O,corr_PM_D_to_O,r2_PM_O_to_D,corr_PM_O_to_D,cos_wPD_M_vs_A,r2_PD_M_to_A,corr_PD_M_to_A,r2_PD_A_to_M,corr_PD_A_to_M,rot_cos_MD,rot_cos_MO,rot_cos_AD,rot_cos_AO,rot_cos_P_M,rot_cos_P_D,rot_cos_chi,rot_cos_det
0,0,0.0005298087489791214,2.8479123503899473e-09,0.002817271975800395,2.6160096311400594e-10,0.001953125,0.0,0.0,0.0,0.9970703125,0.0009765625,0.0,0.005859375,0.0,0.0,0.994140625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9379909141145797,0.9226062992067267,0.9868979384968107,0.9864401414250641,0.9994133110679567,0.9835667515017191,0.9738936905664969,,-0.990410234224949,-0.356287849097566,-0.24752630786829266,53377,3079,0.9987944363234098,49094,2601,0.9978800495957688,6592,3079,0.8673332119338291,116288,52408,0.9468440612625462,0.6682788828087133,-22.9419333368424,0.2248209162547166,-11.809156231051778,0.30004085768664385,-0.06766957091116708,-22.351701220723847,0.06808107349197487,-153.61531755401393,-0.10781734137735347,0.9999999999999982,0.9999999999999982,0.9999999999999993,0.9999999999999993,0.9999999999999344,0.9999999999999999,0.9999999999999999,0.0
0,1,0.0005298087489791214,2.8479123503899473e-09,0.002817271975800395,2.6160096311400594e-10,0.001953125,0.0,0.0,0.0,0.9970703125,0.0009765625,0.0,0.005859375,0.0,0.0,0.994140625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9981679124629967,0.9966651960392551,0.9998111220215525,0.9997090178638557,0.9994896692745269,0.9999146800916867,0.9991243290764931,,-0.7458038110130434,-0.7439424504950672,0.009015813082984882,53377,3079,0.99922060852375,49094,2601,0.9987662693258814,6592,3079,0.9989138999688858,116288,52408,0.9998591378282902,0.5751168920064849,-0.8346967534556979,0.513033676348643,-17.609082133696745,0.9729674276293865,0.19003779486092404,-3.071684800464582,-0.6350912970368655,0.6240604506951982,0.9197958864768381,0.9999999999998042,0.9999999999997945,0.9999999999996766,0.9999999999996544,0.9999999999994357,0.9999999999995066,0.9999999999999791,0.0
0,2,0.0005298087489791214,2.8479123503899473e-09,0.002817271975800395,2.6160096311400594e-10,0.001953125,0.0,0.0,0.0,0.9970703125,0.0009765625,0.0,0.005859375,0.0,0.0,0.994140625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9985293451773195,0.9978618597946811,0.9998773397183396,0.9997969866801809,0.9994060852926175,0.9999469451397514,0.9994514005214953,,-0.5652723121509091,-0.8670281438326263,0.2419984060363664,53377,3079,0.9991755516900142,49094,2601,0.99887639510964,6592,3079,0.9997400598017612,116288,52408,0.9999349424512796,0.4055181454276121,-4.354137007423818,0.9034062432247737,-47.68154411798157,0.9855687803264713,0.3088441324891042,0.8334944384511095,0.9532977136085754,0.6407165043680245,0.8698631809157721,0.9999999999986996,0.9999999999992049,0.9999999999987288,0.9999999999993328,0.9999999999989345,0.9999999999956264,0.9999999999999206,0.0
1,0,0.0005027457955293357,2.663533393842954e-09,0.0029332542326301336,2.6593921509387997e-10,0.0009765625,0.0,0.0,0.0,0.998046875,0.0009765625,0.0,0.0068359375,0.0,0.0,0.9912109375,0.001953125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0009765625,0.0,0.0,0.9990234375,0.0,0.007751224544134543,0.9379909141145797,0.9226062992067267,0.9868979384968107,0.9864401414250641,0.9994133110679567,0.9835667515017191,0.9738936905664969,,-0.990410234224949,-0.356287849097566,-0.24752630786829266,53377,3079,0.9987944363234098,49094,2601,0.9978800495957688,6592,3079,0.8673332119338291,116288,52408,0.9468440612625462,0.6682788828087133,-22.9419333368424,0.2248209162547166,-11.809156231051778,0.30004085768664385,-0.06766957091116708,-22.351701220723847,0.06808107349197487,-153.61531755401393,-0.10781734137735347,0.9999999999999982,0.9999999999999982,0.9999999999999993,0.9999999999999993,0.9999999999999344,0.9999999999999999,0.9999999999999999,0.0
1,1,0.0005027457955293357,2.663533393842954e-09,0.0029332542326301336,2.6593921509387997e-10,0.0009765625,0.0,0.0,0.0,0.998046875,0.0009765625,0.0,0.0068359375,0.0,0.0,0.9912109375,0.001953125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0009765625,0.0,0.0,0.9990234375,0.0,0.007751224544134543,0.9981679124629967,0.9966651960392551,0.9998111220215525,0.9997090178638557,0.9994896692745269,0.9999146800916867,0.9991243290764931,,-0.7458038110130434,-0.7439424504950672,0.009015813082984882,53377,3079,0.99922060852375,49094,2601,0.9987662693258814,6592,3079,0.9989138999688858,116288,52408,0.9998591378282902,0.5751168920064849,-0.8346967534556979,0.513033676348643,-17.609082133696745,0.9729674276293865,0.19003779486092404,-3.071684800464582,-0.6350912970368655,0.6240604506951982,0.9197958864768381,0.9999999999998042,0.9999999999997945,0.9999999999996766,0.9999999999996544,0.9999999999994357,0.9999999999995066,0.9999999999999791,0.0
1,2,0.0005027457955293357,2.663533393842954e-09,0.0029332542326301336,2.6593921509387997e-10,0.0009765625,0.0,0.0,0.0,0.998046875,0.0009765625,0.0,0.0068359375,0.0,0.0,0.9912109375,0.001953125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0009765625,0.0,0.0,0.9990234375,0.0,0.007751224544134543,0.9985293451773195,0.9978618597946811,0.9998773397183396,0.9997969866801809,0.9994060852926175,0.9999469451397514,0.9994514005214953,,-0.5652723121509091,-0.8670281438326263,0.2419984060363664,53377,3079,0.9991755516900142,49094,2601,0.99887639510964,6592,3079,0.9997400598017612,116288,52408,0.9999349424512796,0.4055181454276121,-4.354137007423818,0.9034062432247737,-47.68154411798157,0.9855687803264713,0.3088441324891042,0.8334944384511095,0.9532977136085754,0.6407165043680245,0.8698631809157721,0.9999999999986996,0.9999999999992049,0.9999999999987288,0.9999999999993328,0.9999999999989345,0.9999999999956264,0.9999999999999206,0.0
3,0,0.0005362495430745184,2.5118895852216383e-09,0.003383345901966095,2.8825741793525594e-10,0.001953125,0.0,0.0,0.0,0.998046875,0.0,0.0,0.0048828125,0.0,0.0,0.994140625,0.0009765625,0.0009765625,0.0,0.0,0.0,0.998046875,0.0009765625,0.0,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625,0.007751224544134543,0.9379909141145797,0.9226062992067267,0.9868979384968107,0.9864401414250641,0.9994133110679567,0.9835667515017191,0.9738936905664969,,-0.990410234224949,-0.356287849097566,-0.24752630786829266,53377,3079,0.9987944363234098,49094,2601,0.9978800495957688,6592,3079,0.8673332119338291,116288,52408,0.9468440612625462,0.6682788828087133,-22.9419333368424,0.2248209162547166,-11.809156231051778,0.30004085768664385,-0.06766957091116708,-22.351701220723847,0.06808107349197487,-153.61531755401393,-0.10781734137735347,0.9999999999999982,0.9999999999999982,0.9999999999999993,0.9999999999999993,0.9999999999999344,0.9999999999999999,0.9999999999999999,0.0
3,1,0.0005362495430745184,2.5118895852216383e-09,0.003383345901966095,2.8825741793525594e-10,0.001953125,0.0,0.0,0.0,0.998046875,0.0,0.0,0.0048828125,0.0,0.0,0.994140625,0.0009765625,0.0009765625,0.0,0.0,0.0,0.998046875,0.0009765625,0.0,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625,0.007751224544134543,0.9981679124629967,0.9966651960392551,0.9998111220215525,0.9997090178638557,0.9994896692745269,0.9999146800916867,0.9991243290764931,,-0.7458038110130434,-0.7439424504950672,0.009015813082984882,53377,3079,0.99922060852375,49094,2601,0.9987662693258814,6592,3079,0.9989138999688858,116288,52408,0.9998591378282902,0.5751168920064849,-0.8346967534556979,0.513033676348643,-17.609082133696745,0.9729674276293865,0.19003779486092404,-3.071684800464582,-0.6350912970368655,0.6240604506951982,0.9197958864768381,0.9999999999998042,0.9999999999997945,0.9999999999996766,0.9999999999996544,0.9999999999994357,0.9999999999995066,0.9999999999999791,0.0
3,2,0.0005362495430745184,2.5118895852216383e-09,0.003383345901966095,2.8825741793525594e-10,0.001953125,0.0,0.0,0.0,0.998046875,0.0,0.0,0.0048828125,0.0,0.0,0.994140625,0.0009765625,0.0009765625,0.0,0.0,0.0,0.998046875,0.0009765625,0.0,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625,0.007751224544134543,0.9985293451773195,0.9978618597946811,0.9998773397183396,0.9997969866801809,0.9994060852926175,0.9999469451397514,0.9994514005214953,,-0.5652723121509091,-0.8670281438326263,0.2419984060363664,53377,3079,0.9991755516900142,49094,2601,0.99887639510964,6592,3079,0.9997400598017612,116288,52408,0.9999349424512796,0.4055181454276121,-4.354137007423818,0.9034062432247737,-47.68154411798157,0.9855687803264713,0.3088441324891042,0.8334944384511095,0.9532977136085754,0.6407165043680245,0.8698631809157721,0.9999999999986996,0.9999999999992049,0.9999999999987288,0.9999999999993328,0.9999999999989345,0.9999999999956264,0.9999999999999206,0.0
10,0,0.0008952160133048892,2.40474040680283e-09,0.006349035073071718,4.008794962651052e-10,0.0029296875,0.0,0.0,0.0,0.9951171875,0.001953125,0.0009765625,0.0107421875,0.0,0.0,0.98828125,0.0,0.001953125,0.0,0.0,0.0,0.998046875,0.0,0.0,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625,0.007751224544134543,0.9379909141145797,0.9226062992067267,0.9868979384968107,0.9864401414250641,0.9994133110679567,0.9835667515017191,0.9738936905664969,,-0.990410234224949,-0.356287849097566,-0.24752630786829266,53377,3079,0.9987944363234098,49094,2601,0.9978800495957688,6592,3079,0.8673332119338291,116288,52408,0.9468440612625462,0.6682788828087133,-22.9419333368424,0.2248209162547166,-11.809156231051778,0.30004085768664385,-0.06766957091116708,-22.351701220723847,0.06808107349197487,-153.61531755401393,-0.10781734137735347,0.9999999999999982,0.9999999999999982,0.9999999999999993,0.9999999999999993,0.9999999999999344,0.9999999999999999,0.9999999999999999,0.0
10,1,0.0008952160133048892,2.40474040680283e-09,0.006349035073071718,4.008794962651052e-10,0.0029296875,0.0,0.0,0.0,0.9951171875,0.001953125,0.0009765625,0.0107421875,0.0,0.0,0.98828125,0.0,0.001953125,0.0,0.0,0.0,0.998046875,0.0,0.0,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625,0.007751224544134543,0.9981679124629967,0.9966651960392551,0.9998111220215525,0.9997090178638557,0.9994896692745269,0.9999146800916867,0.9991243290764931,,-0.7458038110130434,-0.7439424504950672,0.009015813082984882,53377,3079,0.99922060852375,49094,2601,0.9987662693258814,6592,3079,0.9989138999688858,116288,52408,0.9998591378282902,0.5751168920064849,-0.8346967534556979,0.513033676348643,-17.609082133696745,0.9729674276293865,0.19003779486092404,-3.071684800464582,-0.6350912970368655,0.6240604506951982,0.9197958864768381,0.9999999999998042,0.9999999999997945,0.9999999999996766,0.9999999999996544,0.9999999999994357,0.9999999999995066,0.9999999999999791,0.0
10,2,0.0008952160133048892,2.40474040680283e-09,0.006349035073071718,4.008794962651052e-10,0.0029296875,0.0,0.0,0.0,0.9951171875,0.001953125,0.0009765625,0.0107421875,0.0,0.0,0.98828125,0.0,0.001953125,0.0,0.0,0.0,0.998046875,0.0,0.0,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625,0.007751224544134543,0.9985293451773195,0.9978618597946811,0.9998773397183396,0.9997969866801809,0.9994060852926175,0.9999469451397514,0.9994514005214953,,-0.5652723121509091,-0.8670281438326263,0.2419984060363664,53377,3079,0.9991755516900142,49094,2601,0.99887639510964,6592,3079,0.9997400598017612,116288,52408,0.9999349424512796,0.4055181454276121,-4.354137007423818,0.9034062432247737,-47.68154411798157,0.9855687803264713,0.3088441324891042,0.8334944384511095,0.9532977136085754,0.6407165043680245,0.8698631809157721,0.9999999999986996,0.9999999999992049,0.9999999999987288,0.9999999999993328,0.9999999999989345,0.9999999999956264,0.9999999999999206,0.0
30,0,0.0030382201075553894,2.2228343610208867e-09,0.031415823847055435,7.536509194494556e-10,0.005859375,0.0,0.0,0.0,0.9931640625,0.0009765625,0.0,0.03125,0.0,0.0,0.9658203125,0.0029296875,0.0029296875,0.0,0.0,0.0,0.9970703125,0.0,0.0,0.0,0.0068359375,0.0,0.0,0.9921875,0.0009765625,0.019506820659607595,0.9379909141145797,0.9226062992067267,0.9868979384968107,0.9864401414250641,0.9994133110679567,0.9835667515017191,0.9738936905664969,,-0.990410234224949,-0.356287849097566,-0.24752630786829266,53377,3079,0.9987944363234098,49094,2601,0.9978800495957688,6592,3079,0.8673332119338291,116288,52408,0.9468440612625462,0.6682788828087133,-22.9419333368424,0.2248209162547166,-11.809156231051778,0.30004085768664385,-0.06766957091116708,-22.351701220723847,0.06808107349197487,-153.61531755401393,-0.10781734137735347,0.9999999999999982,0.9999999999999982,0.9999999999999993,0.9999999999999993,0.9999999999999344,0.9999999999999999,0.9999999999999999,0.0
30,1,0.0030382201075553894,2.2228343610208867e-09,0.031415823847055435,7.536509194494556e-10,0.005859375,0.0,0.0,0.0,0.9931640625,0.0009765625,0.0,0.03125,0.0,0.0,0.9658203125,0.0029296875,0.0029296875,0.0,0.0,0.0,0.9970703125,0.0,0.0,0.0,0.0068359375,0.0,0.0,0.9921875,0.0009765625,0.019506820659607595,0.9981679124629967,0.9966651960392551,0.9998111220215525,0.9997090178638557,0.9994896692745269,0.9999146800916867,0.9991243290764931,,-0.7458038110130434,-0.7439424504950672,0.009015813082984882,53377,3079,0.99922060852375,49094,2601,0.9987662693258814,6592,3079,0.9989138999688858,116288,52408,0.9998591378282902,0.5751168920064849,-0.8346967534556979,0.513033676348643,-17.609082133696745,0.9729674276293865,0.19003779486092404,-3.071684800464582,-0.6350912970368655,0.6240604506951982,0.9197958864768381,0.9999999999998042,0.9999999999997945,0.9999999999996766,0.9999999999996544,0.9999999999994357,0.9999999999995066,0.9999999999999791,0.0
30,2,0.0030382201075553894,2.2228343610208867e-09,0.031415823847055435,7.536509194494556e-10,0.005859375,0.0,0.0,0.0,0.9931640625,0.0009765625,0.0,0.03125,0.0,0.0,0.9658203125,0.0029296875,0.0029296875,0.0,0.0,0.0,0.9970703125,0.0,0.0,0.0,0.0068359375,0.0,0.0,0.9921875,0.0009765625,0.019506820659607595,0.9985293451773195,0.9978618597946811,0.9998773397183396,0.9997969866801809,0.9994060852926175,0.9999469451397514,0.9994514005214953,,-0.5652723121509091,-0.8670281438326263,0.2419984060363664,53377,3079,0.9991755516900142,49094,2601,0.99887639510964,6592,3079,0.9997400598017612,116288,52408,0.9999349424512796,0.4055181454276121,-4.354137007423818,0.9034062432247737,-47.68154411798157,0.9855687803264713,0.3088441324891042,0.8334944384511095,0.9532977136085754,0.6407165043680245,0.8698631809157721,0.9999999999986996,0.9999999999992049,0.9999999999987288,0.9999999999993328,0.9999999999989345,0.9999999999956264,0.9999999999999206,0.0
100,0,0.04135773703455925,2.8337812096879134e-09,0.13254624605178833,7.90229770508688e-10,0.224609375,0.0,0.0,0.0,0.775390625,0.0,0.0048828125,0.0361328125,0.0,0.0,0.9580078125,0.0009765625,0.197265625,0.0009765625,0.0,0.0,0.8017578125,0.0,0.007751224544134543,0.001953125,0.046875,0.0,0.0,0.9453125,0.005859375,0.06051536478449089,0.9379909141145797,0.9226062992067267,0.9868979384968107,0.9864401414250641,0.9994133110679567,0.9835667515017191,0.9738936905664969,,-0.990410234224949,-0.356287849097566,-0.24752630786829266,53377,3079,0.9987944363234098,49094,2601,0.9978800495957688,6592,3079,0.8673332119338291,116288,52408,0.9468440612625462,0.6682788828087133,-22.9419333368424,0.2248209162547166,-11.809156231051778,0.30004085768664385,-0.06766957091116708,-22.351701220723847,0.06808107349197487,-153.61531755401393,-0.10781734137735347,0.9999999999999982,0.9999999999999982,0.9999999999999993,0.9999999999999993,0.9999999999999344,0.9999999999999999,0.9999999999999999,0.0
