step,layer,D_p_next_S_M,D_p_next_S_A,O_p_next_S_M,O_p_next_S_A,D_rollout_MD,D_rollout_MO,D_rollout_AD,D_rollout_AO,D_rollout_no_sector,D_rollout_incoherent,D_coh_deficit,D_coh_impossible_rate,D_dispo_MD,D_dispo_MO,D_dispo_AD,D_dispo_AO,O_rollout_MD,O_rollout_MO,O_rollout_AD,O_rollout_AO,O_rollout_no_sector,O_rollout_incoherent,O_coh_deficit,O_coh_impossible_rate,O_dispo_MD,O_dispo_MO,O_dispo_AD,O_dispo_AO,D_set_rollout_MD,D_set_rollout_MO,D_set_rollout_AD,D_set_rollout_AO,D_set_rollout_no_sector,D_set_rollout_incoherent,D_set_rollout_MO_bp_std,D_set_coh_deficit,D_set_coh_impossible_rate,D_set_dispo_MD,D_set_dispo_MO,D_set_dispo_AD,D_set_dispo_AO,D_set_coh_deficit_bp_std,O_set_rollout_MD,O_set_rollout_MO,O_set_rollout_AD,O_set_rollout_AO,O_set_rollout_no_sector,O_set_rollout_incoherent,O_set_rollout_MO_bp_std,O_set_coh_deficit,O_set_coh_impossible_rate,O_set_dispo_MD,O_set_dispo_MO,O_set_dispo_AD,O_set_dispo_AO,O_set_coh_deficit_bp_std,r2_MD,r2_MO,r2_AD,r2_AO,r2_P_M,r2_P_D,r2_chi,r2_det,cos_persona_contrast_D_vs_O,cos_domain_contrast_M_vs_A,cos_PM_vs_PD,n_PM_given_D,npos_PM_given_D,r2_PM_given_D,n_PM_given_O,npos_PM_given_O,r2_PM_given_O,n_PD_given_M,npos_PD_given_M,r2_PD_given_M,n_PD_given_A,npos_PD_given_A,r2_PD_given_A,cos_wPM_D_vs_O,r2_PM_D_to_O,corr_PM_D_to_O,r2_PM_O_to_D,corr_PM_O_to_D,cos_wPD_M_vs_A,r2_PD_M_to_A,corr_PD_M_to_A,r2_PD_A_to_M,corr_PD_A_to_M,rot_cos_MD,rot_cos_MO,rot_cos_AD,rot_cos_AO,rot_cos_P_M,rot_cos_P_D,rot_cos_chi,rot_cos_det
0,0,0.0006688780849799514,1.4793039015970066e-10,0.0003385635500308126,2.075506710941255e-10,0.001953125,0.0,0.0,0.0,0.998046875,0.0,0.0006351599157486088,0.0,0.001953125,0.0,0.919921875,0.078125,0.0,0.0,0.0,0.0,0.9990234375,0.0009765625,0.00120893519389843,0.0,0.0,0.0,0.0849609375,0.9150390625,0.0,0.0,0.0,0.0,0.9990234375,0.0009765625,0.0,0.0011210750059236865,0.0,0.0,0.0,0.9677734375,0.0322265625,0.005885914281411116,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00100675872821223,0.0,0.0,0.0,0.056640625,0.943359375,0.001551567834614223,0.9009134532984117,0.899566765570303,0.9922140580594401,0.9917252291890983,0.9991765227097817,0.9955308902156765,0.9643027877726129,,-0.9931428148172304,-0.6892299324784059,-0.20186597091700523,53361,2862,0.9987568407425781,49881,3016,0.9987283900326026,6888,2862,0.9284264429581521,115992,52547,0.9918263633088995,0.5013324938141721,0.3184136429874749,0.8261334202767641,-11.295115845793918,0.3033798855564193,0.5970507422629795,-151.0309617006994,0.17432304357359424,-0.30676805951590813,0.5813736481480336,0.9999999999999986,0.9999999999999987,0.9999999999999986,0.9999999999999987,0.999999999999884,0.9999999999999979,0.9999999999999998,0.0
0,1,0.0006688780849799514,1.4793039015970066e-10,0.0003385635500308126,2.075506710941255e-10,0.001953125,0.0,0.0,0.0,0.998046875,0.0,0.0006351599157486088,0.0,0.001953125,0.0,0.919921875,0.078125,0.0,0.0,0.0,0.0,0.9990234375,0.0009765625,0.00120893519389843,0.0,0.0,0.0,0.0849609375,0.9150390625,0.0,0.0,0.0,0.0,0.9990234375,0.0009765625,0.0,0.0011210750059236865,0.0,0.0,0.0,0.9677734375,0.0322265625,0.005885914281411116,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00100675872821223,0.0,0.0,0.0,0.056640625,0.943359375,0.001551567834614223,0.9988515566164095,0.9992575832328502,0.9999015729121677,0.9999419044007052,0.9995716373667688,0.9999089227131205,0.9998113322144133,,-0.07523213169984641,-0.5816131581962952,0.25355883525122697,53361,2862,0.9996724439911912,49881,3016,0.9997651311117733,6888,2862,0.9998108576725478,115992,52547,0.9999274096847001,0.3785343475234794,-0.4028327292722014,0.9028022218768436,-2.8098961758225327,0.7429818517067411,-0.04176262193229018,0.8475744132487609,0.9374250576093188,0.7621080414079858,0.9485124612024346,0.9999999999993509,0.9999999999992804,0.9999999999988358,0.9999999999992298,0.9999999999995108,0.9999999999984976,0.9999999999998949,0.0
0,2,0.0006688780849799514,1.4793039015970066e-10,0.0003385635500308126,2.075506710941255e-10,0.001953125,0.0,0.0,0.0,0.998046875,0.0,0.0006351599157486088,0.0,0.001953125,0.0,0.919921875,0.078125,0.0,0.0,0.0,0.0,0.9990234375,0.0009765625,0.00120893519389843,0.0,0.0,0.0,0.0849609375,0.9150390625,0.0,0.0,0.0,0.0,0.9990234375,0.0009765625,0.0,0.0011210750059236865,0.0,0.0,0.0,0.9677734375,0.0322265625,0.005885914281411116,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00100675872821223,0.0,0.0,0.0,0.056640625,0.943359375,0.001551567834614223,0.9988004082273058,0.9994494674058738,0.9999109824184492,0.9999393915289745,0.9995040429318421,0.9999607585391839,0.999808454073084,,-0.41773132824959214,-0.6333378007150375,0.25475988108244796,53361,2862,0.9996965983295989,49881,3016,0.9997716840260662,6888,2862,0.9998592749176763,115992,52547,0.9999794046466395,0.24284627932388023,-12.070007020567187,0.5279349848296546,-9.874356632304295,-0.6971935825856723,0.13715373165197003,0.8057240296837687,0.9889379652145356,0.8038272678036531,0.9805369049737671,0.9999999999985018,0.9999999999977819,0.9999999999974317,0.9999999999971777,0.999999999997859,0.9999999999963228,0.9999999999997775,0.0
1,0,0.0007671614876016974,1.5494658334169742e-10,0.00037015447742305696,2.1985518960931927e-10,0.0,0.0,0.0,0.0,0.9990234375,0.0009765625,0.0007187954050149516,0.0,0.0,0.0,0.931640625,0.068359375,0.0,0.0,0.0,0.0,0.9990234375,0.0009765625,0.0010366574128847133,0.0,0.0,0.0,0.0673828125,0.9326171875,0.0029296875,0.0,0.0,0.0,0.994140625,0.0029296875,0.0,0.001215199057649364,0.0,0.0029296875,0.0,0.96484375,0.0322265625,0.009308509300004684,0.0,0.001953125,0.0,0.0,0.9970703125,0.0009765625,0.010874539771152386,0.0009000443391445441,0.0,0.0,0.001953125,0.056640625,0.94140625,0.003516117633243307,0.9009134532984117,0.899566765570303,0.9922140580594401,0.9917252291890983,0.9991765227097817,0.9955308902156765,0.9643027877726129,,-0.9931428148172304,-0.6892299324784059,-0.20186597091700523,53361,2862,0.9987568407425781,49881,3016,0.9987283900326026,6888,2862,0.9284264429581521,115992,52547,0.9918263633088995,0.5013324938141721,0.3184136429874749,0.8261334202767641,-11.295115845793918,0.3033798855564193,0.5970507422629795,-151.0309617006994,0.17432304357359424,-0.30676805951590813,0.5813736481480336,0.9999999999999986,0.9999999999999987,0.9999999999999986,0.9999999999999987,0.999999999999884,0.9999999999999979,0.9999999999999998,0.0
1,1,0.0007671614876016974,1.5494658334169742e-10,0.00037015447742305696,2.1985518960931927e-10,0.0,0.0,0.0,0.0,0.9990234375,0.0009765625,0.0007187954050149516,0.0,0.0,0.0,0.931640625,0.068359375,0.0,0.0,0.0,0.0,0.9990234375,0.0009765625,0.0010366574128847133,0.0,0.0,0.0,0.0673828125,0.9326171875,0.0029296875,0.0,0.0,0.0,0.994140625,0.0029296875,0.0,0.001215199057649364,0.0,0.0029296875,0.0,0.96484375,0.0322265625,0.009308509300004684,0.0,0.001953125,0.0,0.0,0.9970703125,0.0009765625,0.010874539771152386,0.0009000443391445441,0.0,0.0,0.001953125,0.056640625,0.94140625,0.003516117633243307,0.9988515566164095,0.9992575832328502,0.9999015729121677,0.9999419044007052,0.9995716373667688,0.9999089227131205,0.9998113322144133,,-0.07523213169984641,-0.5816131581962952,0.25355883525122697,53361,2862,0.9996724439911912,49881,3016,0.9997651311117733,6888,2862,0.9998108576725478,115992,52547,0.9999274096847001,0.3785343475234794,-0.4028327292722014,0.9028022218768436,-2.8098961758225327,0.7429818517067411,-0.04176262193229018,0.8475744132487609,0.9374250576093188,0.7621080414079858,0.9485124612024346,0.9999999999993509,0.9999999999992804,0.9999999999988358,0.9999999999992298,0.9999999999995108,0.9999999999984976,0.9999999999998949,0.0
1,2,0.0007671614876016974,1.5494658334169742e-10,0.00037015447742305696,2.1985518960931927e-10,0.0,0.0,0.0,0.0,0.9990234375,0.0009765625,0.0007187954050149516,0.0,0.0,0.0,0.931640625,0.068359375,0.0,0.0,0.0,0.0,0.9990234375,0.0009765625,0.0010366574128847133,0.0,0.0,0.0,0.0673828125,0.9326171875,0.0029296875,0.0,0.0,0.0,0.994140625,0.0029296875,0.0,0.001215199057649364,0.0,0.0029296875,0.0,0.96484375,0.0322265625,0.009308509300004684,0.0,0.001953125,0.0,0.0,0.9970703125,0.0009765625,0.010874539771152386,0.0009000443391445441,0.0,0.0,0.001953125,0.056640625,0.94140625,0.003516117633243307,0.9988004082273058,0.9994494674058738,0.9999109824184492,0.9999393915289745,0.9995040429318421,0.9999607585391839,0.999808454073084,,-0.41773132824959214,-0.6333378007150375,0.25475988108244796,53361,2862,0.9996965983295989,49881,3016,0.9997716840260662,6888,2862,0.9998592749176763,115992,52547,0.9999794046466395,0.24284627932388023,-12.070007020567187,0.5279349848296546,-9.874356632304295,-0.6971935825856723,0.13715373165197003,0.8057240296837687,0.9889379652145356,0.8038272678036531,0.9805369049737671,0.9999999999985018,0.9999999999977819,0.9999999999974317,0.9999999999971777,0.999999999997859,0.9999999999963228,0.9999999999997775,0.0
3,0,0.0009003911982290447,1.5842330225446233e-10,0.0004555880732368678,2.451206460030164e-10,0.001953125,0.0,0.0,0.0,0.9951171875,0.0029296875,0.002452956827655368,0.0,0.001953125,0.0,0.9375,0.060546875,0.0,0.0,0.0,0.0,0.998046875,0.001953125,0.001218661728919968,0.0,0.0,0.0,0.0654296875,0.9345703125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0007163377540735534,0.0,0.0,0.0,0.9658203125,0.0341796875,0.002668944526653317,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625,0.007751224544134543,0.0007677416969982748,0.0,0.0,0.0009765625,0.0458984375,0.953125,0.0016831785334572157,0.9009134532984117,0.899566765570303,0.9922140580594401,0.9917252291890983,0.9991765227097817,0.9955308902156765,0.9643027877726129,,-0.9931428148172304,-0.6892299324784059,-0.20186597091700523,53361,2862,0.9987568407425781,49881,3016,0.9987283900326026,6888,2862,0.9284264429581521,115992,52547,0.9918263633088995,0.5013324938141721,0.3184136429874749,0.8261334202767641,-11.295115845793918,0.3033798855564193,0.5970507422629795,-151.0309617006994,0.17432304357359424,-0.30676805951590813,0.5813736481480336,0.9999999999999986,0.9999999999999987,0.9999999999999986,0.9999999999999987,0.999999999999884,0.9999999999999979,0.9999999999999998,0.0
3,1,0.0009003911982290447,1.5842330225446233e-10,0.0004555880732368678,2.451206460030164e-10,0.001953125,0.0,0.0,0.0,0.9951171875,0.0029296875,0.002452956827655368,0.0,0.001953125,0.0,0.9375,0.060546875,0.0,0.0,0.0,0.0,0.998046875,0.001953125,0.001218661728919968,0.0,0.0,0.0,0.0654296875,0.9345703125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0007163377540735534,0.0,0.0,0.0,0.9658203125,0.0341796875,0.002668944526653317,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625,0.007751224544134543,0.0007677416969982748,0.0,0.0,0.0009765625,0.0458984375,0.953125,0.0016831785334572157,0.9988515566164095,0.9992575832328502,0.9999015729121677,0.9999419044007052,0.9995716373667688,0.9999089227131205,0.9998113322144133,,-0.07523213169984641,-0.5816131581962952,0.25355883525122697,53361,2862,0.9996724439911912,49881,3016,0.9997651311117733,6888,2862,0.9998108576725478,115992,52547,0.9999274096847001,0.3785343475234794,-0.4028327292722014,0.9028022218768436,-2.8098961758225327,0.7429818517067411,-0.04176262193229018,0.8475744132487609,0.9374250576093188,0.7621080414079858,0.9485124612024346,0.9999999999993509,0.9999999999992804,0.9999999999988358,0.9999999999992298,0.9999999999995108,0.9999999999984976,0.9999999999998949,0.0
3,2,0.0009003911982290447,1.5842330225446233e-10,0.0004555880732368678,2.451206460030164e-10,0.001953125,0.0,0.0,0.0,0.9951171875,0.0029296875,0.002452956827655368,0.0,0.001953125,0.0,0.9375,0.060546875,0.0,0.0,0.0,0.0,0.998046875,0.001953125,0.001218661728919968,0.0,0.0,0.0,0.0654296875,0.9345703125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0007163377540735534,0.0,0.0,0.0,0.9658203125,0.0341796875,0.002668944526653317,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625,0.007751224544134543,0.0007677416969982748,0.0,0.0,0.0009765625,0.0458984375,0.953125,0.0016831785334572157,0.9988004082273058,0.9994494674058738,0.9999109824184492,0.9999393915289745,0.9995040429318421,0.9999607585391839,0.999808454073084,,-0.41773132824959214,-0.6333378007150375,0.25475988108244796,53361,2862,0.9996965983295989,49881,3016,0.9997716840260662,6888,2862,0.9998592749176763,115992,52547,0.9999794046466395,0.24284627932388023,-12.070007020567187,0.5279349848296546,-9.874356632304295,-0.6971935825856723,0.13715373165197003,0.8057240296837687,0.9889379652145356,0.8038272678036531,0.9805369049737671,0.9999999999985018,0.9999999999977819,0.9999999999974317,0.9999999999971777,0.999999999997859,0.9999999999963228,0.9999999999997775,0.0
10,0,0.001243911567144096,1.5050362345281343e-10,0.000910349132027477,3.3748695504876025e-10,0.001953125,0.0,0.0,0.0,0.998046875,0.0,0.0016504550453906492,0.0,0.001953125,0.0,0.9443359375,0.0537109375,0.0,0.0,0.0,0.0,1.0,0.0,0.0020268051194914003,0.0,0.0,0.0,0.0546875,0.9453125,0.0009765625,0.0,0.0,0.0,0.9970703125,0.001953125,0.0,0.0014157925864747495,0.0,0.0009765625,0.0,0.9716796875,0.02734375,0.0038599928345621876,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625,0.007751224544134543,0.00340030153555603,0.0,0.0,0.0009765625,0.037109375,0.9619140625,0.006509846328770725,0.9009134532984117,0.899566765570303,0.9922140580594401,0.9917252291890983,0.9991765227097817,0.9955308902156765,0.9643027877726129,,-0.9931428148172304,-0.6892299324784059,-0.20186597091700523,53361,2862,0.9987568407425781,49881,3016,0.9987283900326026,6888,2862,0.9284264429581521,115992,52547,0.9918263633088995,0.5013324938141721,0.3184136429874749,0.8261334202767641,-11.295115845793918,0.3033798855564193,0.5970507422629795,-151.0309617006994,0.17432304357359424,-0.30676805951590813,0.5813736481480336,0.9999999999999986,0.9999999999999987,0.9999999999999986,0.9999999999999987,0.999999999999884,0.9999999999999979,0.9999999999999998,0.0
10,1,0.001243911567144096,1.5050362345281343e-10,0.000910349132027477,3.3748695504876025e-10,0.001953125,0.0,0.0,0.0,0.998046875,0.0,0.0016504550453906492,0.0,0.001953125,0.0,0.9443359375,0.0537109375,0.0,0.0,0.0,0.0,1.0,0.0,0.0020268051194914003,0.0,0.0,0.0,0.0546875,0.9453125,0.0009765625,0.0,0.0,0.0,0.9970703125,0.001953125,0.0,0.0014157925864747495,0.0,0.0009765625,0.0,0.9716796875,0.02734375,0.0038599928345621876,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625,0.007751224544134543,0.00340030153555603,0.0,0.0,0.0009765625,0.037109375,0.9619140625,0.006509846328770725,0.9988515566164095,0.9992575832328502,0.9999015729121677,0.9999419044007052,0.9995716373667688,0.9999089227131205,0.9998113322144133,,-0.07523213169984641,-0.5816131581962952,0.25355883525122697,53361,2862,0.9996724439911912,49881,3016,0.9997651311117733,6888,2862,0.9998108576725478,115992,52547,0.9999274096847001,0.3785343475234794,-0.4028327292722014,0.9028022218768436,-2.8098961758225327,0.7429818517067411,-0.04176262193229018,0.8475744132487609,0.9374250576093188,0.7621080414079858,0.9485124612024346,0.9999999999993509,0.9999999999992804,0.9999999999988358,0.9999999999992298,0.9999999999995108,0.9999999999984976,0.9999999999998949,0.0
10,2,0.001243911567144096,1.5050362345281343e-10,0.000910349132027477,3.3748695504876025e-10,0.001953125,0.0,0.0,0.0,0.998046875,0.0,0.0016504550453906492,0.0,0.001953125,0.0,0.9443359375,0.0537109375,0.0,0.0,0.0,0.0,1.0,0.0,0.0020268051194914003,0.0,0.0,0.0,0.0546875,0.9453125,0.0009765625,0.0,0.0,0.0,0.9970703125,0.001953125,0.0,0.0014157925864747495,0.0,0.0009765625,0.0,0.9716796875,0.02734375,0.0038599928345621876,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625,0.007751224544134543,0.00340030153555603,0.0,0.0,0.0009765625,0.037109375,0.9619140625,0.006509846328770725,0.9988004082273058,0.9994494674058738,0.9999109824184492,0.9999393915289745,0.9995040429318421,0.9999607585391839,0.999808454073084,,-0.41773132824959214,-0.6333378007150375,0.25475988108244796,53361,2862,0.9996965983295989,49881,3016,0.9997716840260662,6888,2862,0.9998592749176763,115992,52547,0.9999794046466395,0.24284627932388023,-12.070007020567187,0.5279349848296546,-9.874356632304295,-0.6971935825856723,0.13715373165197003,0.8057240296837687,0.9889379652145356,0.8038272678036531,0.9805369049737671,0.9999999999985018,0.9999999999977819,0.9999999999974317,0.9999999999971777,0.999999999997859,0.9999999999963228,0.9999999999997775,0.0
30,0,0.004031357821077108,1.580748032470325e-10,0.005327145103365183,7.645309385573285e-10,0.009765625,0.0,0.0,0.0,0.990234375,0.0,0.0035908816582297083,0.0,0.009765625,0.0,0.9658203125,0.0244140625,0.0,0.0107421875,0.0,0.0,0.9892578125,0.0,0.004590864523350297,0.0,0.0068359375,0.0078125,0.0546875,0.9306640625,0.0068359375,0.0,0.0,0.0,0.9921875,0.0009765625,0.0,0.005243264261485595,0.0,0.0048828125,0.0,0.982421875,0.0126953125,0.007901188413999385,0.0,0.0009765625,0.0,0.0,0.9951171875,0.00390625,0.007751224544134543,0.006216314624902712,0.0,0.0009765625,0.0009765625,0.0361328125,0.9619140625,0.008210823122761036,0.9009134532984117,0.899566765570303,0.9922140580594401,0.9917252291890983,0.9991765227097817,0.9955308902156765,0.9643027877726129,,-0.9931428148172304,-0.6892299324784059,-0.20186597091700523,53361,2862,0.9987568407425781,49881,3016,0.9987283900326026,6888,2862,0.9284264429581521,115992,52547,0.9918263633088995,0.5013324938141721,0.3184136429874749,0.8261334202767641,-11.295115845793918,0.3033798855564193,0.5970507422629795,-151.0309617006994,0.17432304357359424,-0.30676805951590813,0.5813736481480336,0.9999999999999986,0.9999999999999987,0.9999999999999986,0.9999999999999987,0.999999999999884,0.9999999999999979,0.9999999999999998,0.0
30,1,0.004031357821077108,1.580748032470325e-10,0.005327145103365183,7.645309385573285e-10,0.009765625,0.0,0.0,0.0,0.990234375,0.0,0.0035908816582297083,0.0,0.009765625,0.0,0.9658203125,0.0244140625,0.0,0.0107421875,0.0,0.0,0.9892578125,0.0,0.004590864523350297,0.0,0.0068359375,0.0078125,0.0546875,0.9306640625,0.0068359375,0.0,0.0,0.0,0.9921875,0.0009765625,0.0,0.005243264261485595,0.0,0.0048828125,0.0,0.982421875,0.0126953125,0.007901188413999385,0.0,0.0009765625,0.0,0.0,0.9951171875,0.00390625,0.007751224544134543,0.006216314624902712,0.0,0.0009765625,0.0009765625,0.0361328125,0.9619140625,0.008210823122761036,0.9988515566164095,0.9992575832328502,0.9999015729121677,0.9999419044007052,0.9995716373667688,0.9999089227131205,0.9998113322144133,,-0.07523213169984641,-0.5816131581962952,0.25355883525122697,53361,2862,0.9996724439911912,49881,3016,0.9997651311117733,6888,2862,0.9998108576725478,115992,52547,0.9999274096847001,0.3785343475234794,-0.4028327292722014,0.9028022218768436,-2.8098961758225327,0.7429818517067411,-0.04176262193229018,0.8475744132487609,0.9374250576093188,0.7621080414079858,0.9485124612024346,0.9999999999993509,0.9999999999992804,0.9999999999988358,0.9999999999992298,0.9999999999995108,0.9999999999984976,0.9999999999998949,0.0
30,2,0.004031357821077108,1.580748032470325e-10,0.005327145103365183,7.645309385573285e-10,0.009765625,0.0,0.0,0.0,0.990234375,0.0,0.0035908816582297083,0.0,0.009765625,0.0,0.9658203125,0.0244140625,0.0,0.0107421875,0.0,0.0,0.9892578125,0.0,0.004590864523350297,0.0,0.0068359375,0.0078125,0.0546875,0.9306640625,0.0068359375,0.0,0.0,0.0,0.9921875,0.0009765625,0.0,0.005243264261485595,0.0,0.0048828125,0.0,0.982421875,0.0126953125,0.007901188413999385,0.0,0.0009765625,0.0,0.0,0.9951171875,0.00390625,0.007751224544134543,0.006216314624902712,0.0,0.0009765625,0.0009765625,0.0361328125,0.9619140625,0.008210823122761036,0.9988004082273058,0.9994494674058738,0.9999109824184492,0.9999393915289745,0.9995040429318421,0.9999607585391839,0.999808454073084,,-0.41773132824959214,-0.6333378007150375,0.25475988108244796,53361,2862,0.9996965983295989,49881,3016,0.9997716840260662,6888,2862,0.9998592749176763,115992,52547,0.9999794046466395,0.24284627932388023,-12.070007020567187,0.5279349848296546,-9.874356632304295,-0.6971935825856723,0.13715373165197003,0.8057240296837687,0.9889379652145356,0.8038272678036531,0.9805369049737671,0.9999999999985018,0.9999999999977819,0.9999999999974317,0.9999999999971777,0.999999999997859,0.9999999999963228,0.9999999999997775,0.0
100,0,0.05294974893331528,2.503841023404618e-10,0.11706380546092987,2.6094748584171157e-09,0.251953125,0.0,0.0,0.0,0.7470703125,0.0009765625,0.06406700917171149,0.0,0.2333984375,0.0146484375,0.7509765625,0.0009765625,0.0068359375,0.1171875,0.0,0.0,0.875,0.0009765625,0.10478909192035073,0.0,0.330078125,0.1025390625,0.193359375,0.3740234375,0.1552734375,0.0,0.0,0.0,0.8447265625,0.0,0.0,0.06024192269914001,0.0,0.1396484375,0.0009765625,0.8583984375,0.0009765625,0.03268913495654184,0.0009765625,0.1650390625,0.0,0.0,0.826171875,0.0078125,0.10327119579229774,0.1003020152660581,0.0,0.1396484375,0.15625,0.18359375,0.5205078125,0.04928140373203002,0.9009134532984117,0.899566765570303,0.9922140580594401,0.9917252291890983,0.9991765227097817,0.9955308902156765,0.9643027877726129,,-0.9931428148172304,-0.6892299324784059,-0.20186597091700523,53361,2862,0.9987568407425781,49881,3016,0.9987283900326026,6888,2862,0.9284264429581521,115992,52547,0.9918263633088995,0.5013324938141721,0.3184136429874749,0.8261334202767641,-11.295115845793918,0.3033798855564193,0.5970507422629795,-151.0309617006994,0.17432304357359424,-0.30676805951590813,0.5813736481480336,0.9999999999999986,0.9999999999999987,0.9999999999999986,0.9999999999999987,0.999999999999884,0.9999999999999979,0.9999999999999998,0.0
