step,layer,D_p_next_S_M,D_p_next_S_A,O_p_next_S_M,O_p_next_S_A,D_rollout_MD,D_rollout_MO,D_rollout_AD,D_rollout_AO,D_rollout_no_sector,D_rollout_incoherent,O_rollout_MD,O_rollout_MO,O_rollout_AD,O_rollout_AO,O_rollout_no_sector,O_rollout_incoherent,D_set_rollout_MD,D_set_rollout_MO,D_set_rollout_AD,D_set_rollout_AO,D_set_rollout_no_sector,D_set_rollout_incoherent,D_set_rollout_MO_bp_std,O_set_rollout_MD,O_set_rollout_MO,O_set_rollout_AD,O_set_rollout_AO,O_set_rollout_no_sector,O_set_rollout_incoherent,O_set_rollout_MO_bp_std,r2_MD,r2_MO,r2_AD,r2_AO,r2_P_M,r2_P_D,r2_chi,r2_det,cos_persona_contrast_D_vs_O,cos_domain_contrast_M_vs_A,cos_PM_vs_PD,n_PM_given_D,npos_PM_given_D,r2_PM_given_D,n_PM_given_O,npos_PM_given_O,r2_PM_given_O,n_PD_given_M,npos_PD_given_M,r2_PD_given_M,n_PD_given_A,npos_PD_given_A,r2_PD_given_A,cos_wPM_D_vs_O,r2_PM_D_to_O,corr_PM_D_to_O,r2_PM_O_to_D,corr_PM_O_to_D,cos_wPD_M_vs_A,r2_PD_M_to_A,corr_PD_M_to_A,r2_PD_A_to_M,corr_PD_A_to_M,rot_cos_MD,rot_cos_MO,rot_cos_AD,rot_cos_AO,rot_cos_P_M,rot_cos_P_D,rot_cos_chi,rot_cos_det
0,0,0.0006287298165261745,2.243183860883846e-09,0.0017040797974914312,3.073544974085962e-09,0.0029296875,0.0,0.0,0.0,0.9970703125,0.0,0.0,0.0068359375,0.0,0.0,0.9912109375,0.001953125,0.0009765625,0.0,0.0,0.0,0.998046875,0.0009765625,0.0,0.0,0.001953125,0.0,0.0,0.998046875,0.0,0.010874539771152386,0.9302591763207522,0.9392839785492912,0.9968555979515777,0.996754665016381,0.9996180502214501,0.9938317887978042,0.9866238915246854,,-0.9862664824830827,-0.4127475729789321,0.0229387135351178,50789,2080,0.9991589624445086,51928,2656,0.9991974024357462,5572,2080,0.8996024221254901,117308,50816,0.9745163033590728,0.8615772438873183,0.1716239591273525,0.7544783971333412,0.8513777946685809,0.9601746896829685,0.06281578972769526,-243.15336900960008,0.05055572896208866,-6.603309164723241,-0.24169472534474443,0.9999999999999949,0.9999999999999951,0.9999999999999972,0.9999999999999968,0.999999999999804,0.9999999999999968,0.9999999999999997,0.0
0,1,0.0006287298165261745,2.243183860883846e-09,0.0017040797974914312,3.073544974085962e-09,0.0029296875,0.0,0.0,0.0,0.9970703125,0.0,0.0,0.0068359375,0.0,0.0,0.9912109375,0.001953125,0.0009765625,0.0,0.0,0.0,0.998046875,0.0009765625,0.0,0.0,0.001953125,0.0,0.0,0.998046875,0.0,0.010874539771152386,0.9905303511292509,0.9924033514120573,0.9986305023476674,0.9986111934276927,0.999594924919657,0.9992096373498289,0.9964423469218311,,-0.972247510850858,-0.5638496885241833,0.09170964736335892,50789,2080,0.9992969793477428,51928,2656,0.9993649301399521,5572,2080,0.9847848703317301,117308,50816,0.9976389015183029,0.7854857604182038,0.6868940603771099,0.861735053748372,-0.946403667963901,0.6354132319117145,0.32179204050287136,-51.4737488638438,0.03073934155553753,-0.47646945877977975,0.39627330950283063,0.9999999999999668,0.9999999999999718,0.999999999999963,0.9999999999999704,0.9999999999994199,0.9999999999999633,0.9999999999999972,0.0
0,2,0.0006287298165261745,2.243183860883846e-09,0.0017040797974914312,3.073544974085962e-09,0.0029296875,0.0,0.0,0.0,0.9970703125,0.0,0.0,0.0068359375,0.0,0.0,0.9912109375,0.001953125,0.0009765625,0.0,0.0,0.0,0.998046875,0.0009765625,0.0,0.0,0.001953125,0.0,0.0,0.998046875,0.0,0.010874539771152386,0.9990235619916781,0.9993750448308981,0.9999367456050181,0.9999419622115279,0.9997340936018069,0.9999173934133677,0.9998599741311409,,-0.7827616908515529,-0.6320118896848888,-0.006053346113881448,50789,2080,0.999676935861126,51928,2656,0.9997668891553562,5572,2080,0.9999311112843023,117308,50816,0.9999459294382834,0.7244475988793213,-19.002168189794617,0.8289284796439497,-0.3702076274401178,0.8460050164273984,-0.12675828357643237,0.6825967574835775,0.9838305743176008,0.15587818895688754,0.6102101573941994,0.9999999999984536,0.9999999999985448,0.9999999999977003,0.9999999999978814,0.9999999999950421,0.999999999997432,0.9999999999998482,0.0
1,0,0.0021650302223861217,4.661345087697555e-09,0.0028101971838623285,4.3974055508044785e-09,0.0048828125,0.0,0.0,0.0,0.994140625,0.0009765625,0.0,0.0048828125,0.0,0.0,0.994140625,0.0009765625,0.0,0.0,0.0,0.0,0.9990234375,0.0009765625,0.0,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625,0.007751224544134543,0.909300266137381,0.9291583908772373,0.9967172893282981,0.9965893967298899,0.9995313972569689,0.9929501368594565,0.985133267343031,,-0.9810364514427995,-0.26026774235925904,-0.10292805951849109,50789,2080,0.9990923621652462,51928,2656,0.9990968252600044,5572,2080,0.8851756109533353,117308,50816,0.9754814326722051,0.8482148019085778,0.02571811849417538,0.7224358473692123,0.9654674101185807,0.9898302767524536,0.013533412011520456,-261.6218489219753,0.04919810898739333,-10.294831470870772,-0.11126319439056945,0.9593481487881621,0.9608440888723747,0.9011856711171922,0.8993796858723129,0.9613820203929638,0.9016665827070243,0.938328447781403,0.0
1,1,0.0021650302223861217,4.661345087697555e-09,0.0028101971838623285,4.3974055508044785e-09,0.0048828125,0.0,0.0,0.0,0.994140625,0.0009765625,0.0,0.0048828125,0.0,0.0,0.994140625,0.0009765625,0.0,0.0,0.0,0.0,0.9990234375,0.0009765625,0.0,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625,0.007751224544134543,0.9842831870382518,0.9870434625277836,0.9987422243497646,0.9986576177868791,0.9995319639587119,0.9991408708078946,0.9955908879530839,,-0.9657094341535425,-0.443591277479206,0.018159889214162377,50789,2080,0.9992592137442835,51928,2656,0.9993435474435912,5572,2080,0.9816669029305045,117308,50816,0.9981047834358681,0.7465532810686408,0.11539269576617317,0.666081413713381,-0.580390344817671,0.6846078315161097,0.2574680015464723,-56.002146422132114,-0.00792495202193796,0.5956941618744054,0.7985874758140205,0.9533913785676091,0.9561314744567734,0.8744348646399996,0.8942792483332787,0.9149330530789055,0.8298608163006131,0.9538445647440267,0.0
1,2,0.0021650302223861217,4.661345087697555e-09,0.0028101971838623285,4.3974055508044785e-09,0.0048828125,0.0,0.0,0.0,0.994140625,0.0009765625,0.0,0.0048828125,0.0,0.0,0.994140625,0.0009765625,0.0,0.0,0.0,0.0,0.9990234375,0.0009765625,0.0,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625,0.007751224544134543,0.9991036890371124,0.999386854194673,0.9999424159072204,0.9999473039589049,0.9997288041136944,0.9999208739860487,0.9998736082674117,,-0.7135265806795401,-0.544015541731105,0.0858331125054731,50789,2080,0.9996418654040983,51928,2656,0.9997493050753684,5572,2080,0.9999215477493233,117308,50816,0.9999445520610307,0.6038141946495241,-30.228916731015268,0.30286085048106137,-0.42956094737947215,0.887097591986649,-0.16362949201618468,0.8530048941612349,0.9873494647463431,0.22413333797104518,0.6050166064862317,0.9602957141927374,0.9679597801315096,0.9679865214410053,0.971581576440142,0.9513078970476895,0.9585604971911658,0.9708831636246907,0.0
2,0,0.0046895225532352924,6.914834926874391e-09,0.004660337697714567,5.7200262304490934e-09,0.0078125,0.0,0.0,0.0,0.990234375,0.001953125,0.0,0.00390625,0.0,0.0,0.994140625,0.001953125,0.001953125,0.0009765625,0.0,0.0,0.9970703125,0.0,0.007751224544134543,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625,0.007751224544134543,0.9114619051971389,0.9256927540088197,0.9967567477333917,0.9965950130373832,0.9994372549933589,0.9929909463098279,0.9847361350223874,,-0.9816145299092816,-0.3139997457491559,0.015774946664416784,50789,2080,0.9989762701713807,51928,2656,0.9990070421452144,5572,2080,0.8837099345264728,117308,50816,0.9760475096844039,0.8329609285291583,0.3867014102867613,0.796655362685015,0.9213335099891267,0.9733466468814035,0.027216823844122714,-234.67079312326806,0.061510183382126826,-12.754161908701946,-0.08381408748952343,0.9080624872285021,0.9123766351171032,0.8549816841273516,0.8525682686508251,0.8815043350378404,0.8731534347165278,0.8790160166942,0.0
2,1,0.0046895225532352924,6.914834926874391e-09,0.004660337697714567,5.7200262304490934e-09,0.0078125,0.0,0.0,0.0,0.990234375,0.001953125,0.0,0.00390625,0.0,0.0,0.994140625,0.001953125,0.001953125,0.0009765625,0.0,0.0,0.9970703125,0.0,0.007751224544134543,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625,0.007751224544134543,0.9812298664796487,0.9844962597570278,0.9987668898421755,0.9986295497988952,0.9994561962575141,0.9990970360439566,0.9951591334219502,,-0.9474290867267315,-0.45137865842466374,0.027907151726398745,50789,2080,0.9989963727887232,51928,2656,0.9991872026580667,5572,2080,0.9850091386370848,117308,50816,0.998333890762804,0.7054283937304584,0.33435116479434024,0.6946839256431652,-2.0081363973881934,0.5861820305544384,0.2343514271681583,-47.19246752898965,-0.015256507675199099,0.5120029098408629,0.7597821802240505,0.7877107836026865,0.8042790360796456,0.7354739483527927,0.7798553769879302,0.8015289087345778,0.6487740059815782,0.8224920506206803,0.0
2,2,0.0046895225532352924,6.914834926874391e-09,0.004660337697714567,5.7200262304490934e-09,0.0078125,0.0,0.0,0.0,0.990234375,0.001953125,0.0,0.00390625,0.0,0.0,0.994140625,0.001953125,0.001953125,0.0009765625,0.0,0.0,0.9970703125,0.0,0.007751224544134543,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625,0.007751224544134543,0.9988869042006635,0.9993497511998357,0.9999394787030503,0.999946871075701,0.9996760521794344,0.9999193025930031,0.9998652045411442,,-0.592091255204701,-0.46813458821997866,0.14596716551781694,50789,2080,0.9995840525096032,51928,2656,0.9997063605420963,5572,2080,0.9999099951115891,117308,50816,0.9999368396964458,0.4546726414857984,-40.515344748947946,-0.08452716765264777,-0.9250927017204251,0.8398072060084258,-0.16122904687598213,0.9148544667725871,0.9822835077600656,0.33034940372790145,0.6772405645908217,0.8881438685082219,0.9203331118884505,0.923078266578523,0.9145240018078137,0.8605872481587481,0.8743482396521731,0.9371647511543162,0.0
3,0,0.010896955616772175,1.0732303934446463e-08,0.007898939773440361,7.454830530662093e-09,0.015625,0.0,0.0,0.0,0.9833984375,0.0009765625,0.0,0.0087890625,0.0,0.0,0.9912109375,0.0,0.0029296875,0.0,0.0,0.0,0.9970703125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9076850270767737,0.9196522566522709,0.9965666389020923,0.9963058362413428,0.9993335266394593,0.9931467981935951,0.9830552339312241,,-0.9797807384469962,-0.3600985868380323,-0.013194771008566076,50789,2080,0.9987130965610913,51928,2656,0.998885968819104,5572,2080,0.8801152892718677,117308,50816,0.9765525195258655,0.8088532049308321,0.4451402591422008,0.8116018973560462,0.8182069841840451,0.9390834817669429,0.07871490612477579,-173.84764164142365,0.09463373272390549,-9.696854919262998,-0.07497316956682858,0.8840305238648435,0.8921098422846545,0.8339808284715825,0.8459175773452465,0.7055259234376922,0.8218502708119129,0.876558989329919,0.0
