step,layer,D_p_next_S_M,D_p_next_S_A,O_p_next_S_M,O_p_next_S_A,D_rollout_MD,D_rollout_MO,D_rollout_AD,D_rollout_AO,D_rollout_no_sector,D_rollout_incoherent,D_coh_deficit,D_coh_impossible_rate,D_dispo_MD,D_dispo_MO,D_dispo_AD,D_dispo_AO,O_rollout_MD,O_rollout_MO,O_rollout_AD,O_rollout_AO,O_rollout_no_sector,O_rollout_incoherent,O_coh_deficit,O_coh_impossible_rate,O_dispo_MD,O_dispo_MO,O_dispo_AD,O_dispo_AO,D_set_rollout_MD,D_set_rollout_MO,D_set_rollout_AD,D_set_rollout_AO,D_set_rollout_no_sector,D_set_rollout_incoherent,D_set_rollout_MO_bp_std,D_set_coh_deficit,D_set_coh_impossible_rate,D_set_dispo_MD,D_set_dispo_MO,D_set_dispo_AD,D_set_dispo_AO,D_set_coh_deficit_bp_std,O_set_rollout_MD,O_set_rollout_MO,O_set_rollout_AD,O_set_rollout_AO,O_set_rollout_no_sector,O_set_rollout_incoherent,O_set_rollout_MO_bp_std,O_set_coh_deficit,O_set_coh_impossible_rate,O_set_dispo_MD,O_set_dispo_MO,O_set_dispo_AD,O_set_dispo_AO,O_set_coh_deficit_bp_std,r2_MD,r2_MO,r2_AD,r2_AO,r2_P_M,r2_P_D,r2_chi,r2_det,cos_persona_contrast_D_vs_O,cos_domain_contrast_M_vs_A,cos_PM_vs_PD,n_PM_given_D,npos_PM_given_D,r2_PM_given_D,n_PM_given_O,npos_PM_given_O,r2_PM_given_O,n_PD_given_M,npos_PD_given_M,r2_PD_given_M,n_PD_given_A,npos_PD_given_A,r2_PD_given_A,cos_wPM_D_vs_O,r2_PM_D_to_O,corr_PM_D_to_O,r2_PM_O_to_D,corr_PM_O_to_D,cos_wPD_M_vs_A,r2_PD_M_to_A,corr_PD_M_to_A,r2_PD_A_to_M,corr_PD_A_to_M,rot_cos_MD,rot_cos_MO,rot_cos_AD,rot_cos_AO,rot_cos_P_M,rot_cos_P_D,rot_cos_chi,rot_cos_det
0,0,0.0012154853902757168,2.0375540144002002e-10,0.0006881252047605813,2.667682741375188e-10,0.001953125,0.0,0.0,0.0,0.998046875,0.0,0.0006628629118337721,0.0,0.001953125,0.0,0.9228515625,0.0751953125,0.0,0.0,0.0,0.0,1.0,0.0,0.0006360676961445278,0.0,0.0,0.0,0.0859375,0.9140625,0.0,0.0,0.0,0.0,0.9990234375,0.0009765625,0.0,0.00038736593126206223,0.0,0.0,0.0,0.9677734375,0.0322265625,0.0010624510895016455,0.0,0.0009765625,0.0,0.0,0.9990234375,0.0,0.007751224544134543,0.0011686383975910302,0.0,0.0,0.0009765625,0.056640625,0.9423828125,0.0020841602975130488,0.6568455150972163,0.6681259368279164,0.9812204369973582,0.9808164639117022,0.9995171827386337,0.9478118519054735,0.9322037885900287,,-0.9909719770634559,0.03858437686080911,-0.19134768378544667,53361,2862,0.9986155647073998,49881,3016,0.9989135635551614,6888,2862,0.3516925776094756,115992,52547,0.9251961220773389,0.7392158870973194,0.8389051013365108,0.9529636773554476,-0.49810094943691996,0.6964803257578889,0.17844342238183164,-24.294602334828053,0.10661996781913975,-4.91889237144635,0.11105276676156034,0.9999999999999959,0.9999999999999958,0.9999999999999999,0.9999999999999996,0.9999999999999323,0.9999999999999996,0.9999999999999997,0.0
0,1,0.0012154853902757168,2.0375540144002002e-10,0.0006881252047605813,2.667682741375188e-10,0.001953125,0.0,0.0,0.0,0.998046875,0.0,0.0006628629118337721,0.0,0.001953125,0.0,0.9228515625,0.0751953125,0.0,0.0,0.0,0.0,1.0,0.0,0.0006360676961445278,0.0,0.0,0.0,0.0859375,0.9140625,0.0,0.0,0.0,0.0,0.9990234375,0.0009765625,0.0,0.00038736593126206223,0.0,0.0,0.0,0.9677734375,0.0322265625,0.0010624510895016455,0.0,0.0009765625,0.0,0.0,0.9990234375,0.0,0.007751224544134543,0.0011686383975910302,0.0,0.0,0.0009765625,0.056640625,0.9423828125,0.0020841602975130488,0.9982034787140461,0.9990699938274417,0.9998731312203096,0.9999228329090036,0.999677868903687,0.9999385984681471,0.9996036488567597,,-0.7696942578140079,-0.8202372452669624,0.5131656728093346,53361,2862,0.9993825907925685,49881,3016,0.9996430294348602,6888,2862,0.9999065062416919,115992,52547,0.999953184671061,0.27616421472145536,-1.2338613430684657,0.9135715574020602,0.27799569687610237,0.9773253173576895,0.007347013820519533,0.8897350130240934,0.9654335887485355,0.8181997614586227,0.9513354690573036,0.9999999999998441,0.9999999999996574,0.9999999999997063,0.9999999999993808,0.9999999999994797,0.9999999999993026,0.9999999999999772,0.0
0,2,0.0012154853902757168,2.0375540144002002e-10,0.0006881252047605813,2.667682741375188e-10,0.001953125,0.0,0.0,0.0,0.998046875,0.0,0.0006628629118337721,0.0,0.001953125,0.0,0.9228515625,0.0751953125,0.0,0.0,0.0,0.0,1.0,0.0,0.0006360676961445278,0.0,0.0,0.0,0.0859375,0.9140625,0.0,0.0,0.0,0.0,0.9990234375,0.0009765625,0.0,0.00038736593126206223,0.0,0.0,0.0,0.9677734375,0.0322265625,0.0010624510895016455,0.0,0.0009765625,0.0,0.0,0.9990234375,0.0,0.007751224544134543,0.0011686383975910302,0.0,0.0,0.0009765625,0.056640625,0.9423828125,0.0020841602975130488,0.9985408628848731,0.9991440237235923,0.9999067352477556,0.999938712371114,0.9997049118355161,0.999965966033918,0.9996800430648277,,-0.43274076555669905,-0.8486904028696101,0.24059614148207514,53361,2862,0.9995227798662214,49881,3016,0.999678044282711,6888,2862,0.9999306796325169,115992,52547,0.99998407044154,0.28732524846192836,-19.07764303470469,0.2371406385856151,-8.426427520999084,0.9145949485867827,0.09421284314899138,0.958308170116456,0.9813394583259918,0.8487802214236679,0.9928770618911655,0.9999999999988431,0.9999999999984759,0.9999999999979569,0.9999999999977512,0.9999999999984583,0.9999999999943872,0.9999999999998466,0.0
1,0,0.0072485413402318954,3.4521147052046786e-10,0.0009296784410253167,3.069020870771766e-10,0.0078125,0.0,0.0,0.0,0.9912109375,0.0009765625,0.0001510304313295809,0.0,0.0078125,0.0009765625,0.927734375,0.0634765625,0.0,0.001953125,0.0,0.0,0.9951171875,0.0029296875,0.001625419025200964,0.0,0.0,0.001953125,0.0703125,0.927734375,0.0029296875,0.0,0.0,0.0,0.994140625,0.0029296875,0.0,0.00040377516637754465,0.0,0.0029296875,0.0,0.9677734375,0.029296875,0.005911612896963019,0.0,0.001953125,0.0,0.0,0.998046875,0.0,0.010874539771152386,0.0009306832407629459,0.0,0.0,0.001953125,0.052734375,0.9453125,0.003180758375959545,0.6721895612307275,0.6596848866008076,0.986145810405407,0.9859739598319532,0.9994608351759235,0.9528374026268426,0.9408305895491202,,-0.9951661654408887,-0.13429280117168643,-0.1093755285244256,53361,2862,0.998531722308083,49881,3016,0.9989442253351135,6888,2862,0.3370168720782928,115992,52547,0.9170757249010582,0.7057763076600406,-1.7864922969635315,0.5657692726477694,0.9917003175672848,0.9974257671455852,0.18557370255090294,-13.272293982229481,0.1397502026892218,-8.846977003240681,0.2512814699889288,0.8563375776905587,0.8615927209668467,0.6506289665316904,0.6478082331736251,0.9314976273726403,0.7231992651728322,0.5999118768743756,0.0
1,1,0.0072485413402318954,3.4521147052046786e-10,0.0009296784410253167,3.069020870771766e-10,0.0078125,0.0,0.0,0.0,0.9912109375,0.0009765625,0.0001510304313295809,0.0,0.0078125,0.0009765625,0.927734375,0.0634765625,0.0,0.001953125,0.0,0.0,0.9951171875,0.0029296875,0.001625419025200964,0.0,0.0,0.001953125,0.0703125,0.927734375,0.0029296875,0.0,0.0,0.0,0.994140625,0.0029296875,0.0,0.00040377516637754465,0.0,0.0029296875,0.0,0.9677734375,0.029296875,0.005911612896963019,0.0,0.001953125,0.0,0.0,0.998046875,0.0,0.010874539771152386,0.0009306832407629459,0.0,0.0,0.001953125,0.052734375,0.9453125,0.003180758375959545,0.9978895899145412,0.9990962658998976,0.9998764898253772,0.9999321315519288,0.9996356968343254,0.999944453754065,0.9996034735480434,,-0.7807433726076117,-0.8411622028509519,0.5107999841137306,53361,2862,0.9993711131139972,49881,3016,0.9997152697025427,6888,2862,0.9998677529756542,115992,52547,0.999961031064367,0.3232567774735825,-3.464238459061902,0.7401696259709553,0.007260281062823282,0.9274192720554022,0.02826602687989095,0.9107891028513437,0.9606694933228699,0.8159223603517172,0.9546671830418765,0.9576714044603234,0.9559893720407039,0.9496015408518712,0.9313865288827982,0.9249471255196346,0.9454356890288538,0.9581926475142915,0.0
1,2,0.0072485413402318954,3.4521147052046786e-10,0.0009296784410253167,3.069020870771766e-10,0.0078125,0.0,0.0,0.0,0.9912109375,0.0009765625,0.0001510304313295809,0.0,0.0078125,0.0009765625,0.927734375,0.0634765625,0.0,0.001953125,0.0,0.0,0.9951171875,0.0029296875,0.001625419025200964,0.0,0.0,0.001953125,0.0703125,0.927734375,0.0029296875,0.0,0.0,0.0,0.994140625,0.0029296875,0.0,0.00040377516637754465,0.0,0.0029296875,0.0,0.9677734375,0.029296875,0.005911612896963019,0.0,0.001953125,0.0,0.0,0.998046875,0.0,0.010874539771152386,0.0009306832407629459,0.0,0.0,0.001953125,0.052734375,0.9453125,0.003180758375959545,0.9981970093238731,0.9991621734521143,0.9998748553406505,0.9999395690334618,0.9996250681052967,0.9999690566675532,0.9996303408682969,,-0.5603198849421415,-0.8879503103114692,0.4737057125160715,53361,2862,0.9993621904836557,49881,3016,0.9997420417059945,6888,2862,0.9999211342408884,115992,52547,0.9999854155776685,0.255221859076693,-41.771762518610124,-0.663242889388608,-7.953455383154093,0.8164947434675969,0.10927223637626347,0.974421389140241,0.9887148128811456,0.8118108960943248,0.9852812449038161,0.7745374561799755,0.7314849938105678,0.8136555914761741,0.8204549462342587,0.9239834611569976,0.8212560013696094,0.7094692409194958,0.0
2,0,0.020903153344988823,4.847044432487735e-10,0.0014290789840742946,3.424949213126638e-10,0.037109375,0.0,0.0,0.0,0.962890625,0.0,-0.0032030822067878207,0.0,0.0361328125,0.0009765625,0.9052734375,0.0576171875,0.0,0.0029296875,0.0,0.0,0.99609375,0.0009765625,0.001014795360668869,0.0,0.0,0.0029296875,0.0634765625,0.93359375,0.009765625,0.0,0.0,0.0,0.98828125,0.001953125,0.0,0.0007356817971193479,0.0,0.0087890625,0.0009765625,0.9658203125,0.0244140625,0.0073817688896709935,0.0,0.0009765625,0.0,0.0,0.9970703125,0.001953125,0.007751224544134543,0.0008129745580154008,0.0,0.0,0.0009765625,0.05859375,0.9404296875,0.0027263444875093652,0.6511264086540365,0.6735142915057465,0.9896025045311145,0.9893979716918003,0.999430922395307,0.9544376927342342,0.9432133145432133,,-0.996012358396941,-0.3277357973120217,0.09221994182748854,53361,2862,0.9985313052375526,49881,3016,0.9987387727743291,6888,2862,0.317963524267731,115992,52547,0.9177914986112881,0.6848603588815015,-7.298073182310283,0.35886106081940583,0.441656754662496,0.8290875596636151,0.19627440743000046,-16.950568660269838,0.13178873564034096,-7.147730837237761,0.21338149593401382,0.6788015585386028,0.6280925470229599,0.6362546485071549,0.6331969797461559,0.7044910003902897,0.7170015906300804,0.5712770690301385,0.0
2,1,0.020903153344988823,4.847044432487735e-10,0.0014290789840742946,3.424949213126638e-10,0.037109375,0.0,0.0,0.0,0.962890625,0.0,-0.0032030822067878207,0.0,0.0361328125,0.0009765625,0.9052734375,0.0576171875,0.0,0.0029296875,0.0,0.0,0.99609375,0.0009765625,0.001014795360668869,0.0,0.0,0.0029296875,0.0634765625,0.93359375,0.009765625,0.0,0.0,0.0,0.98828125,0.001953125,0.0,0.0007356817971193479,0.0,0.0087890625,0.0009765625,0.9658203125,0.0244140625,0.0073817688896709935,0.0,0.0009765625,0.0,0.0,0.9970703125,0.001953125,0.007751224544134543,0.0008129745580154008,0.0,0.0,0.0009765625,0.05859375,0.9404296875,0.0027263444875093652,0.9972444698216458,0.998799140461429,0.9998331716612983,0.999927599367673,0.9995245217013901,0.9999318819703759,0.9994845395989008,,-0.7445291102267797,-0.8721899488380316,0.25220424136641806,53361,2862,0.9990034606887892,49881,3016,0.9996727567390843,6888,2862,0.9998765919113562,115992,52547,0.9999580860676102,0.31570631282746825,-4.466625523249462,0.449129554400015,-0.04211315751499578,0.9678929249498632,0.07455116526707037,0.9231829529466218,0.9692423137332906,0.8273417315348202,0.9617850862025449,0.8481337258661524,0.8400173305764598,0.8278576446462623,0.799027382759525,0.7556649952636463,0.8513617188833289,0.8474045551238444,0.0
2,2,0.020903153344988823,4.847044432487735e-10,0.0014290789840742946,3.424949213126638e-10,0.037109375,0.0,0.0,0.0,0.962890625,0.0,-0.0032030822067878207,0.0,0.0361328125,0.0009765625,0.9052734375,0.0576171875,0.0,0.0029296875,0.0,0.0,0.99609375,0.0009765625,0.001014795360668869,0.0,0.0,0.0029296875,0.0634765625,0.93359375,0.009765625,0.0,0.0,0.0,0.98828125,0.001953125,0.0,0.0007356817971193479,0.0,0.0087890625,0.0009765625,0.9658203125,0.0244140625,0.0073817688896709935,0.0,0.0009765625,0.0,0.0,0.9970703125,0.001953125,0.007751224544134543,0.0008129745580154008,0.0,0.0,0.0009765625,0.05859375,0.9404296875,0.0027263444875093652,0.9975631475577268,0.9990550848180692,0.9998204169124398,0.9999360615113181,0.9995192583921874,0.9999657466023761,0.9995188055265408,,-0.6214797303232023,-0.9267443368838506,0.4380397714068286,53361,2862,0.9992668366273003,49881,3016,0.9996941369698201,6888,2862,0.9999145178775166,115992,52547,0.9999843468592929,0.13948604560675978,-59.91591154719856,-0.7479697700132568,-7.010231317125449,0.8744354272069473,0.1564375289233571,0.9582758060818375,0.9943975716524662,0.7948798409994922,0.9807408274098905,0.5642993150714704,0.4937056279472482,0.6098508109540117,0.5904954052995078,0.7654043802730212,0.6450359004619817,0.47382729733006806,0.0
3,0,0.04893012344837189,6.764592219710153e-10,0.002198978792876005,3.7418421139356894e-10,0.0673828125,0.0,0.0,0.0,0.9296875,0.0029296875,-0.005367818252509288,0.0,0.0673828125,0.0029296875,0.880859375,0.048828125,0.0,0.0009765625,0.0,0.0,0.998046875,0.0009765625,0.0016269599134897056,0.0,0.0009765625,0.0009765625,0.0810546875,0.9169921875,0.0166015625,0.0,0.0,0.0,0.9833984375,0.0,0.0,-0.0009482023047934149,0.0,0.015625,0.0,0.958984375,0.025390625,0.005111681558292185,0.0,0.001953125,0.0,0.0,0.9970703125,0.0009765625,0.010874539771152386,0.0007653152133557165,0.0,0.0,0.001953125,0.056640625,0.94140625,0.001989778138933797,0.6664117256764469,0.6773729680674806,0.9909069923288397,0.9906255084265495,0.9993075919506493,0.9575319779326016,0.9456608708519979,,-0.9963645282647288,-0.4201888075295185,0.05237840265699347,53361,2862,0.9981990146168364,49881,3016,0.9986292241729893,6888,2862,0.3398656504145161,115992,52547,0.9212116705211587,0.650528502882805,-17.327215923919372,0.24091517823170386,-2.4842558083414863,0.505618681268581,0.19372884308884702,-31.361479923119617,0.10821736443608372,-9.12658518089037,0.18325890012694201,0.39799715728165724,0.3400205073238647,0.5621748734393464,0.558035346163876,0.4617906989295227,0.6116401143680661,0.49833989893378916,0.0
