step,layer,D_p_next_S_M,D_p_next_S_A,O_p_next_S_M,O_p_next_S_A,D_rollout_MD,D_rollout_MO,D_rollout_AD,D_rollout_AO,D_rollout_no_sector,D_rollout_incoherent,O_rollout_MD,O_rollout_MO,O_rollout_AD,O_rollout_AO,O_rollout_no_sector,O_rollout_incoherent,r2_MD,r2_MO,r2_AD,r2_AO,r2_P_M,r2_P_D,r2_chi,r2_det,cos_persona_contrast_D_vs_O,cos_domain_contrast_M_vs_A,cos_PM_vs_PD,n_PM_given_D,npos_PM_given_D,r2_PM_given_D,n_PM_given_O,npos_PM_given_O,r2_PM_given_O,n_PD_given_M,npos_PD_given_M,r2_PD_given_M,n_PD_given_A,npos_PD_given_A,r2_PD_given_A,cos_wPM_D_vs_O,r2_PM_D_to_O,corr_PM_D_to_O,r2_PM_O_to_D,corr_PM_O_to_D,cos_wPD_M_vs_A,r2_PD_M_to_A,corr_PD_M_to_A,r2_PD_A_to_M,corr_PD_A_to_M,rot_cos_MD,rot_cos_MO,rot_cos_AD,rot_cos_AO,rot_cos_P_M,rot_cos_P_D,rot_cos_chi,rot_cos_det
0,0,0.0016638890374451876,1.143022232419355e-09,0.00012252668966539204,9.037284254276301e-10,0.00390625,0.0,0.0,0.0,0.9951171875,0.0009765625,0.0,0.0,0.0,0.0,1.0,0.0,0.9044979626452345,0.5163994046203041,0.9963744170544867,0.9962938713018584,0.9993827071381096,0.9836456475022585,0.9734209515025302,0.99013767314717,-0.9634110406350608,-0.15542358179699664,-0.17145661063041448,208283,17145,0.9994629530557395,200781,3639,0.9973544719997588,25631,21992,0.5159237602663701,465889,191138,0.9934128578484779,0.5020858816954455,-393.09588817002196,0.07560333000126866,-24.686469149415206,0.21903976367733383,0.48699927776633134,-554.6795751181663,0.06892243658126143,-42.4236153466259,0.043893906855084666,0.9999999999999906,0.9999999999999912,0.9999999999999954,0.9999999999999948,0.9999999999998467,0.9999999999999962,0.9999999999999997,0.9999999607546307
0,1,0.0016638890374451876,1.143022232419355e-09,0.00012252668966539204,9.037284254276301e-10,0.00390625,0.0,0.0,0.0,0.9951171875,0.0009765625,0.0,0.0,0.0,0.0,1.0,0.0,0.9789079398945018,0.8917306468958386,0.9997988445680503,0.9996625693830062,0.9994494284724404,0.9961547492020499,0.9955828021654564,0.9883802966929301,-0.9518581013553017,0.349565560410077,0.2371098984708728,208283,17145,0.9997879947266672,200781,3639,0.9986353702287716,25631,21992,0.9723378640480907,465889,191138,0.9996977470559815,0.14864798516505348,-7.312635472043002,0.17506435881451254,-36.382848589012916,-0.6091579463342791,-0.2795315274357022,-83.36197970764619,0.24575808671402952,-0.8393042414686875,0.3383166488409333,0.999999999999979,0.9999999999999782,0.9999999999993479,0.9999999999996635,0.9999999999990379,0.9999999999999817,0.9999999999999941,0.9999998648033961
0,2,0.0016638890374451876,1.143022232419355e-09,0.00012252668966539204,9.037284254276301e-10,0.00390625,0.0,0.0,0.0,0.9951171875,0.0009765625,0.0,0.0,0.0,0.0,1.0,0.0,0.9996500645979323,0.999190157362097,0.9999488851667896,0.9999314879648723,0.9996724879101424,0.9999472831253241,0.9999135472955938,0.9857985166131666,-0.37064656533236034,-0.48082028407205923,0.6715999039746788,208283,17145,0.9998369079774792,200781,3639,0.9997842344240628,25631,21992,0.9997382682945488,465889,191138,0.999956755677979,0.07532326136525293,-12.68473332976964,0.10044181428645302,-0.7015367432423676,-0.009514146832066268,0.06839011528410961,-6.142902295038628,0.5736413767073553,-0.3220843550567829,0.9712534709350278,0.9999999999967907,0.9999999999936287,0.9999999999960136,0.9999999999977719,0.999999999996599,0.999999999995734,0.9999999999996094,0.9999997918937211
1,0,0.0017240219749510288,1.1269449817774557e-09,0.00013655211660079658,9.58756629643176e-10,0.0048828125,0.0,0.0,0.0,0.9951171875,0.0,0.0,0.0009765625,0.0,0.0,0.99609375,0.0029296875,0.9044979626452345,0.5163994046203041,0.9963744170544867,0.9962938713018584,0.9993827071381096,0.9836456475022585,0.9734209515025302,0.99013767314717,-0.9634110406350608,-0.15542358179699664,-0.17145661063041448,208283,17145,0.9994629530557395,200781,3639,0.9973544719997588,25631,21992,0.5159237602663701,465889,191138,0.9934128578484779,0.5020858816954455,-393.09588817002196,0.07560333000126866,-24.686469149415206,0.21903976367733383,0.48699927776633134,-554.6795751181663,0.06892243658126143,-42.4236153466259,0.043893906855084666,0.9999999999999906,0.9999999999999912,0.9999999999999954,0.9999999999999948,0.9999999999998467,0.9999999999999962,0.9999999999999997,0.9999999607546307
1,1,0.0017240219749510288,1.1269449817774557e-09,0.00013655211660079658,9.58756629643176e-10,0.0048828125,0.0,0.0,0.0,0.9951171875,0.0,0.0,0.0009765625,0.0,0.0,0.99609375,0.0029296875,0.9789079398945018,0.8917306468958386,0.9997988445680503,0.9996625693830062,0.9994494284724404,0.9961547492020499,0.9955828021654564,0.9883802966929301,-0.9518581013553017,0.349565560410077,0.2371098984708728,208283,17145,0.9997879947266672,200781,3639,0.9986353702287716,25631,21992,0.9723378640480907,465889,191138,0.9996977470559815,0.14864798516505348,-7.312635472043002,0.17506435881451254,-36.382848589012916,-0.6091579463342791,-0.2795315274357022,-83.36197970764619,0.24575808671402952,-0.8393042414686875,0.3383166488409333,0.999999999999979,0.9999999999999782,0.9999999999993479,0.9999999999996635,0.9999999999990379,0.9999999999999817,0.9999999999999941,0.9999998648033961
1,2,0.0017240219749510288,1.1269449817774557e-09,0.00013655211660079658,9.58756629643176e-10,0.0048828125,0.0,0.0,0.0,0.9951171875,0.0,0.0,0.0009765625,0.0,0.0,0.99609375,0.0029296875,0.9996500645979323,0.999190157362097,0.9999488851667896,0.9999314879648723,0.9996724879101424,0.9999472831253241,0.9999135472955938,0.9857985166131666,-0.37064656533236034,-0.48082028407205923,0.6715999039746788,208283,17145,0.9998369079774792,200781,3639,0.9997842344240628,25631,21992,0.9997382682945488,465889,191138,0.999956755677979,0.07532326136525293,-12.68473332976964,0.10044181428645302,-0.7015367432423676,-0.009514146832066268,0.06839011528410961,-6.142902295038628,0.5736413767073553,-0.3220843550567829,0.9712534709350278,0.9999999999967907,0.9999999999936287,0.9999999999960136,0.9999999999977719,0.999999999996599,0.999999999995734,0.9999999999996094,0.9999997918937211
2,0,0.0018087069038301706,1.1263048271814569e-09,0.000151299056597054,1.024355489320783e-09,0.001953125,0.0,0.0,0.0,0.9970703125,0.0009765625,0.0,0.0009765625,0.0,0.0,0.9990234375,0.0,0.9044979626452345,0.5163994046203041,0.9963744170544867,0.9962938713018584,0.9993827071381096,0.9836456475022585,0.9734209515025302,0.99013767314717,-0.9634110406350608,-0.15542358179699664,-0.17145661063041448,208283,17145,0.9994629530557395,200781,3639,0.9973544719997588,25631,21992,0.5159237602663701,465889,191138,0.9934128578484779,0.5020858816954455,-393.09588817002196,0.07560333000126866,-24.686469149415206,0.21903976367733383,0.48699927776633134,-554.6795751181663,0.06892243658126143,-42.4236153466259,0.043893906855084666,0.9999999999999906,0.9999999999999912,0.9999999999999954,0.9999999999999948,0.9999999999998467,0.9999999999999962,0.9999999999999997,0.9999999607546307
2,1,0.0018087069038301706,1.1263048271814569e-09,0.000151299056597054,1.024355489320783e-09,0.001953125,0.0,0.0,0.0,0.9970703125,0.0009765625,0.0,0.0009765625,0.0,0.0,0.9990234375,0.0,0.9789079398945018,0.8917306468958386,0.9997988445680503,0.9996625693830062,0.9994494284724404,0.9961547492020499,0.9955828021654564,0.9883802966929301,-0.9518581013553017,0.349565560410077,0.2371098984708728,208283,17145,0.9997879947266672,200781,3639,0.9986353702287716,25631,21992,0.9723378640480907,465889,191138,0.9996977470559815,0.14864798516505348,-7.312635472043002,0.17506435881451254,-36.382848589012916,-0.6091579463342791,-0.2795315274357022,-83.36197970764619,0.24575808671402952,-0.8393042414686875,0.3383166488409333,0.999999999999979,0.9999999999999782,0.9999999999993479,0.9999999999996635,0.9999999999990379,0.9999999999999817,0.9999999999999941,0.9999998648033961
2,2,0.0018087069038301706,1.1263048271814569e-09,0.000151299056597054,1.024355489320783e-09,0.001953125,0.0,0.0,0.0,0.9970703125,0.0009765625,0.0,0.0009765625,0.0,0.0,0.9990234375,0.0,0.9996500645979323,0.999190157362097,0.9999488851667896,0.9999314879648723,0.9996724879101424,0.9999472831253241,0.9999135472955938,0.9857985166131666,-0.37064656533236034,-0.48082028407205923,0.6715999039746788,208283,17145,0.9998369079774792,200781,3639,0.9997842344240628,25631,21992,0.9997382682945488,465889,191138,0.999956755677979,0.07532326136525293,-12.68473332976964,0.10044181428645302,-0.7015367432423676,-0.009514146832066268,0.06839011528410961,-6.142902295038628,0.5736413767073553,-0.3220843550567829,0.9712534709350278,0.9999999999967907,0.9999999999936287,0.9999999999960136,0.9999999999977719,0.999999999996599,0.999999999995734,0.9999999999996094,0.9999997918937211
3,0,0.0019266352755948901,1.1272773825510285e-09,0.00016808092186693102,1.0924747773088939e-09,0.0078125,0.0,0.0,0.0,0.9921875,0.0,0.0,0.0,0.0,0.0,0.9990234375,0.0009765625,0.9044979626452345,0.5163994046203041,0.9963744170544867,0.9962938713018584,0.9993827071381096,0.9836456475022585,0.9734209515025302,0.99013767314717,-0.9634110406350608,-0.15542358179699664,-0.17145661063041448,208283,17145,0.9994629530557395,200781,3639,0.9973544719997588,25631,21992,0.5159237602663701,465889,191138,0.9934128578484779,0.5020858816954455,-393.09588817002196,0.07560333000126866,-24.686469149415206,0.21903976367733383,0.48699927776633134,-554.6795751181663,0.06892243658126143,-42.4236153466259,0.043893906855084666,0.9999999999999906,0.9999999999999912,0.9999999999999954,0.9999999999999948,0.9999999999998467,0.9999999999999962,0.9999999999999997,0.9999999607546307
