seed,step,layer,delta_rms,frac_along_PM,frac_along_PD,frac_probe_span,signed_mean_proj_PM,signed_mean_proj_PD
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0,1,2,0.0,0.0,0.0,0.0,0.0,0.0
0,3,0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,1,0.0,0.0,0.0,0.0,0.0,0.0
0,3,2,0.0,0.0,0.0,0.0,0.0,0.0
0,10,0,0.0,0.0,0.0,0.0,0.0,0.0
0,10,1,0.0,0.0,0.0,0.0,0.0,0.0
0,10,2,0.0,0.0,0.0,0.0,0.0,0.0
0,30,0,0.0,0.0,0.0,0.0,0.0,0.0
0,30,1,0.0,0.0,0.0,0.0,0.0,0.0
0,30,2,0.0,0.0,0.0,0.0,0.0,0.0
0,100,0,0.0,0.0,0.0,0.0,0.0,0.0
0,100,1,0.0,0.0,0.0,0.0,0.0,0.0
0,100,2,0.0,0.0,0.0,0.0,0.0,0.0
0,200,0,0.0,0.0,0.0,0.0,0.0,0.0
0,200,1,0.0,0.0,0.0,0.0,0.0,0.0
0,200,2,0.0,0.0,0.0,0.0,0.0,0.0
0,300,0,0.0,0.0,0.0,0.0,0.0,0.0
0,300,1,0.0,0.0,0.0,0.0,0.0,0.0
0,300,2,0.0,0.0,0.0,0.0,0.0,0.0
0,500,0,0.0,0.0,0.0,0.0,0.0,0.0
0,500,1,0.0,0.0,0.0,0.0,0.0,0.0
0,500,2,0.0,0.0,0.0,0.0,0.0,0.0
0,700,0,0.0,0.0,0.0,0.0,0.0,0.0
0,700,1,0.0,0.0,0.0,0.0,0.0,0.0
0,700,2,0.0,0.0,0.0,0.0,0.0,0.0
0,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
0,1000,2,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
1,0,2,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,1,0.0,0.0,0.0,0.0,0.0,0.0
1,3,2,0.0,0.0,0.0,0.0,0.0,0.0
1,10,0,0.0,0.0,0.0,0.0,0.0,0.0
1,10,1,0.0,0.0,0.0,0.0,0.0,0.0
1,10,2,0.0,0.0,0.0,0.0,0.0,0.0
1,30,0,0.0,0.0,0.0,0.0,0.0,0.0
1,30,1,0.0,0.0,0.0,0.0,0.0,0.0
1,30,2,0.0,0.0,0.0,0.0,0.0,0.0
1,100,0,0.0,0.0,0.0,0.0,0.0,0.0
1,100,1,0.0,0.0,0.0,0.0,0.0,0.0
1,100,2,0.0,0.0,0.0,0.0,0.0,0.0
1,200,0,0.0,0.0,0.0,0.0,0.0,0.0
1,200,1,0.0,0.0,0.0,0.0,0.0,0.0
1,200,2,0.0,0.0,0.0,0.0,0.0,0.0
1,300,0,0.0,0.0,0.0,0.0,0.0,0.0
1,300,1,0.0,0.0,0.0,0.0,0.0,0.0
1,300,2,0.0,0.0,0.0,0.0,0.0,0.0
1,500,0,0.0,0.0,0.0,0.0,0.0,0.0
1,500,1,0.0,0.0,0.0,0.0,0.0,0.0
1,500,2,0.0,0.0,0.0,0.0,0.0,0.0
1,700,0,0.0,0.0,0.0,0.0,0.0,0.0
1,700,1,0.0,0.0,0.0,0.0,0.0,0.0
1,700,2,0.0,0.0,0.0,0.0,0.0,0.0
1,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
1,1000,2,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1,0.0,0.0,0.0,0.0,0.0,0.0
2,0,2,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1,0.0,0.0,0.0,0.0,0.0,0.0
2,1,2,0.0,0.0,0.0,0.0,0.0,0.0
2,3,0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,1,0.0,0.0,0.0,0.0,0.0,0.0
2,3,2,0.0,0.0,0.0,0.0,0.0,0.0
2,10,0,0.0,0.0,0.0,0.0,0.0,0.0
2,10,1,0.0,0.0,0.0,0.0,0.0,0.0
2,10,2,0.0,0.0,0.0,0.0,0.0,0.0
2,30,0,0.0,0.0,0.0,0.0,0.0,0.0
2,30,1,0.0,0.0,0.0,0.0,0.0,0.0
2,30,2,0.0,0.0,0.0,0.0,0.0,0.0
2,100,0,0.0,0.0,0.0,0.0,0.0,0.0
2,100,1,0.0,0.0,0.0,0.0,0.0,0.0
2,100,2,0.0,0.0,0.0,0.0,0.0,0.0
2,200,0,0.0,0.0,0.0,0.0,0.0,0.0
2,200,1,0.0,0.0,0.0,0.0,0.0,0.0
2,200,2,0.0,0.0,0.0,0.0,0.0,0.0
2,300,0,0.0,0.0,0.0,0.0,0.0,0.0
2,300,1,0.0,0.0,0.0,0.0,0.0,0.0
2,300,2,0.0,0.0,0.0,0.0,0.0,0.0
2,500,0,0.0,0.0,0.0,0.0,0.0,0.0
2,500,1,0.0,0.0,0.0,0.0,0.0,0.0
2,500,2,0.0,0.0,0.0,0.0,0.0,0.0
2,700,0,0.0,0.0,0.0,0.0,0.0,0.0
2,700,1,0.0,0.0,0.0,0.0,0.0,0.0
2,700,2,0.0,0.0,0.0,0.0,0.0,0.0
2,1000,0,0.0,0.0,0.0,0.0,0.0,0.0
