task,rule,alpha,features,jsd,clean_preserved,clean_drift,ihy_removed,exact_restored,blank_triggered,ci_low,ci_high
scope-L08-8x-single,positive_jsd,4.0,202,0.935760697349906,0,0.9236514644066935,64,0,0,0.9162044133991003,0.9532870687544346
scope-L08-8x-single,signed_jsd,-4.0,27514,0.8823032854124904,0,0.8536940774843855,64,0,0,0.8423408498056233,0.9181254059076309
scope-L08-8x-ov,positive_jsd,32.0,13808,0.7885355470498325,64,5.4146060071822e-09,58,1,0,0.7126686269184574,0.8655075624992605
scope-L08-8x-ov,signed_jsd,32.0,13808,0.7885355470498325,64,5.4146060071822e-09,58,1,0,0.7126686269184574,0.8655075624992605
scope-L08-8x-qkov,positive_jsd,32.0,27514/794/27514,0.8936483789002523,2,0.7597089552142818,41,0,0,0.8384099614340812,0.936602151603438
scope-L08-8x-qkov,signed_jsd,-32.0,21992/13808/27514,0.8858814996201545,36,0.14158445334328976,32,1,0,0.8257638700306416,0.9351979226339608
scope-L08-32x-single,positive_jsd,2.0,4101,0.9495401931926608,0,0.8840975267296971,64,0,0,0.938200761564076,0.9590538060292602
scope-L08-32x-single,signed_jsd,-4.0,98136,0.9568127198144794,0,0.8674913104074446,64,0,0,0.9355635568499565,0.9710934292525053
scope-L08-32x-ov,positive_jsd,8.0,112106,0.9344338364899158,0,0.9008908450604247,45,0,0,0.9062747862190008,0.9573111031204462
scope-L08-32x-ov,signed_jsd,-8.0,123499,0.9401649320498109,0,0.9291562931571973,59,0,0,0.9233852848410606,0.9551590671762824
scope-L08-32x-qkov,positive_jsd,16.0,31687/54812/27424,0.8873665363062173,0,0.7024666656547496,51,0,0,0.832319363951683,0.9368466781452298
scope-L08-32x-qkov,signed_jsd,16.0,31687/54812/27424,0.8873665363062173,0,0.7024666656547496,51,0,0,0.832319363951683,0.9368466781452298
scope-L12-8x-single,positive_jsd,2.0,17457,0.9390058675780892,0,0.8566996382291772,62,0,0,0.91871068906039,0.9576993165537715
scope-L12-8x-single,signed_jsd,2.0,17457,0.9390058675780892,0,0.8566996382291772,62,0,0,0.91871068906039,0.9576993165537715
scope-L12-8x-ov,positive_jsd,16.0,19916,0.9441347792744637,0,0.9390002871846321,63,0,1,0.9229244329035282,0.9620266035199165
scope-L12-8x-ov,signed_jsd,16.0,19916,0.9441347792744637,0,0.9390002871846321,63,0,1,0.9229244329035282,0.9620266035199165
scope-L12-8x-qkov,positive_jsd,16.0,7549/21365/8800,0.9443088555708528,0,0.93196934552483,64,0,0,0.9376435559242964,0.9506219821050763
scope-L12-8x-qkov,signed_jsd,16.0,7549/21365/8800,0.9443088555708528,0,0.93196934552483,64,0,0,0.9376435559242964,0.9506219821050763
scope-L12-32x-single,positive_jsd,2.0,48181,0.9558277195319533,0,0.8531243244907518,61,0,0,0.9409527229145169,0.9686651946976781
scope-L12-32x-single,signed_jsd,-2.0,123336,0.9587156092748046,0,0.8015105394458868,57,0,0,0.9357113661244512,0.976151061244309
scope-L12-32x-ov,positive_jsd,8.0,109098,0.9591067871078849,0,0.8852220216882669,51,0,0,0.9487153058871627,0.9681399203836918
scope-L12-32x-ov,signed_jsd,8.0,109098,0.9591067871078849,0,0.8852220216882669,51,0,0,0.9487153058871627,0.9681399203836918
scope-L12-32x-qkov,positive_jsd,16.0,62030/62030/61427,0.9542203983291984,0,0.933327402496525,64,0,0,0.9484777841717005,0.9596912618726492
scope-L12-32x-qkov,signed_jsd,-8.0,62030/62030/36518,0.943330205976963,0,0.9239130795781743,60,0,0,0.9241817686706781,0.9604741483926773
scope-L16-8x-single,positive_jsd,32.0,8384,0.951572522521019,0,0.9432202248170455,64,0,0,0.9474023366346955,0.955564521253109
scope-L16-8x-single,signed_jsd,-2.0,7834,0.9502921877428889,0,0.7969157762698634,64,0,0,0.9357258789241314,0.962945356965065
scope-L16-8x-ov,positive_jsd,16.0,28524,0.9756916528567672,0,0.8452393549438736,64,0,0,0.9673931645229459,0.9824746148660779
scope-L16-8x-ov,signed_jsd,-32.0,31443,0.9598767766728997,0,0.9561594121098899,64,0,0,0.9547419063746929,0.9649942489340901
scope-L16-8x-qkov,positive_jsd,32.0,3179/3746/21915,0.9661067994311452,0,0.887102977801958,64,0,0,0.9589444575831294,0.9732940290123224
scope-L16-8x-qkov,signed_jsd,-32.0,13960/21915/9062,0.9601737680495717,62,0.024620165381570823,63,0,0,0.9251143868896179,0.9822029136121273
scope-L16-32x-single,positive_jsd,4.0,126284,0.9573630494996905,0,0.9054377512716464,64,0,0,0.9401384498924017,0.9701919164508581
scope-L16-32x-single,signed_jsd,-4.0,76629,0.9654898913577199,0,0.9161270427153011,64,0,0,0.9560503521934152,0.9736742861568928
scope-L16-32x-ov,positive_jsd,16.0,104495,0.9708597604185343,0,0.932249502575857,64,0,0,0.9635937502607703,0.9769274005666375
scope-L16-32x-ov,signed_jsd,-32.0,28107,0.9701963504776359,0,0.9617961985801113,64,0,0,0.9658483294770122,0.9738545557484031
scope-L16-32x-qkov,positive_jsd,8.0,102513/97425/94862,0.9733155695721507,0,0.8722783924060182,64,0,0,0.9657476022839546,0.9794503403827548
scope-L16-32x-qkov,signed_jsd,-32.0,36833/97425/97425,0.9755235956981778,1,0.5890823458594903,57,0,0,0.9668528595939279,0.9830292798578739
local-L12-single,positive_jsd,16.0,9687,0.9145442331355298,38,0.1665366850700892,58,1,0,0.8696083655377151,0.9487198079004884
local-L12-single,signed_jsd,-32.0,14818,0.8747235026676208,64,1.457000643261223e-05,45,1,0,0.8076477379654534,0.9340743945213035
local-L12-ov,positive_jsd,16.0,19935,0.8559137412230484,64,5.4146060071822e-09,39,1,0,0.7874949825345539,0.9124443595064804
local-L12-ov,signed_jsd,16.0,19935,0.8559137412230484,64,5.4146060071822e-09,39,1,0,0.7874949825345539,0.9124443595064804
local-L12-qkov,positive_jsd,16.0,26256/18858/19935,0.8866947124479339,27,0.27833191528903917,55,1,0,0.8316279688151553,0.9351114742457867
local-L12-qkov,signed_jsd,16.0,26256/18858/19935,0.8866947124479339,27,0.27833191528903917,55,1,0,0.8316279688151553,0.9351114742457867
frozen-L08-qkov,positive_jsd,16.0,31879/5130/10231,0.8445575384539552,48,0.08278305016792947,57,1,0,0.7770702465204522,0.9039287222549319
frozen-L08-qkov,signed_jsd,16.0,31879/5130/10231,0.8445575384539552,48,0.08278305016792947,57,1,0,0.7770702465204522,0.9039287222549319
frozen-L16-qkov,positive_jsd,32.0,14361/10728/24251,0.9587101871147752,18,0.24936195486038093,64,0,0,0.9372087251394987,0.9736766004934907
frozen-L16-qkov,signed_jsd,-8.0,21768/24251/56,0.9792558867484331,64,5.4146060071822e-09,51,0,0,0.9674774026498199,0.9876342630013824
frozen-L08-ov,positive_jsd,16.0,30892,0.773436461109668,64,8.101114235088625e-06,63,2,0,0.6968330591917038,0.8443228667601943
frozen-L08-ov,signed_jsd,-32.0,30892,0.8400400121463463,63,0.015018490872797701,62,0,0,0.776503540808335,0.8973261965438724
frozen-L08-single,positive_jsd,8.0,21015,0.8988539739511907,4,0.647553291716274,48,0,0,0.8583181919530034,0.9352754959836602
frozen-L08-single,signed_jsd,-4.0,2128,0.9077292742440477,2,0.8728413558218706,57,1,0,0.8634010415989906,0.9462146209552884
frozen-L16-ov,positive_jsd,16.0,26279,0.9713050192221999,0,0.8872679011024485,61,0,0,0.9652016526088119,0.976694418117404
frozen-L16-ov,signed_jsd,-32.0,15630,0.9702767012640834,19,0.42217831678124695,42,0,0,0.9568467065691948,0.9804957369342446
frozen-L16-single,positive_jsd,16.0,10739,0.9724613567814231,0,0.8793433705073178,48,0,0,0.9631856605410576,0.9801961435005069
frozen-L16-single,signed_jsd,-16.0,527,0.9493847722187638,54,0.07454901049053625,53,0,0,0.9187401300296187,0.9716871092095971
frozen-dom-L07-resid_response,restoration,4.0,,0.8620351790450513,0,0.7438117592669284,64,0,0,0.826546992175281,0.8978307996876538
frozen-dom-L15-resid_response,restoration,1.0,,0.8739211773499846,0,0.8425273568274781,64,0,0,0.8431744491681457,0.9028648911044002
frozen-dom-L11-resid_response,restoration,2.0,,0.7858716604532674,0,0.7445893192838888,64,0,0,0.7399188736453652,0.8293929854407907
frozen-dom-L04-input_prompt,restoration,-1.0,,0.9232999887317419,0,0.8081373505749263,54,0,0,0.8941616835072637,0.9488274166360497
frozen-dom-L12-input_prompt,restoration,4.0,,0.9464537557214499,0,0.9457319756728972,64,0,0,0.9291864782571793,0.9613812947645783
frozen-dom-L12-resid_response,restoration,2.0,,0.8071782495826483,0,0.8068313774741539,64,0,0,0.7666632826440036,0.8446227139793336
frozen-dom-L08-input_prompt,restoration,4.0,,0.9175042039714754,0,0.8956972091754521,64,0,0,0.8862660988233984,0.9449454909190536
frozen-dom-L08-resid_response,restoration,4.0,,0.8571837274357677,0,0.8045484582687696,64,0,0,0.8193138190545142,0.8935256232507527
frozen-dom-L16-input_prompt,restoration,2.0,,0.9670012881979346,0,0.8840826984325658,64,0,0,0.9538952950388193,0.9765491392463446
frozen-dom-L16-resid_response,restoration,1.0,,0.8913431358523667,0,0.8462546699748085,64,0,0,0.8644919530488551,0.9154668701812625
