Moving model to device:  cpu
clean                    RF +0.000  CF -0.000  probe +0.982  track +0.943
ov:omega_top4:c0.5       RF -0.011  CF +0.000  probe +0.980  track +0.952
ov:omega_top4:c1.0       RF +0.022  CF +0.002  probe +0.977  track +0.920
ov:omega_top4:c1.5       RF +0.098  CF +0.004  probe +0.976  track +0.846
ov:omega_top4:c2.0       RF +0.224  CF +0.008  probe +0.974  track +0.721
ov:omega_top4:c3.0       RF +0.680  CF +0.018  probe +0.972  track +0.265
ov:omega_top4:c4.0       RF +1.551  CF +0.031  probe +0.972  track -0.586
ov:omega_top4:c6.0       RF +4.630  CF +0.062  probe +0.974  track -3.306
sae:omega_top4:a0.1      RF -0.011  CF +0.001  probe +0.980  track +0.955
sae:omega_top4:a0.2      RF -0.008  CF +0.005  probe +0.977  track +0.953
sae:omega_top4:a0.3      RF +0.012  CF +0.012  probe +0.971  track +0.935
sae:omega_top4:a0.5      RF +0.119  CF +0.035  probe +0.942  track +0.831
sae:omega_top4:a0.75     RF +0.470  CF +0.101  probe +0.803  track +0.481
sae:omega_top4:a1.0      RF +1.288  CF +0.273  probe +0.397  track -0.330
saved /Users/dmitrymanning-coe/Documents/Research/FRA/fra_proj/experiments/fra_hmm_toy/out/ov_sweep_conc30.json
