Loaded pretrained model roneneldan/TinyStories-Instruct-33M into HookedTransformer
[ln1-abl] baseline...
[ln1-abl]   logp=-0.279  z_mid[171]=+0.3618
[ln1-abl] f= 254  α=4.0: Δlogp=-8.121  Δfeat=-0.0102
[ln1-abl] f= 822  α=4.0: Δlogp=-1.006  Δfeat=-0.0009
[ln1-abl] f= 760  α=4.0: Δlogp=-21.225  Δfeat=-0.0333
[ln1-abl] f=1298  α=4.0: Δlogp=-0.671  Δfeat=-0.0004
[ln1-abl] f= 870  α=4.0: Δlogp=-50.403  Δfeat=-0.1386
[ln1-abl] f= 784  α=4.0: Δlogp=-0.061  Δfeat=+0.0002
[ln1-abl] f=1279  α=4.0: Δlogp=-0.004  Δfeat=-0.0008
[ln1-abl] f= 435  α=4.0: Δlogp=-14.071  Δfeat=-0.0199
[ln1-abl] f=1102  α=4.0: Δlogp=-0.490  Δfeat=+0.0094
[ln1-abl] f=1489  α=4.0: Δlogp=-0.175  Δfeat=+0.0001
[ln1-abl] f=1008  α=4.0: Δlogp=-0.011  Δfeat=+0.0025
[ln1-abl] f= 303  α=4.0: Δlogp=-12.138  Δfeat=-0.0304
[ln1-abl] f= 200  α=4.0: Δlogp=-5.733  Δfeat=+0.1304
[ln1-abl] f= 842  α=4.0: Δlogp=-0.328  Δfeat=-0.0020
[ln1-abl] f= 500  α=4.0: Δlogp=-0.215  Δfeat=+0.0055
[ln1-abl] f= 262  α=4.0: Δlogp=-0.582  Δfeat=-0.0022
[ln1-abl] f= 608  α=4.0: Δlogp=-0.015  Δfeat=+0.0057
[ln1-abl] f= 691  α=4.0: Δlogp=-0.689  Δfeat=-0.0025
[ln1-abl] f=  59  α=4.0: Δlogp=-0.100  Δfeat=+0.0003
[ln1-abl] f={870, 1388}  α=4.0: Δlogp=-60.263  Δfeat=-0.1920
[ln1-abl] wrote /root/fra_proj/experiments/tinystories_sleeper/tracing_feature/qk_vs_ov/results/ln1_feature_ablation.json
