family,alpha,x_mean,x_q25,x_q75,y_mean,y_q25,y_q75,n_points,n_training_seeds,n_generation_seeds
OV/FRA,0.0,37.18701671398501,20.36700208547129,49.22642145834917,0.0,0.0,0.0,9,3,3
OV/FRA,0.15,37.157468823189774,20.995718981328036,49.22642145834917,1.2222222222222223,0.0,1.0,9,3,3
OV/FRA,0.3,36.90206462580472,21.523664717414945,49.22642145834917,2.7777777777777777,1.0,5.0,9,3,3
OV/FRA,0.45,35.5296007884956,22.428255679767407,44.33424547941018,9.666666666666666,4.0,12.0,9,3,3
OV/FRA,0.6,31.61830266793226,22.338481327689745,36.656140576317064,24.22222222222222,11.0,36.0,9,3,3
OV/FRA,0.75,25.991867445765592,16.977712492190264,31.248371977430466,43.888888888888886,24.0,72.0,9,3,3
OV/FRA,0.9,19.714959750094344,8.378774529551212,25.776636867106664,63.0,47.0,90.0,9,3,3
OV/FRA,1.05,15.249613484921976,3.2934545738370926,21.858901673933953,76.22222222222223,69.0,96.0,9,3,3
OV/FRA,1.2,11.87747514732746,2.2065058983440706,16.40437671140996,85.44444444444444,84.0,97.0,9,3,3
OV/FRA,1.5,7.383206148200204,2.1108781046314995,8.118422599864985,94.22222222222223,92.0,98.0,9,3,3
OV/FRA,1.75,4.939523783427642,2.036204764021836,5.464618485101971,96.88888888888889,95.0,98.0,9,3,3
OV/FRA,2.0,3.044270572331169,2.014043215620363,3.1509565581456074,98.11111111111111,98.0,98.0,9,3,3
Single feature,0.0,37.18701671398501,20.36700208547129,49.22642145834917,0.0,0.0,0.0,9,3,3
Single feature,0.15,36.990451392369344,20.451137374315866,49.22642145834917,1.7777777777777777,1.0,2.0,9,3,3
Single feature,0.3,36.220662847027924,20.847557355674883,47.7939808030626,4.444444444444445,4.0,5.0,9,3,3
Single feature,0.45,35.08488452788894,21.070948474473163,47.7939808030626,9.222222222222221,6.0,11.0,9,3,3
Single feature,0.6,32.8216538757975,19.915976781039163,44.52450780883432,20.22222222222222,13.0,26.0,9,3,3
Single feature,0.75,28.4753461459576,19.530391636145513,38.439073535464196,38.888888888888886,25.0,51.0,9,3,3
Single feature,0.9,23.689657424303743,17.632520079950165,27.63036328401014,56.888888888888886,38.0,73.0,9,3,3
Single feature,1.05,18.416970373590903,11.945101777675777,20.558495884339845,75.55555555555556,59.0,88.0,9,3,3
Single feature,1.2,14.067710150537964,9.827582935028392,16.01197347718982,86.33333333333333,75.0,98.0,9,3,3
Single feature,1.5,8.832884222265845,3.9826168695634148,12.246036180859456,95.44444444444444,92.0,98.0,9,3,3
Single feature,1.75,6.588182449258198,2.860381279667779,9.683151480378728,98.11111111111111,98.0,98.0,9,3,3
Single feature,2.0,5.073506979236201,2.559844651113124,7.547582524078588,98.22222222222223,98.0,99.0,9,3,3
