family,alpha,x_mean,x_q25,x_q75,y_mean,y_q25,y_q75,n_points,n_training_seeds,n_generation_seeds
OV/FRA,0.0,2.1718478623476547,1.957579073903767,2.4881604793196552,0.0,0.0,0.0,9,3,3
OV/FRA,0.15,2.1611518267102694,1.957760648002379,2.457098409714752,1.2222222222222223,0.0,1.0,9,3,3
OV/FRA,0.3,2.1415204865099446,1.957760648002379,2.4539475837338522,2.7777777777777777,1.0,5.0,9,3,3
OV/FRA,0.45,2.0844557828995858,1.9487806830422227,2.3256807897630782,9.666666666666666,4.0,12.0,9,3,3
OV/FRA,0.6,1.9140163571862931,1.8481488203277345,1.9803900322387795,24.22222222222222,11.0,36.0,9,3,3
OV/FRA,0.75,1.6927874630938742,1.4363732406835537,1.8406109768381012,43.888888888888886,24.0,72.0,9,3,3
OV/FRA,0.9,1.4409167154092102,0.9650879788787029,1.7328973291272463,63.0,47.0,90.0,9,3,3
OV/FRA,1.05,1.2683828205076948,0.9059950401283422,1.5414132949073969,76.22222222222223,69.0,96.0,9,3,3
OV/FRA,1.2,1.1243449802184189,0.8479155868902578,1.350262029145416,85.44444444444444,84.0,97.0,9,3,3
OV/FRA,1.5,0.9666882241257726,0.8173022190518021,1.125212830836463,94.22222222222223,92.0,98.0,9,3,3
OV/FRA,1.75,0.8930402101348068,0.7982506107440642,0.963522284476452,96.88888888888889,95.0,98.0,9,3,3
OV/FRA,2.0,0.8285869240542676,0.8021837527426338,0.8810770160339882,98.11111111111111,98.0,98.0,9,3,3
Single feature,0.0,2.1718478623476547,1.957579073903767,2.4881604793196552,0.0,0.0,0.0,9,3,3
Single feature,0.15,2.1561303344097316,1.9566079290138654,2.4581308785313163,1.7777777777777777,1.0,2.0,9,3,3
Single feature,0.3,2.126522392771296,1.955171438427825,2.4273495637001172,4.444444444444445,4.0,5.0,9,3,3
Single feature,0.45,2.083017257889657,1.9080624013592546,2.3914459901721217,9.222222222222221,6.0,11.0,9,3,3
Single feature,0.6,1.9729858408474303,1.7721635779799696,2.216315679336875,20.22222222222222,13.0,26.0,9,3,3
Single feature,0.75,1.7606077754051082,1.5468438470880954,1.928698333271091,38.888888888888886,25.0,51.0,9,3,3
Single feature,0.9,1.5455390761692391,1.28628321897551,1.7206272421427227,56.888888888888886,38.0,73.0,9,3,3
Single feature,1.05,1.3001725223192957,1.0433257546000356,1.4720114150546972,75.55555555555556,59.0,88.0,9,3,3
Single feature,1.2,1.1295103404248819,0.9698346187041923,1.3619102642781395,86.33333333333333,75.0,98.0,9,3,3
Single feature,1.5,0.9205835663319556,0.8073976641129736,1.0436706339588824,95.44444444444444,92.0,98.0,9,3,3
Single feature,1.75,0.8293998800140233,0.7495264356656324,0.86910168479002,98.11111111111111,98.0,98.0,9,3,3
Single feature,2.0,0.7787063032173586,0.6951215232337465,0.8174389244374142,98.22222222222223,98.0,99.0,9,3,3
