family,alpha,x_mean,x_q25,x_q75,y_mean,y_q25,y_q75,n_points,n_training_seeds,n_generation_seeds
OV/FRA,0.0,2.1718478623476547,1.957579073903767,2.4881604793196552,0.0,0.0,0.0,9,3,3
OV/FRA,0.15,2.1795469962005076,1.9707842508766287,2.4701755954573286,0.6666666666666666,-1.0,1.0,9,3,3
OV/FRA,0.3,2.173543071393842,1.969018072551001,2.410164186544522,3.3333333333333335,0.0,4.0,9,3,3
OV/FRA,0.45,2.1429374111824417,1.969018072551001,2.2952992061220767,10.88888888888889,1.0,10.0,9,3,3
OV/FRA,0.6,2.098834196622823,1.9647220468828595,2.261300162841844,23.555555555555557,4.0,33.0,9,3,3
OV/FRA,0.75,2.025437763589956,1.9047284171867314,2.1725274786775977,42.0,11.0,57.0,9,3,3
OV/FRA,0.9,1.9638925475279798,1.7507599208132236,2.164685040792155,59.22222222222222,27.0,84.0,9,3,3
OV/FRA,1.05,1.8900977795144709,1.713281995981645,2.1110962501810397,75.55555555555556,59.0,93.0,9,3,3
OV/FRA,1.2,1.8679907123333093,1.7158948060550403,2.106282985738714,86.22222222222223,80.0,97.0,9,3,3
OV/FRA,1.5,1.8626330390862906,1.6941919332495863,2.0732323627767992,94.11111111111111,93.0,98.0,9,3,3
OV/FRA,1.75,1.8700828234871794,1.7016190717872899,2.0615958188458627,95.22222222222223,94.0,98.0,9,3,3
OV/FRA,2.0,1.859657738900195,1.6972523764672003,2.052290626253577,97.0,97.0,98.0,9,3,3
Single feature,0.0,2.1718478623476547,1.957579073903767,2.4881604793196552,0.0,0.0,0.0,9,3,3
Single feature,0.15,2.1556634203825733,1.9553561979441068,2.4522306940868783,1.7777777777777777,1.0,3.0,9,3,3
Single feature,0.3,2.1440912250929136,1.9508726989964218,2.4522306940868783,3.0,2.0,4.0,9,3,3
Single feature,0.45,2.109632639923919,1.9325738943753223,2.4192697299370645,6.111111111111111,5.0,7.0,9,3,3
Single feature,0.6,2.0499481138493256,1.8708506242998582,2.3119777824750436,13.0,11.0,16.0,9,3,3
Single feature,0.75,1.973725630461891,1.7999993232000777,2.22196637841458,20.77777777777778,18.0,23.0,9,3,3
Single feature,0.9,1.850854047727023,1.6902267882698665,2.0641149728160895,31.333333333333332,22.0,36.0,9,3,3
Single feature,1.05,1.666253078474286,1.4824017961178675,1.8046485481886778,48.111111111111114,33.0,55.0,9,3,3
Single feature,1.2,1.4727522465963299,1.326724720163815,1.6016770153997586,63.111111111111114,50.0,69.0,9,3,3
Single feature,1.5,1.1500048942518712,0.9270958544017763,1.3029286726563867,85.88888888888889,79.0,93.0,9,3,3
Single feature,1.75,0.9913307591876185,0.8631654491889142,1.1704455780451657,94.44444444444444,90.0,98.0,9,3,3
Single feature,2.0,0.9100453051623982,0.802424727044525,1.0208938425847163,96.44444444444444,94.0,98.0,9,3,3
