train_seed,family,alpha,x_mean,y_mean,n_generation_seeds
0,OV/FRA,0.0,37.18701671398501,0,3
0,OV/FRA,0.15,37.6462950164711,1,3
0,OV/FRA,0.3,38.86773757934901,6,3
0,OV/FRA,0.45,41.317882727002086,22,3
0,OV/FRA,0.6,46.9620427742134,43.666666666666664,3
0,OV/FRA,0.75,54.17244137518723,74.33333333333333,3
0,OV/FRA,0.9,56.850252258560246,88,3
0,OV/FRA,1.05,60.49176030587964,94.66666666666667,3
0,OV/FRA,1.2,59.50382908260579,97,3
0,OV/FRA,1.5,59.86575135267105,98,3
0,OV/FRA,1.75,62.630368831200144,97.33333333333333,3
0,OV/FRA,2.0,63.366627635991975,98.33333333333333,3
0,Single feature,0.0,37.18701671398501,0,3
0,Single feature,0.15,36.96437424228925,1.6666666666666667,3
0,Single feature,0.3,36.97585614601848,2.6666666666666665,3
0,Single feature,0.45,35.5552351967377,6.666666666666667,3
0,Single feature,0.6,34.771192383099375,13,3
0,Single feature,0.75,32.81547508846457,21,3
0,Single feature,0.9,30.59020187615559,32.333333333333336,3
0,Single feature,1.05,26.21714861088166,53.333333333333336,3
0,Single feature,1.2,21.381994059661963,68.66666666666667,3
0,Single feature,1.5,14.586998942227483,91.66666666666667,3
0,Single feature,1.75,11.541097744757522,97.33333333333333,3
0,Single feature,2.0,8.591916341179392,98,3
1,OV/FRA,0.0,37.18701671398501,0,3
1,OV/FRA,0.15,37.617473452620054,1,3
1,OV/FRA,0.3,38.100747647807935,3,3
1,OV/FRA,0.45,38.83274257076778,7.666666666666667,3
1,OV/FRA,0.6,39.63181732902875,15.333333333333334,3
1,OV/FRA,0.75,39.86959793673247,24.666666666666668,3
1,OV/FRA,0.9,39.592764044048195,40,3
1,OV/FRA,1.05,43.22381167775655,52.333333333333336,3
1,OV/FRA,1.2,48.56634789402367,71.66666666666667,3
1,OV/FRA,1.5,61.73741342476323,86,3
1,OV/FRA,1.75,65.72964240102809,90,3
1,OV/FRA,2.0,68.69799379073702,94.33333333333333,3
1,Single feature,0.0,37.18701671398501,0,3
1,Single feature,0.15,36.96437424228925,1.6666666666666667,3
1,Single feature,0.3,36.97585614601848,2.6666666666666665,3
1,Single feature,0.45,35.89738941111466,5,3
1,Single feature,0.6,35.34383223085104,9.333333333333334,3
1,Single feature,0.75,34.32392828996671,15.333333333333334,3
1,Single feature,0.9,32.81547508846457,21.333333333333332,3
1,Single feature,1.05,30.965211602611923,32,3
1,Single feature,1.2,27.246439206019406,49.333333333333336,3
1,Single feature,1.5,21.01310781343487,73,3
1,Single feature,1.75,15.286841903822506,88.33333333333333,3
1,Single feature,2.0,13.121027127817564,93.33333333333333,3
2,OV/FRA,0.0,37.18701671398501,0,3
2,OV/FRA,0.15,37.399862835289724,0,3
2,OV/FRA,0.3,37.79780069881695,1,3
2,OV/FRA,0.45,38.000141189128804,3,3
2,OV/FRA,0.6,39.43221464588139,11.666666666666666,3
2,OV/FRA,0.75,41.525267304605464,27,3
2,OV/FRA,0.9,44.34183871527521,49.666666666666664,3
2,OV/FRA,1.05,48.86487648416839,79.66666666666667,3
2,OV/FRA,1.2,54.411934607898345,90,3
2,OV/FRA,1.5,64.31481758235172,98.33333333333333,3
2,OV/FRA,1.75,66.41615880636587,98.33333333333333,3
2,OV/FRA,2.0,65.94153023318457,98.33333333333333,3
2,Single feature,0.0,37.18701671398501,0,3
2,Single feature,0.15,36.97585614601848,2,3
2,Single feature,0.3,36.48196819043962,3.6666666666666665,3
2,Single feature,0.45,35.5552351967377,6.666666666666667,3
2,Single feature,0.6,33.50211039461511,16.666666666666668,3
2,Single feature,0.75,31.91996404965823,26,3
2,Single feature,0.9,28.310086072931533,40.333333333333336,3
2,Single feature,1.05,23.511224494750635,59,3
2,Single feature,1.2,19.795022989393843,71.33333333333333,3
2,Single feature,1.5,13.16847142744714,93,3
2,Single feature,1.75,10.144453781091576,97.66666666666667,3
2,Single feature,2.0,7.157219267833181,98,3
