family,alpha,x_mean,x_q25,x_q75,y_mean,y_q25,y_q75,n_points,n_training_seeds,n_generation_seeds
OV/FRA,0.0,157.29497267714856,25.07776898836093,226.81552785463586,0.0,0.0,0.0,9,3,3
OV/FRA,0.15,206.9091876373114,26.912613412062054,383.16170379907146,0.6666666666666666,-1.0,1.0,9,3,3
OV/FRA,0.3,136.0317821657889,13.042870981048397,219.99162118844893,3.3333333333333335,0.0,4.0,9,3,3
OV/FRA,0.45,49.287621445160646,5.173342145737745,84.87276485455138,10.88888888888889,1.0,10.0,9,3,3
OV/FRA,0.6,20.53492231564966,2.3281272913685127,29.33825218049471,23.555555555555557,4.0,33.0,9,3,3
OV/FRA,0.75,5.0686663621640164,1.4969027109047701,7.070417259624825,42.0,11.0,57.0,9,3,3
OV/FRA,0.9,2.447405584231986,1.2904648129371046,3.295398435392685,59.22222222222222,27.0,84.0,9,3,3
OV/FRA,1.05,1.5722689261032623,1.2217960310883529,1.7359082987303496,75.55555555555556,59.0,93.0,9,3,3
OV/FRA,1.2,1.3516601025404074,1.1380478041634612,1.3918175517029732,86.22222222222223,80.0,97.0,9,3,3
OV/FRA,1.5,1.1382340718893234,1.0815523079895903,1.2009130102537566,94.11111111111111,93.0,98.0,9,3,3
OV/FRA,1.75,1.0849571096545882,1.0409460387911142,1.1045637036633793,95.22222222222223,94.0,98.0,9,3,3
OV/FRA,2.0,1.0411852704535955,1.0103936726453355,1.083376627525901,97.0,97.0,98.0,9,3,3
Single feature,0.0,157.29497267714856,25.07776898836093,226.81552785463586,0.0,0.0,0.0,9,3,3
Single feature,0.15,133.57755061881863,27.759923035358884,219.99162118844893,1.7777777777777777,1.0,3.0,9,3,3
Single feature,0.3,122.26801809769933,23.392815474832293,219.99162118844893,3.0,2.0,4.0,9,3,3
Single feature,0.45,62.17268116191301,22.148318604376378,118.18662803060698,6.111111111111111,5.0,7.0,9,3,3
Single feature,0.6,38.591300504367105,16.3952410119555,41.50092693904513,13.0,11.0,16.0,9,3,3
Single feature,0.75,20.66331028719162,7.902447530759677,31.240428050447257,20.77777777777778,18.0,23.0,9,3,3
Single feature,0.9,11.8829310804684,3.6692895299299386,14.37940772403939,31.333333333333332,22.0,36.0,9,3,3
Single feature,1.05,6.445192373171523,2.013912561483136,5.98498711673577,48.111111111111114,33.0,55.0,9,3,3
Single feature,1.2,2.826032186612752,1.2688052640832785,2.7333769507856682,63.111111111111114,50.0,69.0,9,3,3
Single feature,1.5,1.140101106781269,0.7389160144856746,1.179235769414353,85.88888888888889,79.0,93.0,9,3,3
Single feature,1.75,0.6561796098831905,0.3683845361972708,0.8117456188989677,94.44444444444444,90.0,98.0,9,3,3
Single feature,2.0,0.49059784102713466,0.26221812717496484,0.6612456155038137,96.44444444444444,94.0,98.0,9,3,3
