family,alpha,x_mean,x_q25,x_q75,y_mean,y_q25,y_q75,n_points,n_training_seeds,n_generation_seeds
OV/FRA,0.0,37.18701671398501,20.36700208547129,49.22642145834917,0.0,0.0,0.0,9,3,3
OV/FRA,0.15,37.55454376812696,21.052885166522113,49.22642145834917,0.6666666666666666,-1.0,1.0,9,3,3
OV/FRA,0.3,38.2554286419913,24.71721285515584,49.22642145834917,3.3333333333333335,0.0,4.0,9,3,3
OV/FRA,0.45,39.383588828966225,30.68652188460395,48.526438226949146,10.88888888888889,1.0,10.0,9,3,3
OV/FRA,0.6,42.00869158304118,33.79114646507401,48.68788277568661,23.555555555555557,4.0,33.0,9,3,3
OV/FRA,0.75,45.18910220550839,34.69834618297384,48.84969858561984,42.0,11.0,57.0,9,3,3
OV/FRA,0.9,46.928285005961214,35.030795673270205,52.326521745696006,59.22222222222222,27.0,84.0,9,3,3
OV/FRA,1.05,50.860149489268196,34.40465403283394,63.562373019566365,75.55555555555556,59.0,93.0,9,3,3
OV/FRA,1.2,54.16070386150927,36.32819326299252,65.75476575936926,86.22222222222223,80.0,97.0,9,3,3
OV/FRA,1.5,61.972660786595334,36.143268930431255,83.63905943779947,94.11111111111111,93.0,98.0,9,3,3
OV/FRA,1.75,64.92539001286471,36.51852953868339,89.57544028550538,95.22222222222223,94.0,98.0,9,3,3
OV/FRA,2.0,66.00205055330451,35.19289389977915,91.59279623135058,97.0,97.0,98.0,9,3,3
Single feature,0.0,37.18701671398501,20.36700208547129,49.22642145834917,0.0,0.0,0.0,9,3,3
Single feature,0.15,36.96820154353233,20.2853344459704,49.22642145834917,1.7777777777777777,1.0,3.0,9,3,3
Single feature,0.3,36.81122682749219,20.2853344459704,49.22642145834917,3.0,2.0,4.0,9,3,3
Single feature,0.45,35.66928660153002,20.052864825098812,47.7939808030626,6.111111111111111,5.0,7.0,9,3,3
Single feature,0.6,34.539045002855175,20.02644045529243,45.808981756188984,13.0,11.0,16.0,9,3,3
Single feature,0.75,33.0197891426965,19.84639681601392,44.52450780883432,20.77777777777778,18.0,23.0,9,3,3
Single feature,0.9,30.57192101251723,19.248585147779032,40.50354133166112,31.333333333333332,22.0,36.0,9,3,3
Single feature,1.05,26.89786156941474,19.088529683700756,34.01136995071816,48.111111111111114,33.0,55.0,9,3,3
Single feature,1.2,22.807818751691737,16.866751552595225,27.077054087506056,63.111111111111114,50.0,69.0,9,3,3
Single feature,1.5,16.256192727703166,12.812167123329045,17.46650075636109,85.88888888888889,79.0,93.0,9,3,3
Single feature,1.75,12.324131143223868,9.368054395078827,13.22563407989168,94.44444444444444,90.0,98.0,9,3,3
Single feature,2.0,9.62338757894338,7.455313814321778,11.600842053541545,96.44444444444444,94.0,98.0,9,3,3
