train_seed,family,alpha,x_mean,y_mean,n_generation_seeds
0,OV/FRA,0.0,2.1718478623476547,0,3
0,OV/FRA,0.15,2.1825234179789996,1,3
0,OV/FRA,0.3,2.161054213146358,6,3
0,OV/FRA,0.45,2.1082868201276246,22,3
0,OV/FRA,0.6,2.030106942562373,43.666666666666664,3
0,OV/FRA,0.75,1.8893086367558314,74.33333333333333,3
0,OV/FRA,0.9,1.843874186146322,88,3
0,OV/FRA,1.05,1.8300387737125074,94.66666666666667,3
0,OV/FRA,1.2,1.8436160539582631,97,3
0,OV/FRA,1.5,1.8276410316301608,98,3
0,OV/FRA,1.75,1.8577371458693919,97.33333333333333,3
0,OV/FRA,2.0,1.8620149998043007,98.33333333333333,3
0,Single feature,0.0,2.1718478623476547,0,3
0,Single feature,0.15,2.1574668374729304,1.6666666666666667,3
0,Single feature,0.3,2.1496597457452387,2.6666666666666665,3
0,Single feature,0.45,2.104852061705228,6.666666666666667,3
0,Single feature,0.6,2.057021493507169,13,3
0,Single feature,0.75,1.968016302381253,21,3
0,Single feature,0.9,1.8420202979445524,32.333333333333336,3
0,Single feature,1.05,1.6185461030164754,53.333333333333336,3
0,Single feature,1.2,1.3914471586098582,68.66666666666667,3
0,Single feature,1.5,1.0663180929836633,91.66666666666667,3
0,Single feature,1.75,0.9397887708228395,97.33333333333333,3
0,Single feature,2.0,0.8632686449520608,98,3
1,OV/FRA,0.0,2.1718478623476547,0,3
1,OV/FRA,0.15,2.173975622181947,1,3
1,OV/FRA,0.3,2.175831538641941,3,3
1,OV/FRA,0.45,2.143994153402092,7.666666666666667,3
1,OV/FRA,0.6,2.1081204537079246,15.333333333333334,3
1,OV/FRA,0.75,2.0829119043947206,24.666666666666668,3
1,OV/FRA,0.9,2.0518016422853815,40,3
1,OV/FRA,1.05,2.0074364210088413,52.333333333333336,3
1,OV/FRA,1.2,1.944685672696128,71.66666666666667,3
1,OV/FRA,1.5,1.9594434640718308,86,3
1,OV/FRA,1.75,1.9541589313089032,90,3
1,OV/FRA,2.0,1.9192047712891886,94.33333333333333,3
1,Single feature,0.0,2.1718478623476547,0,3
1,Single feature,0.15,2.1574668374729304,1.6666666666666667,3
1,Single feature,0.3,2.1496597457452387,2.6666666666666665,3
1,Single feature,0.45,2.119096518991345,5,3
1,Single feature,0.6,2.085849909912743,9.333333333333334,3
1,Single feature,0.75,2.0304689512930496,15.333333333333334,3
1,Single feature,0.9,1.9586507083477742,21.333333333333332,3
1,Single feature,1.05,1.8586198838253456,32,3
1,Single feature,1.2,1.6820503515068512,49.333333333333336,3
1,Single feature,1.5,1.3620271781035342,73,3
1,Single feature,1.75,1.1112198695939834,88.33333333333333,3
1,Single feature,2.0,1.0232473998962441,93.33333333333333,3
2,OV/FRA,0.0,2.1718478623476547,0,3
2,OV/FRA,0.15,2.1821419484405764,0,3
2,OV/FRA,0.3,2.1837434623932266,1,3
2,OV/FRA,0.45,2.176531260017608,3,3
2,OV/FRA,0.6,2.1582751935981714,11.666666666666666,3
2,OV/FRA,0.75,2.1040927496193156,27,3
2,OV/FRA,0.9,1.996001814152236,49.666666666666664,3
2,OV/FRA,1.05,1.8328181438220637,79.66666666666667,3
2,OV/FRA,1.2,1.8156704103455368,90,3
2,OV/FRA,1.5,1.8008146215568803,98.33333333333333,3
2,OV/FRA,1.75,1.798352393283243,98.33333333333333,3
2,OV/FRA,2.0,1.7977534456070958,98.33333333333333,3
2,Single feature,0.0,2.1718478623476547,0,3
2,Single feature,0.15,2.152056586201859,2,3
2,Single feature,0.3,2.1329541837882626,3.6666666666666665,3
2,Single feature,0.45,2.1049493390751848,6.666666666666667,3
2,Single feature,0.6,2.0069729381280648,16.666666666666668,3
2,Single feature,0.75,1.9226916377113705,26,3
2,Single feature,0.9,1.7518911368887422,40.333333333333336,3
2,Single feature,1.05,1.5215932485810368,59,3
2,Single feature,1.2,1.3447592296722803,71.33333333333333,3
2,Single feature,1.5,1.0216694116684162,93,3
2,Single feature,1.75,0.9229836371460325,97.66666666666667,3
2,Single feature,2.0,0.8436198706388898,98,3
